,us,ca
0,347369,44498
1,397427,45163
2,421900,44455
3,482663,44388
4,558138,50710
5,592952,69110
6,646859,78229
7,664585,64075
8,657903,62959
9,666354,64379
10,719797,65434
11,787650,91565
12,909874,115735
13,878025,116012
14,837481,93123
15,861337,90065
16,810575,95116
17,861090,107376
18,911202,115034
19,1084653,137932
20,946878,139933
21,861135,110165
22,855254,112438
23,869863,106774
24,913754,113583
25,908436,121616
26,958054,145005
27,878925,137411
28,849302,114333
29,884618,117645
30,957809,122792
31,1032878,138041
32,1162562,165911
33,1223998,195722
34,1670708,266112
35,2075827,346000
36,465291,97445
37,192949,37135
38,192949,23320
39,192949,23320
40,192949,23320
41,192949,23320
42,192949,23320
43,192949,23320
44,192949,23320
45,192949,23320
46,192949,23320
47,192949,23320
48,192949,23320
49,192949,23320
50,192949,23320
51,192949,23320
52,192949,23320
53,192949,23320
54,192949,23320
55,192949,23320
56,192949,23320
57,192949,23320
58,192949,23320
59,192949,23320
60,192949,23320
61,192949,23320
62,192949,23320
63,192949,23320
64,192949,23320
65,192949,23320
66,192949,23320
67,192949,23320
68,192949,23320
69,192949,23320
70,192949,23320
71,192949,23320
72,192949,23320
73,192949,23320
74,192949,23320
75,192949,23320
76,192949,23320
77,192949,23320
78,192949,23320
79,192949,23320
80,192949,23320
81,192949,23320
82,192949,23320
83,192949,23320
84,192949,23320
85,192949,23320
86,192949,23320
87,192949,23320
88,192949,23320
89,192949,23320
90,192949,23320
91,192949,23320
92,192949,23320
93,192949,23320
94,192949,23320
95,192949,23320
96,192949,23320
97,192949,23320
98,192949,23320
99,192949,23320
100,192949,23320
101,192949,23320
102,192949,23320
103,192949,23320
104,192949,23320
105,192949,23320
106,192949,23320
107,192949,23320
108,192949,23320
109,192949,23320
110,192949,23320
111,192949,23320
112,192949,23320
113,192949,23320
114,192949,23320
115,192949,23320
116,192949,23320
117,192949,23320
118,192949,23320
119,192949,23320
120,192949,23320
121,192949,23320
122,192949,23320
123,192949,23320
124,192949,23320
125,192949,23320
126,192949,23320
127,192949,23320
128,192949,23320
129,192949,23320
130,192949,23320
131,192949,23320
132,192949,23320
133,192949,23320
134,192949,23320
135,192949,23320
136,192949,23320
137,192949,23320
138,192949,23320
139,192949,23320
140,192949,23320
141,192949,23320
142,192949,23320
143,192949,23320
144,192949,23320
145,192949,23320
146,192949,23320
147,192949,23320
148,192949,23320
149,192949,23320
150,192949,23320
151,192949,23320
152,192949,23320
153,192949,23320
154,192949,23320
155,192949,23320
156,192949,23320
157,192949,23320
158,192949,23320
159,192949,23320
160,192949,23320
161,192949,23320
162,192949,23320
163,192949,23320
164,192949,23320
165,192949,23320
166,192949,23320
167,192949,23320
168,192949,23320
169,192949,23320
170,192949,23320
171,192949,23320
172,192949,23320
173,192949,23320
174,192949,23320
175,192949,23320
176,192949,23320
177,192949,23320
178,192949,23320
179,192949,23320
180,192949,23320
181,192949,23320
182,192949,23320
183,192949,23320
184,192949,23320
185,192949,23320
186,192949,23320
187,192949,23320
188,192949,23320
189,192949,23320
190,192949,23320
191,192949,23320
192,192949,23320
193,192949,23320
194,192949,23320
195,192949,23320
196,192949,23320
197,192949,23320
198,192949,23320
199,192949,23320
200,192949,23320
201,192949,23320
202,192949,23320
203,192949,23320
204,192949,23320
205,192949,23320
206,192949,23320
207,192949,23320
208,192949,23320
209,192949,23320
210,192949,23320
211,192949,23320
212,192949,23320
213,192949,23320
214,192949,23320
215,192949,23320
216,192949,23320
217,192949,23320
218,192949,23320
219,192949,23320
220,192949,23320
221,192949,23320
222,192949,23320
223,192949,23320
224,192949,23320
225,192949,23320
226,192949,23320
227,192949,23320
228,192949,23320
229,192949,23320
230,192949,23320
231,192949,23320
232,192949,23320
233,192949,23320
234,192949,23320
235,192949,23320
236,192949,23320
237,192949,23320
238,192949,23320
239,192949,23320
240,192949,23320
241,192949,23320
242,192949,23320
243,192949,23320
244,192949,23320
245,192949,23320
246,192949,23320
247,192949,23320
248,192949,23320
249,192949,23320
250,192949,23320
251,192949,23320
252,192949,23320
253,192949,23320
254,192949,23320
255,192949,23320
256,192949,23320
257,192949,23320
258,192949,23320
259,192949,23320
260,192949,23320
261,192949,23320
262,192949,23320
263,192949,23320
264,192949,23320
265,192949,23320
266,192949,23320
267,192949,23320
268,192949,23320
269,192949,23320
270,192949,23320
271,192949,23320
272,192949,23320
273,192949,23320
274,192949,23320
275,192949,23320
276,192949,23320
277,192949,23320
278,192949,23320
279,192949,23320
280,192949,23320
281,192949,23320
282,192949,23320
283,192949,23320
284,192949,23320
285,192949,23320
286,192949,23320
287,192949,23320
288,192949,23320
289,192949,23320
290,192949,23320
291,192949,23320
292,192949,23320
293,192949,23320
294,192949,23320
295,192949,23320
296,192949,23320
297,192949,23320
298,192949,23320
299,192949,23320
300,192949,23320
301,192949,23320
302,192949,23320
303,192949,23320
304,192949,23320
305,192949,23320
306,192949,23320
307,192949,23320
308,192949,23320
309,192949,23320
310,192949,23320
311,192949,23320
312,192949,23320
313,192949,23320
314,192949,23320
315,192949,23320
316,192949,23320
317,192949,23320
318,192949,23320
319,192949,23320
320,192949,23320
321,192949,23320
322,192949,23320
323,192949,23320
324,192949,23320
325,192949,23320
326,192949,23320
327,192949,23320
328,192949,23320
329,192949,23320
330,192949,23320
331,192949,23320
332,192949,23320
333,192949,23320
334,192949,23320
335,192949,23320
336,192949,23320
337,192949,23320
338,192949,23320
339,192949,23320
340,192949,23320
341,192949,23320
342,192949,23320
343,192949,23320
344,192949,23320
345,192949,23320
346,237514,25970
347,259406,28564
348,237826,27709
349,248038,26920
350,269259,28169
351,276288,28919
352,271615,29075
353,291975,30063
354,364184,36897
355,369623,45897
356,379150,44330
357,407094,46460
358,412574,54663
359,439060,52920
360,519865,57446
361,530760,80172
362,536368,88538
363,528633,92197
364,538997,75135
365,521205,71842
366,523590,68298
367,569383,67136
368,675326,75660
369,773345,97212
370,797683,100318
371,781990,82120
372,775242,86149
373,786572,86701
374,810151,85713
375,850121,102830
376,1132569,168412
377,1085898,169268
378,953575,129604
379,950510,127244
380,950828,126094
381,921322,123084
382,869635,128555
383,1019693,159889
384,952937,161094
385,810102,121359
386,793227,117486
387,804170,120628
388,895664,129579
389,957816,144983
390,1058852,176744
391,991971,170290
392,864066,136866
393,885589,140154
394,934914,147421
395,1036723,158646
396,1241586,201420
397,1293503,234767
398,1293250,244340
399,2012356,371611
400,2388010,441613
401,524446,122039
402,524446,45992
403,524446,29263
404,524446,29263
405,524446,29263
406,524446,29263
407,524446,29263
408,524446,29263
409,524446,29263
410,524446,29263
411,524446,29263
412,524446,29263
413,524446,29263
414,524446,29263
415,524446,29263
416,524446,29263
417,524446,29263
418,524446,29263
419,524446,29263
420,524446,29263
421,524446,29263
422,524446,29263
423,524446,29263
424,524446,29263
425,524446,29263
426,524446,29263
427,524446,29263
428,524446,29263
429,524446,29263
430,524446,29263
431,524446,29263
432,524446,29263
433,524446,29263
434,524446,29263
435,524446,29263
436,524446,29263
437,524446,29263
438,524446,29263
439,524446,29263
440,524446,29263
441,524446,29263
442,524446,29263
443,524446,29263
444,524446,29263
445,524446,29263
446,524446,29263
447,524446,29263
448,524446,29263
449,524446,29263
450,524446,29263
451,524446,29263
452,524446,29263
453,524446,29263
454,524446,29263
455,524446,29263
456,524446,29263
457,524446,29263
458,524446,29263
459,524446,29263
460,524446,29263
461,524446,29263
462,524446,29263
463,524446,29263
464,524446,29263
465,524446,29263
466,524446,29263
467,524446,29263
468,524446,29263
469,524446,29263
470,524446,29263
471,524446,29263
472,524446,29263
473,524446,29263
474,524446,29263
475,524446,29263
476,524446,29263
477,524446,29263
478,524446,29263
479,524446,29263
480,524446,29263
481,524446,29263
482,524446,29263
483,524446,29263
484,524446,29263
485,524446,29263
486,524446,29263
487,524446,29263
488,524446,29263
489,524446,29263
490,524446,29263
491,524446,29263
492,524446,29263
493,524446,29263
494,524446,29263
495,524446,29263
496,524446,29263
497,524446,29263
498,524446,29263
499,524446,29263
500,524446,29263
501,524446,29263
502,524446,29263
503,524446,29263
504,524446,29263
505,524446,29263
506,524446,29263
507,524446,29263
508,524446,29263
509,524446,29263
510,524446,29263
511,524446,29263
512,524446,29263
513,524446,29263
514,524446,29263
515,524446,29263
516,524446,29263
517,524446,29263
518,524446,29263
519,524446,29263
520,524446,29263
521,524446,29263
522,524446,29263
523,524446,29263
524,524446,29263
525,524446,29263
526,524446,29263
527,524446,29263
528,524446,29263
529,524446,29263
530,524446,29263
531,524446,29263
532,524446,29263
533,524446,29263
534,524446,29263
535,524446,29263
536,524446,29263
537,524446,29263
538,524446,29263
539,524446,29263
540,524446,29263
541,524446,29263
542,524446,29263
543,524446,29263
544,524446,29263
545,524446,29263
546,524446,29263
547,524446,29263
548,524446,29263
549,524446,29263
550,524446,29263
551,524446,29263
552,524446,29263
553,524446,29263
554,524446,29263
555,524446,29263
556,524446,29263
557,524446,29263
558,524446,29263
559,524446,29263
560,524446,29263
561,524446,29263
562,524446,29263
563,524446,29263
564,524446,29263
565,524446,29263
566,524446,29263
567,524446,29263
568,524446,29263
569,524446,29263
570,524446,29263
571,524446,29263
572,524446,29263
573,524446,29263
574,524446,29263
575,524446,29263
576,524446,29263
577,524446,29263
578,524446,29263
579,524446,29263
580,524446,29263
581,524446,29263
582,524446,29263
583,524446,29263
584,524446,29263
585,524446,29263
586,524446,29263
587,524446,29263
588,524446,29263
589,524446,29263
590,524446,29263
591,524446,29263
592,524446,29263
593,524446,29263
594,524446,29263
595,524446,29263
596,524446,29263
597,524446,29263
598,524446,29263
599,524446,29263
600,524446,29263
601,524446,29263
602,524446,29263
603,524446,29263
604,524446,29263
605,524446,29263
606,524446,29263
607,524446,29263
608,524446,29263
609,524446,29263
610,524446,29263
611,524446,29263
612,524446,29263
613,524446,29263
614,524446,29263
615,524446,29263
616,524446,29263
617,524446,29263
618,524446,29263
619,524446,29263
620,524446,29263
621,524446,29263
622,524446,29263
623,524446,29263
624,524446,29263
625,524446,29263
626,524446,29263
627,524446,29263
628,524446,29263
629,524446,29263
630,524446,29263
631,524446,29263
632,524446,29263
633,524446,29263
634,524446,29263
635,524446,29263
636,524446,29263
637,524446,29263
638,524446,29263
639,524446,29263
640,524446,29263
641,524446,29263
642,524446,29263
643,524446,29263
644,524446,29263
645,524446,29263
646,524446,29263
647,524446,29263
648,524446,29263
649,524446,29263
650,524446,29263
651,524446,29263
652,524446,29263
653,524446,29263
654,524446,29263
655,524446,29263
656,524446,29263
657,524446,29263
658,524446,29263
659,524446,29263
660,524446,29263
661,524446,29263
662,524446,29263
663,524446,29263
664,524446,29263
665,524446,29263
666,524446,29263
667,524446,29263
668,524446,29263
669,524446,29263
670,524446,29263
671,524446,29263
672,524446,29263
673,524446,29263
674,524446,29263
675,524446,29263
676,524446,29263
677,524446,29263
678,524446,29263
679,524446,29263
680,524446,29263
681,524446,29263
682,524446,29263
683,524446,29263
684,524446,29263
685,524446,29263
686,524446,29263
687,524446,29263
688,524446,29263
689,524446,29263
690,524446,29263
691,524446,29263
692,524446,29263
693,524446,29263
694,524446,29263
695,524446,29263
696,524446,29263
697,524446,29263
698,524446,29263
699,524446,29263
700,524446,29263
701,524446,29263
702,524446,29263
703,524446,29263
704,524446,29263
705,524446,29263
706,524446,29263
707,524446,29263
708,524446,29263
709,524446,29263
710,524446,29263
711,302453,36666
712,281222,38316
713,262747,38353
714,270318,37886
715,271428,39653
716,295412,42812
717,318323,67239
718,326702,58729
719,319953,65114
720,313263,63021
721,359208,72930
722,378678,81707
723,361046,71260
724,347324,72616
725,339693,76798
726,368675,92654
727,390374,98924
728,359250,80775
729,362490,79825
730,374590,79321
731,430414,82547
732,480020,93777
733,499150,117506
734,485684,120998
735,479047,95896
736,501256,92499
737,591328,91074
738,666489,95103
739,787506,111539
740,806215,158637
741,894734,197311
742,874986,147221
743,860762,141179
744,846530,145011
745,802038,144552
746,831890,156251
747,991720,202053
748,930672,194558
749,799237,142365
750,788406,134836
751,835247,144506
752,868479,148931
753,936648,163101
754,1067494,209939
755,985286,202281
756,918416,158435
757,961685,168444
758,979352,178574
759,1034542,190921
760,1176224,227935
761,1217935,258399
762,1121640,245567
763,1248696,254340
764,2027644,437319
765,2405812,544082
766,529236,146558
767,529236,54037
768,529236,37701
769,529236,27658
770,529236,27658
771,529236,27658
772,529236,27658
773,529236,27658
774,529236,27658
775,529236,27658
776,529236,27658
777,529236,27658
778,529236,27658
779,529236,27658
780,529236,27658
781,529236,27658
782,529236,27658
783,529236,27658
784,529236,27658
785,529236,27658
786,529236,27658
787,529236,27658
788,529236,27658
789,529236,27658
790,529236,27658
791,529236,27658
792,529236,27658
793,529236,27658
794,529236,27658
795,529236,27658
796,529236,27658
797,529236,27658
798,529236,27658
799,529236,27658
800,529236,27658
801,529236,27658
802,529236,27658
803,529236,27658
804,529236,27658
805,529236,27658
806,529236,27658
807,529236,27658
808,529236,27658
809,529236,27658
810,529236,27658
811,529236,27658
812,529236,27658
813,529236,27658
814,529236,27658
815,529236,27658
816,529236,27658
817,529236,27658
818,529236,27658
819,529236,27658
820,529236,27658
821,529236,27658
822,529236,27658
823,529236,27658
824,529236,27658
825,529236,27658
826,529236,27658
827,529236,27658
828,529236,27658
829,529236,27658
830,529236,27658
831,529236,27658
832,529236,27658
833,529236,27658
834,529236,27658
835,529236,27658
836,529236,27658
837,529236,27658
838,529236,27658
839,529236,27658
840,529236,27658
841,529236,27658
842,529236,27658
843,529236,27658
844,529236,27658
845,529236,27658
846,529236,27658
847,529236,27658
848,529236,27658
849,529236,27658
850,529236,27658
851,529236,27658
852,529236,27658
853,529236,27658
854,529236,27658
855,529236,27658
856,529236,27658
857,529236,27658
858,529236,27658
859,529236,27658
860,529236,27658
861,529236,27658
862,529236,27658
863,529236,27658
864,529236,27658
865,529236,27658
866,529236,27658
867,529236,27658
868,529236,27658
869,529236,27658
870,529236,27658
871,529236,27658
872,529236,27658
873,529236,27658
874,529236,27658
875,529236,27658
876,529236,27658
877,529236,27658
878,529236,27658
879,529236,27658
880,529236,27658
881,529236,27658
882,529236,27658
883,529236,27658
884,529236,27658
885,529236,27658
886,529236,27658
887,529236,27658
888,529236,27658
889,529236,27658
890,529236,27658
891,529236,27658
892,529236,27658
893,529236,27658
894,529236,27658
895,529236,27658
896,529236,27658
897,529236,27658
898,529236,27658
899,529236,27658
900,529236,27658
901,529236,27658
902,529236,27658
903,529236,27658
904,529236,27658
905,529236,27658
906,529236,27658
907,529236,27658
908,529236,27658
909,529236,27658
910,529236,27658
911,529236,27658
912,529236,27658
