,us,ca,jp,gb,fr,pl,au,date
0,0,0,0,0,0,0,0,2020-10-25
1,0,0,0,0,0,0,0,2020-10-26
2,0,0,0,0,0,0,0,2020-10-27
3,0,0,0,0,0,0,0,2020-10-28
4,0,0,0,0,0,0,0,2020-10-29
5,321579,68534,0,104348,383939,25256,0,2020-10-30
6,321579,51048,0,104348,309093,25256,0,2020-10-31
7,321579,37171,0,104348,251188,25256,0,2020-11-01
8,321579,40773,0,48903,267669,25256,0,2020-11-02
9,321579,41893,0,46945,250223,25256,0,2020-11-03
10,321579,37520,0,46945,237514,25256,0,2020-11-04
11,321579,39500,0,46945,240044,25256,0,2020-11-05
12,321579,47803,0,46945,296284,25256,0,2020-11-06
13,321579,52228,0,46945,346018,19468,0,2020-11-07
14,321579,46181,0,46945,293097,17646,0,2020-11-08
15,321579,46878,0,46945,321089,19605,0,2020-11-09
16,321579,48494,0,46945,311920,18761,0,2020-11-10
17,321579,45354,0,46945,283827,18761,0,2020-11-11
18,321579,44423,0,46945,306462,16839,0,2020-11-12
19,321579,42645,0,51988,303079,16839,0,2020-11-13
20,321579,40326,0,51988,295395,16839,0,2020-11-14
21,321579,33302,0,51988,238322,16839,0,2020-11-15
22,321579,33911,0,51988,265970,16839,0,2020-11-16
23,321579,35198,0,51988,261561,16839,0,2020-11-17
24,321579,33772,0,51988,268668,16839,0,2020-11-18
25,321579,33471,0,51988,260281,16839,0,2020-11-19
26,321579,36698,0,51988,274588,16839,0,2020-11-20
27,321579,34939,0,51988,276385,16839,0,2020-11-21
28,321579,34939,0,51988,223074,16839,0,2020-11-22
29,321579,29864,0,51988,243222,16839,0,2020-11-23
30,321579,31472,0,51988,234410,16839,0,2020-11-24
31,321579,31472,0,51988,238517,16839,0,2020-11-25
32,321579,30443,0,51988,236681,16839,0,2020-11-26
33,321579,30443,0,51988,260412,16839,0,2020-11-27
34,321579,30443,0,51988,287273,16839,0,2020-11-28
35,321579,30443,0,51988,226555,16839,0,2020-11-29
36,321579,30443,0,51988,239071,16839,0,2020-11-30
37,321579,30443,0,51988,233920,16839,0,2020-12-01
38,321579,30443,0,51988,232591,16839,0,2020-12-02
39,321579,30443,0,51988,222347,16839,0,2020-12-03
40,321579,30443,0,51988,236673,16839,0,2020-12-04
41,321579,30443,0,51988,260833,16839,0,2020-12-05
42,321579,30443,0,51988,248281,16839,0,2020-12-06
43,321579,30443,0,51988,259861,16839,0,2020-12-07
44,321579,30443,0,51988,256886,16839,0,2020-12-08
45,321579,30443,0,51988,264563,16839,0,2020-12-09
46,321579,30443,0,51988,259798,16839,0,2020-12-10
47,321579,30443,0,51988,273571,16839,0,2020-12-11
48,321579,30443,0,51988,302028,16839,0,2020-12-12
49,321579,30443,0,51988,238626,16839,0,2020-12-13
50,321579,30443,0,51988,247621,16839,0,2020-12-14
51,321579,30443,0,51988,246569,16839,0,2020-12-15
52,321579,30443,0,51988,256229,19480,0,2020-12-16
53,321579,30443,0,51988,253765,19480,0,2020-12-17
54,321579,30443,0,51988,272330,19480,0,2020-12-18
55,321579,30443,0,51988,279460,19480,0,2020-12-19
56,321579,30443,0,51988,231129,19480,0,2020-12-20
57,321579,30443,0,51988,252174,19480,0,2020-12-21
58,321579,30443,0,51988,257199,19480,0,2020-12-22
59,321579,30443,0,51988,264099,19480,0,2020-12-23
60,321579,30443,0,51988,321170,19480,0,2020-12-24
61,321579,30443,0,51988,191059,19480,0,2020-12-25
62,321579,30443,0,51988,220810,19480,0,2020-12-26
63,321579,30443,0,51988,197008,19480,0,2020-12-27
64,321579,30443,0,51988,220838,18601,0,2020-12-28
65,321579,30443,0,51988,223936,19849,0,2020-12-29
66,321579,30443,0,51988,231741,19539,0,2020-12-30
67,321579,30443,0,51988,367974,19539,0,2020-12-31
68,321579,30443,0,51988,186239,19539,0,2021-01-01
69,321579,30443,0,51988,213313,16145,0,2021-01-02
70,321579,30443,0,51988,193448,14910,0,2021-01-03
71,321579,30443,0,51988,206636,18182,0,2021-01-04
72,321579,30443,0,51988,204981,18312,0,2021-01-05
73,321579,30443,0,51988,212523,15712,0,2021-01-06
74,321579,30443,0,51988,205863,17837,0,2021-01-07
75,321579,30443,0,51988,231214,18547,0,2021-01-08
76,321579,30443,0,51988,251199,18748,0,2021-01-09
77,321579,30443,0,51988,203758,15506,0,2021-01-10
78,321579,30443,0,51988,201264,17862,0,2021-01-11
79,321579,30443,0,51988,198850,18993,0,2021-01-12
80,321579,30443,0,51988,208708,18193,0,2021-01-13
81,321579,30443,0,51988,198609,18147,0,2021-01-14
82,321579,30443,0,51988,225726,18147,0,2021-01-15
83,321579,30443,0,51988,232981,18914,0,2021-01-16
84,321579,30443,0,51988,193772,18914,0,2021-01-17
85,321579,30443,0,51988,191599,18914,0,2021-01-18
86,321579,30443,0,51988,193471,18914,0,2021-01-19
87,321579,30443,0,51988,201455,18914,0,2021-01-20
88,321579,30443,0,51988,193781,18914,0,2021-01-21
89,321579,30443,0,51988,220276,18914,0,2021-01-22
90,321579,30443,0,51988,242166,18914,0,2021-01-23
91,321579,30443,0,51988,190683,18914,0,2021-01-24
92,321579,30443,0,51988,184234,18914,0,2021-01-25
93,321579,30443,0,51988,187584,18914,0,2021-01-26
94,321579,30443,0,51988,193917,18914,0,2021-01-27
95,321579,30443,0,51988,190910,18914,0,2021-01-28
96,321579,30443,0,51988,211877,18914,0,2021-01-29
97,321579,30443,0,51988,231370,18914,0,2021-01-30
98,321579,30443,0,51988,184432,18914,0,2021-01-31
99,321579,30443,0,51988,173195,18914,0,2021-02-01
100,321579,30443,0,51988,178284,18914,0,2021-02-02
101,321579,30443,0,51988,181702,18914,0,2021-02-03
102,321579,30443,0,51988,177572,18914,0,2021-02-04
103,321579,30443,0,51988,209000,18914,0,2021-02-05
104,321579,30443,0,51988,228876,18914,0,2021-02-06
105,321579,30443,0,51988,180437,18914,0,2021-02-07
106,321579,30443,0,51988,176880,18914,0,2021-02-08
107,321579,30443,0,51988,179191,18914,0,2021-02-09
108,321579,30443,0,51988,182100,18914,0,2021-02-10
109,321579,30443,0,51988,181345,18914,0,2021-02-11
110,321579,30443,0,51988,206074,18914,0,2021-02-12
111,321579,30443,0,51988,227874,18914,0,2021-02-13
112,321579,30443,0,51988,181363,18914,0,2021-02-14
113,321579,30443,0,51988,181472,18914,0,2021-02-15
114,321579,30443,0,51988,183506,18914,0,2021-02-16
115,321579,30443,0,51988,192698,18914,0,2021-02-17
116,321579,30443,0,51988,186874,18914,0,2021-02-18
117,321579,30443,0,51988,206542,18914,0,2021-02-19
118,321579,30443,0,51988,228846,18914,0,2021-02-20
119,321579,30443,0,51988,181927,18914,0,2021-02-21
120,321579,30443,0,51988,173339,18914,0,2021-02-22
121,321579,30443,0,51988,182821,18914,0,2021-02-23
122,321579,30443,0,51988,187905,18914,0,2021-02-24
123,321579,30443,0,51988,182925,18914,0,2021-02-25
124,321579,30443,0,51988,206745,18914,0,2021-02-26
125,321579,30443,0,51988,222845,18914,0,2021-02-27
126,321579,30443,0,51988,183818,18914,0,2021-02-28
127,321579,30443,0,51988,178700,18914,0,2021-03-01
128,321579,30443,0,51988,177355,18914,0,2021-03-02
129,321579,30443,0,51988,176663,18914,0,2021-03-03
130,321579,30443,0,51988,175430,18914,0,2021-03-04
131,321579,30443,0,51988,190729,18914,0,2021-03-05
132,321579,30443,0,51988,214385,18914,0,2021-03-06
133,321579,30443,0,51988,166759,18914,0,2021-03-07
134,321579,30443,0,51988,156867,18914,0,2021-03-08
135,321579,30443,0,51988,159381,18914,0,2021-03-09
136,321579,30443,0,51988,166318,18914,0,2021-03-10
137,321579,30443,0,51988,166090,18914,0,2021-03-11
138,321579,30443,0,51988,181899,18914,0,2021-03-12
139,321579,30443,0,51988,204432,18914,0,2021-03-13
140,321579,30443,0,51988,165429,18914,0,2021-03-14
141,321579,30443,0,51988,154876,18914,0,2021-03-15
142,321579,30443,0,51988,157739,18914,0,2021-03-16
143,321579,30443,0,51988,164534,18914,0,2021-03-17
144,321579,30443,0,51988,155620,18914,0,2021-03-18
145,321579,30443,0,51988,183852,18914,0,2021-03-19
146,321579,30443,0,51988,206035,18914,0,2021-03-20
147,321579,30443,0,51988,156254,18914,0,2021-03-21
148,321579,30443,0,51988,151642,18914,0,2021-03-22
149,321579,30443,0,51988,158415,18914,0,2021-03-23
150,321579,30443,0,51988,167530,18914,0,2021-03-24
151,321579,30443,0,51988,153538,18914,0,2021-03-25
152,321579,30443,0,51988,156875,18914,0,2021-03-26
153,321579,30443,0,51988,177373,18914,0,2021-03-27
154,321579,30443,0,51988,142501,18914,0,2021-03-28
155,321579,30443,0,51988,145232,18914,0,2021-03-29
156,321579,30443,0,51988,147184,18914,0,2021-03-30
157,321579,30443,0,51988,161178,18914,0,2021-03-31
158,321579,30443,0,51988,157104,18914,0,2021-04-01
159,321579,30443,0,51988,172884,18914,0,2021-04-02
160,321579,30443,0,51988,184736,18914,0,2021-04-03
161,321579,30443,0,51988,153242,18914,0,2021-04-04
162,321579,30443,0,51988,148834,18914,0,2021-04-05
163,321579,30443,0,51988,139344,18914,0,2021-04-06
164,321579,30443,0,51988,140523,18914,0,2021-04-07
165,321579,30443,0,51988,142824,18914,0,2021-04-08
166,321579,30443,0,51988,151962,18914,0,2021-04-09
167,321579,30443,0,51988,163510,18914,0,2021-04-10
168,321579,30443,0,51988,128509,18914,0,2021-04-11
169,321579,30443,0,51988,131565,18914,0,2021-04-12
170,321579,30443,0,51988,132188,18914,0,2021-04-13
171,321579,30443,0,51988,133561,18914,0,2021-04-14
172,321579,30443,0,51988,140622,18914,0,2021-04-15
173,321579,30443,0,51988,151543,18914,0,2021-04-16
174,321579,30443,0,51988,164788,18914,0,2021-04-17
