,us,ca,jp,gb,fr,pl,au,date
0,0,0,0,0,0,0,0,2020-08-10
1,0,0,0,0,0,0,0,2020-08-11
2,0,0,0,0,0,0,0,2020-08-12
3,0,0,0,0,0,0,0,2020-08-13
4,0,0,0,0,0,0,0,2020-08-14
5,0,0,0,0,0,0,0,2020-08-15
6,0,0,0,0,0,0,0,2020-08-16
7,0,0,0,0,0,0,0,2020-08-17
8,0,0,0,0,0,0,0,2020-08-18
9,0,0,0,0,0,0,0,2020-08-19
10,0,0,0,0,0,0,0,2020-08-20
11,0,0,0,0,0,0,0,2020-08-21
12,0,0,0,0,0,0,0,2020-08-22
13,0,0,0,0,0,0,0,2020-08-23
14,0,0,0,0,0,0,0,2020-08-24
15,0,0,0,0,0,0,0,2020-08-25
16,0,0,0,0,0,0,0,2020-08-26
17,0,0,0,0,0,0,0,2020-08-27
18,889696,140159,0,97714,0,0,56766,2020-08-28
19,858683,134864,0,88327,0,0,53220,2020-08-29
20,833745,131572,0,86703,0,0,52788,2020-08-30
21,871278,140981,0,91120,0,0,60273,2020-08-31
22,892474,145876,0,97474,0,0,61883,2020-09-01
23,893008,147748,0,95537,0,0,63072,2020-09-02
24,907547,152697,0,96170,0,0,65208,2020-09-03
25,975345,164696,0,101939,0,0,64728,2020-09-04
26,942927,164194,0,101218,0,0,62340,2020-09-05
27,862934,157334,0,95733,0,0,60984,2020-09-06
28,901490,156673,0,122246,39276,0,80517,2020-09-07
29,990751,183599,0,146797,42736,0,90381,2020-09-08
30,1024240,192406,0,160728,46258,0,102141,2020-09-09
31,1045972,200229,0,174085,48274,0,111290,2020-09-10
32,1110773,215424,0,193255,51080,20448,116899,2020-09-11
33,1123098,209532,0,200891,53525,21885,115471,2020-09-12
34,1032652,196566,0,195007,50616,22306,120584,2020-09-13
35,1139752,222186,0,229639,60470,28509,137341,2020-09-14
36,1176084,232590,0,245995,65697,30584,145632,2020-09-15
37,1190706,244955,0,260566,72884,32086,150829,2020-09-16
38,1226444,251933,0,278371,74876,33112,155690,2020-09-17
39,1339823,260553,0,301636,77941,36164,160934,2020-09-18
40,1335195,252500,0,303432,81015,37823,157342,2020-09-19
41,1185352,233046,0,279124,72746,32674,152023,2020-09-20
42,1223387,240837,0,311983,80588,36678,162116,2020-09-21
43,1268048,245887,0,314939,82605,37088,163690,2020-09-22
44,1293308,247118,0,315161,87971,36840,166845,2020-09-23
45,1327467,254949,0,329881,86342,37591,170271,2020-09-24
46,1437460,265646,0,359879,100574,39311,174467,2020-09-25
47,1399282,258961,0,354848,102045,38087,167505,2020-09-26
48,1204697,230972,0,316070,85298,31693,158980,2020-09-27
49,1256342,235413,0,341751,93086,36377,170916,2020-09-28
50,1291189,241149,0,353511,98267,37998,172623,2020-09-29
51,1304384,244074,0,351330,111785,38122,170757,2020-09-30
52,1364986,251450,0,365497,108207,39906,180286,2020-10-01
53,1258850,231013,0,371161,114532,41959,178706,2020-10-02
54,1173023,215245,0,368646,117949,42829,164810,2020-10-03
55,1027937,190159,0,315802,97837,35554,151265,2020-10-04
56,1037713,193324,0,332897,105683,40652,160880,2020-10-05
57,1060051,196727,0,336931,109263,40773,159647,2020-10-06
58,1068906,193204,0,343377,122065,40612,160431,2020-10-07
59,1067629,196149,0,346445,116627,40945,167925,2020-10-08
60,1320962,219295,0,377218,137556,46727,178293,2020-10-09
61,1317316,213728,0,369767,140094,45276,170588,2020-10-10
62,1151761,194197,0,318539,114654,37340,166705,2020-10-11
63,1146268,183952,0,325481,123910,40017,170252,2020-10-12
64,1200077,192725,23309,339166,128636,42690,172105,2020-10-13
65,1233414,199524,23106,348079,138697,44379,177401,2020-10-14
66,1246067,199334,24640,354626,150965,42618,178379,2020-10-15
67,1313525,206831,24520,383154,179877,47303,181298,2020-10-16
68,1319748,209290,25705,368695,181145,45327,177642,2020-10-17
69,1151554,188829,26252,333757,161197,38430,169267,2020-10-18
70,1159564,186709,24009,351162,175116,41137,174354,2020-10-19
71,1180849,191650,27203,354028,170841,40475,178438,2020-10-20
72,1184884,189708,26534,356338,172919,40774,180321,2020-10-21
73,1204356,194848,26371,377303,173749,42904,185231,2020-10-22
74,1242348,205333,25240,404790,179001,45419,186064,2020-10-23
75,1239877,202441,26983,393542,169333,46092,170782,2020-10-24
76,1059284,182557,26645,363824,151074,40613,161704,2020-10-25
77,1047009,174216,24964,390007,185956,42006,167773,2020-10-26
78,1082428,179408,25210,380415,184475,41876,173354,2020-10-27
79,1066857,179107,24717,379434,180961,41915,175894,2020-10-28
80,1054562,179639,24664,371540,184861,41384,176946,2020-10-29
81,1195754,190646,24796,400071,163775,44852,185446,2020-10-30
82,1231732,197766,26284,372800,164390,44103,175433,2020-10-31
83,1018072,167171,25374,321276,142632,37167,168254,2020-11-01
84,1059535,167374,22823,342169,150676,41262,176211,2020-11-02
85,1138997,173644,25866,340710,150268,41751,171468,2020-11-03
86,1044766,172494,24333,339764,162009,40858,161763,2020-11-04
87,1107885,179825,24302,318996,162105,42125,167621,2020-11-05
88,1158935,188218,23761,348471,184899,46281,177537,2020-11-06
89,1177436,194548,24376,368213,201029,46374,174573,2020-11-07
90,1021416,174024,24654,313565,170766,38966,164203,2020-11-08
91,1014043,164482,23696,318174,170532,41475,162668,2020-11-09
92,1054441,167938,24585,317630,181003,42641,160345,2020-11-10
93,1071239,166959,24558,315722,179379,39814,158006,2020-11-11
94,1031181,165947,24519,319129,168640,43006,161329,2020-11-12
95,1038504,164593,24194,335641,177271,44700,165787,2020-11-13
96,1073693,168582,25528,345045,191106,43847,164406,2020-11-14
97,938654,149156,24564,297070,155545,36680,152270,2020-11-15
98,914231,140774,23002,287595,153231,39175,148570,2020-11-16
99,945148,145724,23908,289841,152120,38863,148960,2020-11-17
100,947319,146201,23625,288318,167885,38550,150294,2020-11-18
101,959328,149485,23230,293347,157927,40448,152988,2020-11-19
102,992131,158521,22547,314349,172286,42557,158972,2020-11-20
103,1011621,158571,23185,325684,182977,37680,156002,2020-11-21
104,887235,139182,23185,282374,150569,32717,140373,2020-11-22
105,936711,135234,23185,275119,156357,36844,140894,2020-11-23
106,1008935,142500,22186,277721,154177,37588,143798,2020-11-24
107,1062326,143527,22080,278836,169977,38531,146532,2020-11-25
108,935823,147708,22629,280330,165088,39278,148229,2020-11-26
109,843003,150981,21796,299491,182906,39843,153390,2020-11-27
110,891766,154434,22394,307893,203714,39076,148558,2020-11-28
111,826390,137747,22394,255633,162413,31191,135522,2020-11-29
112,838038,129961,22394,246500,158755,33958,136368,2020-11-30
113,886128,137105,22394,250698,158932,34634,137802,2020-12-01
114,902823,140502,22394,261890,168406,35159,138274,2020-12-02
115,896479,139969,22394,251361,158538,34988,138226,2020-12-03
116,918454,143113,22394,271546,171851,37277,144137,2020-12-04
117,931169,145562,22394,280596,189809,36789,139094,2020-12-05
118,819854,129067,22394,233857,153864,30051,129537,2020-12-06
119,798082,121767,22394,229514,149346,32352,126885,2020-12-07
120,826196,123404,22394,226982,149037,32033,129124,2020-12-08
121,836601,123747,22394,230642,162288,32868,131522,2020-12-09
122,836975,125394,22394,232996,155391,32997,132356,2020-12-10
123,842586,126915,22394,250644,170901,36326,136647,2020-12-11
124,859601,127414,22394,253649,189824,33970,131252,2020-12-12
125,770066,113839,22394,211649,153432,28180,118414,2020-12-13
126,738096,109092,22394,216895,140707,32401,121923,2020-12-14
127,761817,110676,22394,216161,139734,31953,122745,2020-12-15
128,750882,110888,22394,209732,153930,32813,125458,2020-12-16
129,748936,113506,22394,219723,159349,33049,129625,2020-12-17
130,804277,116782,22394,238618,176753,35826,131182,2020-12-18
131,827074,118815,22394,229886,180297,35310,122990,2020-12-19
132,741392,109037,22394,200463,153850,29736,116976,2020-12-20
133,774099,110735,22394,210313,162989,33375,119035,2020-12-21
134,793159,111432,22394,212573,163291,34877,115149,2020-12-22
135,804569,112782,22394,211773,166936,36935,117825,2020-12-23
136,747052,108564,22394,200622,197325,36935,111977,2020-12-24
137,551520,86049,22394,165752,133724,23111,96665,2020-12-25
138,668242,92552,22394,166129,151752,24315,96531,2020-12-26
139,701455,97647,22394,184436,138913,27783,96603,2020-12-27
140,761299,102450,22394,187356,149033,32212,100517,2020-12-28
141,806887,107977,22394,192341,152765,32645,106396,2020-12-29
142,807260,108389,22394,196278,156735,33893,109323,2020-12-30
143,868447,121122,22394,239609,217722,36940,129394,2020-12-31
144,837867,116284,22394,168374,121776,24180,89332,2021-01-01
145,749777,101815,22394,184169,144061,30454,101021,2021-01-02
146,726423,101557,22394,178120,130063,28083,101307,2021-01-03
