,us,ca,gb,fr,pl,jp,au,date
0,0,0,0,0,0,0,0,2020-10-13
1,0,0,0,0,0,0,0,2020-10-14
2,0,0,0,0,0,0,0,2020-10-15
3,964623,191345,157939,48631,38257,0,75135,2020-10-16
4,719790,179376,120046,44227,37674,0,93839,2020-10-17
5,637648,159834,119652,43541,36225,0,105689,2020-10-18
6,756459,187252,144652,57741,43446,23297,124421,2020-10-19
7,702319,186109,146102,56096,40484,30649,117851,2020-10-20
8,680567,177573,145122,56670,42027,31885,116569,2020-10-21
9,686800,174662,142369,66760,39293,30603,117412,2020-10-22
10,656168,174775,154393,80285,41500,31745,118598,2020-10-23
11,587907,165920,145203,74731,43082,34717,106946,2020-10-24
12,521555,150002,135895,70394,37199,34003,112539,2020-10-25
13,588812,155686,152695,73233,39597,30705,120395,2020-10-26
14,611203,158793,152808,73918,38847,31071,124532,2020-10-27
15,621888,161736,160053,72057,39354,31390,129127,2020-10-28
16,633918,163506,166074,73390,39721,31562,132514,2020-10-29
17,642991,164355,168972,66886,39971,30701,130906,2020-10-30
18,610346,159837,146375,67211,38797,31924,120252,2020-10-31
19,542840,138762,138055,63071,34872,30141,131492,2020-11-01
20,683193,164243,165060,72314,43249,26412,144254,2020-11-02
21,719118,169538,168215,81578,44068,30672,143204,2020-11-03
22,644122,163959,160526,93254,41659,28818,138602,2020-11-04
23,687228,170693,154864,96887,42993,28878,147108,2020-11-05
24,750957,176845,163004,99645,44524,29126,148667,2020-11-06
25,705107,167948,159421,101648,46081,29582,141827,2020-11-07
26,626313,150293,146558,92772,40481,30475,143388,2020-11-08
27,686422,156239,158063,98562,43628,28703,144832,2020-11-09
28,689002,155805,156784,97186,44080,29845,142092,2020-11-10
29,663889,148924,154454,94537,42380,29669,138595,2020-11-11
30,635046,146693,150437,92019,42873,29702,138445,2020-11-12
31,636407,146961,149476,89853,44149,29322,135847,2020-11-13
32,599182,141693,142779,87990,43534,30639,131156,2020-11-14
33,527836,123640,129721,76875,37786,30585,129134,2020-11-15
34,614944,130782,139721,79149,40090,27927,126543,2020-11-16
35,629242,135303,142799,80842,41415,28786,129691,2020-11-17
36,614786,132956,143488,86648,40803,28797,127146,2020-11-18
37,602468,131910,143432,83587,41707,28430,127631,2020-11-19
38,645257,144400,150097,84318,45130,27270,127259,2020-11-20
39,604234,138465,142603,84353,39045,28212,122657,2020-11-21
40,524354,120259,131375,75516,65824,25502,117220,2020-11-22
41,580140,125385,136672,78610,91905,26735,117182,2020-11-23
42,598489,128836,138708,78094,94765,26841,119503,2020-11-24
43,610695,126027,136922,82034,86760,26694,117759,2020-11-25
44,513827,127154,135524,81865,83699,26878,117354,2020-11-26
45,446136,128176,131941,80874,77704,25590,113583,2020-11-27
46,467768,122816,126251,86011,70832,26162,105446,2020-11-28
47,443286,110195,110011,72579,58158,24764,101704,2020-11-29
48,474238,109878,114233,72176,61755,23909,104074,2020-11-30
49,485279,111888,118870,72254,59667,24180,102263,2020-12-01
50,458177,108819,113843,72325,59438,23171,98438,2020-12-02
51,443408,104651,106571,70353,58651,22217,94983,2020-12-03
52,442524,105577,105605,72168,58997,21877,92483,2020-12-04
53,416690,101965,103338,75153,56398,0,87788,2020-12-05
54,378447,91832,93013,67387,48417,0,85181,2020-12-06
55,412655,93660,99135,67653,51544,0,87676,2020-12-07
56,430972,95920,101386,68626,50110,0,89948,2020-12-08
57,431955,94829,99323,70875,49532,0,90093,2020-12-09
58,424471,95273,100708,67690,48040,21614,89016,2020-12-10
59,415226,94162,98538,63668,48065,0,87436,2020-12-11
60,395493,89942,91577,67437,45209,0,81389,2020-12-12
61,359569,80053,81588,58068,39646,0,75371,2020-12-13
62,380740,82220,89518,59986,44865,0,77275,2020-12-14
63,392113,83515,89217,60226,44092,0,80684,2020-12-15
64,383345,82760,86386,63519,43362,0,80897,2020-12-16
65,374468,84071,87832,62927,43798,0,82855,2020-12-17
66,398049,84869,91304,63856,45744,0,82176,2020-12-18
67,383533,83111,85296,62473,45296,0,76943,2020-12-19
68,346083,75418,76690,56147,38599,0,74057,2020-12-20
69,377258,79521,84138,60179,43882,0,74232,2020-12-21
70,387432,80003,85784,61291,44279,0,74749,2020-12-22
71,387145,81795,83608,62277,45418,0,75639,2020-12-23
72,353600,75591,0,0,29922,0,69397,2020-12-24
73,0,0,0,0,26688,0,59614,2020-12-25
74,317817,64149,64138,0,29527,0,63937,2020-12-26
75,334299,68609,71741,0,33226,0,65957,2020-12-27
76,373362,73152,73858,0,40612,0,71553,2020-12-28
77,380453,77264,74537,0,40820,0,73660,2020-12-29
78,373873,78235,74749,0,42390,0,73990,2020-12-30
79,377988,84220,81022,0,39345,0,76274,2020-12-31
80,344244,76159,63060,0,26952,0,59027,2021-01-01
81,367585,73354,73657,37680,37891,0,64301,2021-01-02
82,349557,71982,73711,37411,35806,0,68854,2021-01-03
83,394114,75986,79772,40394,42844,0,72778,2021-01-04
84,409027,76260,72932,38699,43457,20750,73244,2021-01-05
85,395521,74799,74031,40340,36777,21589,73536,2021-01-06
86,391945,75126,72981,38444,41229,21394,73767,2021-01-07
87,407161,77135,73340,0,41706,20673,71121,2021-01-08
88,388462,75181,69503,0,39936,20450,68357,2021-01-09
89,362639,69038,66149,37832,35580,0,68410,2021-01-10
90,392573,72591,72216,0,40428,0,64088,2021-01-11
91,416049,72205,71625,0,39611,0,64660,2021-01-12
92,417688,71658,71050,0,39385,0,59732,2021-01-13
93,418465,71591,70176,37864,38888,0,58715,2021-01-14
94,433625,74518,72018,0,39189,20802,56706,2021-01-15
95,397107,70560,66440,0,35748,0,50713,2021-01-16
96,347039,64781,62268,36212,30410,0,51210,2021-01-17
97,370229,69626,67281,36130,34443,0,54376,2021-01-18
98,369675,67874,66861,36432,34742,0,53738,2021-01-19
99,354754,66350,64992,0,35375,0,53575,2021-01-20
100,353552,65839,65549,47326,33906,0,53807,2021-01-21
101,363655,68397,66763,55911,35618,0,52819,2021-01-22
102,345240,67009,62255,60371,34410,0,45234,2021-01-23
103,303428,59727,54424,52433,31119,0,44739,2021-01-24
104,325159,63172,60633,52077,34112,0,46692,2021-01-25
105,325821,62157,59287,52965,33366,0,46109,2021-01-26
106,326599,63064,59581,54420,32978,0,49367,2021-01-27
107,323004,63294,59962,52368,33015,0,49260,2021-01-28
108,333151,62976,60401,55046,33588,0,47618,2021-01-29
109,319187,61317,55495,58227,32910,0,45643,2021-01-30
110,286808,56701,52010,51531,27891,0,45954,2021-01-31
111,300766,57631,55562,49484,30286,0,47149,2021-02-01
112,300938,56077,54358,50387,30729,0,47332,2021-02-02
113,308883,59191,54941,52247,30704,0,48835,2021-02-03
114,308756,59410,54887,49918,31195,0,48420,2021-02-04
115,311221,58127,55135,52197,30968,0,45785,2021-02-05
116,293933,57177,50290,56182,29706,0,43586,2021-02-06
117,264244,52772,46619,49608,25824,0,43331,2021-02-07
118,265920,51157,48918,50452,28009,0,44823,2021-02-08
119,284888,53617,49694,51102,28029,0,45754,2021-02-09
120,288008,54390,50273,52222,30140,0,45843,2021-02-10
121,284339,54817,50080,49550,28253,0,44956,2021-02-11
122,286367,56349,0,50066,29293,0,41837,2021-02-12
123,268483,54987,0,52820,28620,0,40251,2021-02-13
124,248632,50339,0,45155,24491,0,41381,2021-02-14
125,251008,48688,0,45188,26283,0,42231,2021-02-15
126,248419,49856,0,45350,26766,0,42161,2021-02-16
127,256397,52174,0,47902,26834,0,43226,2021-02-17
128,251950,52906,0,47611,28075,0,43218,2021-02-18
129,263194,53620,0,49636,27892,0,41623,2021-02-19
130,257930,51611,0,50765,27271,0,38212,2021-02-20
131,238952,47759,0,42373,22964,0,38764,2021-02-21
132,250952,48049,0,42645,24346,0,39171,2021-02-22
133,255618,48715,0,43334,24127,0,39728,2021-02-23
134,255653,48935,0,44036,24587,0,39727,2021-02-24
135,251150,50072,0,0,24876,0,39920,2021-02-25
136,257698,49772,0,0,24838,0,37891,2021-02-26
137,248072,48717,0,0,24308,0,35811,2021-02-27
138,225364,44781,0,0,21263,0,36652,2021-02-28
139,243605,47138,0,0,23589,0,36911,2021-03-01
140,243675,47102,0,0,23547,0,37807,2021-03-02
141,243430,48525,0,0,23500,0,37828,2021-03-03
142,244411,47534,0,0,23948,0,38223,2021-03-04
143,240266,46860,0,0,23660,0,0,2021-03-05
144,0,44647,0,0,21310,0,0,2021-03-06
145,0,40735,0,0,18887,0,0,2021-03-07
146,202195,41960,0,0,20554,0,0,2021-03-08
147,0,41216,0,0,20335,0,0,2021-03-09
148,0,41838,0,0,20187,0,0,2021-03-10
149,0,42486,0,0,20670,0,0,2021-03-11
150,0,43000,0,0,21171,0,0,2021-03-12
151,0,42394,0,0,20682,0,0,2021-03-13
152,0,39073,0,0,18218,0,0,2021-03-14
153,0,40710,0,0,20141,0,0,2021-03-15
154,0,40256,0,0,19925,0,0,2021-03-16
155,0,40796,0,0,20532,0,0,2021-03-17
156,0,41414,0,0,20003,0,0,2021-03-18
157,775480,132327,131393,48676,31344,0,56216,2021-03-19
158,622321,117809,121004,45834,29457,0,64483,2021-03-20
159,482496,96079,101977,41175,25334,0,63886,2021-03-21
160,524258,97078,108621,41163,27005,0,69326,2021-03-22
161,470966,88475,105315,39325,25029,0,71397,2021-03-23
162,426687,81019,94653,0,23030,0,67138,2021-03-24
163,413268,78746,89270,0,22516,0,63865,2021-03-25
164,437867,80343,87163,0,24004,0,57983,2021-03-26
165,384117,75070,78285,0,23595,0,48662,2021-03-27
166,317591,63633,66340,0,18580,0,48427,2021-03-28
167,345657,66481,74019,0,20578,0,48965,2021-03-29
168,344901,66981,71074,0,20388,0,48798,2021-03-30
169,337610,66519,70080,0,19887,0,49066,2021-03-31
170,331308,65996,71823,0,20782,0,48188,2021-04-01
171,319274,64706,66099,0,20017,0,43036,2021-04-02
172,287513,57808,59403,0,18006,0,36362,2021-04-03
173,246928,53299,54031,0,0,0,34875,2021-04-04
174,278909,55047,56218,0,0,0,39685,2021-04-05
175,276212,54554,60501,0,0,0,41863,2021-04-06
176,269377,54070,58711,0,0,0,41423,2021-04-07
177,262995,52478,57624,0,0,0,40255,2021-04-08
178,257550,50853,0,0,0,0,37574,2021-04-09
179,240840,50768,0,0,0,0,33876,2021-04-10
180,217329,44799,0,0,0,0,33540,2021-04-11
181,232824,45318,0,0,0,0,36638,2021-04-12
182,229428,45681,0,0,0,0,35596,2021-04-13
183,229968,45430,0,0,0,0,35499,2021-04-14
184,237418,47036,52009,0,0,0,36967,2021-04-15
185,246129,47559,0,0,0,0,36096,2021-04-16
