,us,ca,jp,gb,fr,pl,au,date
0,0,0,0,0,0,0,0,2021-04-05
1,0,0,0,0,0,0,0,2021-04-06
2,0,0,0,0,0,0,0,2021-04-07
3,0,0,0,0,0,0,36124,2021-04-08
4,2691084,377422,0,470004,0,0,228661,2021-04-09
5,2528101,366402,0,428370,0,0,214866,2021-04-10
6,2205688,321184,0,386879,0,17347,228071,2021-04-11
7,2318267,324936,0,426910,0,19672,248787,2021-04-12
8,2229348,315733,0,394012,0,20789,244541,2021-04-13
9,2161984,303057,0,401504,0,19221,238256,2021-04-14
10,2122252,293192,0,396854,0,19940,232840,2021-04-15
11,2279860,315231,0,416759,0,23051,233505,2021-04-16
12,2182938,305058,0,398480,0,22330,213574,2021-04-17
