Title,Artist,Song ID,Streams,Chart Date
Dance Monkey,Tones And I,1rgnBhdG2JDFTbYkYRZAku,56126,2019-12-27
Falling,Trevor Daniel,4TnjEaWOeW0eKTKIEvJyCa,52210,2019-12-27
ROXANNE,Arizona Zervas,696DnlkuDOXcMAnKlTgXXK,46625,2019-12-27
Memories,Maroon 5,2b8fOow8UzyDFAE27YhOZM,34453,2019-12-27
Señorita,"Shawn Mendes, Camila Cabello",6v3KW9xbzN5yKLt9YKDYA2,31003,2019-12-27
Circles,Post Malone,21jGcNKet2qwijlDFuPiPb,29850,2019-12-27
Don't Start Now,Dua Lipa,6WrI0LAC5M1Rw2MnX2ZvEg,28934,2019-12-27
everything i wanted,Billie Eilish,3ZCTVFBt2Brf31RLEnCkWJ,25339,2019-12-27
Blinding Lights,The Weeknd,0sf12qNH5qcw8qpgymFOqD,24480,2019-12-27
My Oh My (feat. DaBaby),Camila Cabello,3yOlyBJuViE2YSGn3nVE1K,24023,2019-12-27
No Idea,Don Toliver,3VyjsVV24RmBIbWJAeUJNu,23565,2019-12-27
Someone You Loved,Lewis Capaldi,7qEHsqek33rTcFNT9PFqLf,22447,2019-12-27
bad guy,Billie Eilish,2Fxmhks0bxGSBdJ92vM42m,21988,2019-12-27
Beautiful People (feat. Khalid),Ed Sheeran,70eFcWOvlMObDhURTqT4Fv,20816,2019-12-27
Heartless,The Weeknd,57vxBYXtHMk6H1aD29V7PU,20217,2019-12-27
HIGHEST IN THE ROOM,Travis Scott,3eekarcy7kvN4yt5ZFzltW,20065,2019-12-27
The Box,Roddy Ricch,0nbXyq5TXYPCO7pr3N8S4I,19479,2019-12-27
Adore You,Harry Styles,3jjujdWJ72nww5eGnfs2E7,19231,2019-12-27
Lose You To Love Me,Selena Gomez,1HfMVBKM75vxSfsQ5VefZ5,19160,2019-12-27
Ransom,Lil Tecca,1lOe9qE0vR9zwWQAOk6CoO,18744,2019-12-27
