Title,Artist,Song ID,Streams,Data Date
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,5knuzwU65gJK7IF5yJsuaW,109788,2016-12-23
Alone,Alan Walker,0JiVRyTJcJnmlwCZ854K4p,104441,2016-12-23
All I Want for Christmas Is You,Mariah Carey,0bYg9bo50gSsH3LtXe2SQn,96726,2016-12-23
Last Christmas,Wham!,2FRnf9qhLbvw8fu4IBXx78,89801,2016-12-23
Chöre,Mark Forster,2nYpbaLykC2cjU8Yt5KF1v,83046,2016-12-23
Closer,"The Chainsmokers, Halsey",7BKLCZ1jbUBVqRi2FVlTVw,81274,2016-12-23
Hallelujah,Pentatonix,550rQQCGkrTzvp4SfpOPzx,80113,2016-12-23
Bad Ideas,Alle Farben,76gwG061wqdatYhicO2hG4,79866,2016-12-23
Say You Won't Let Go,James Arthur,5uCax9HTNlzGybIStD3vDh,75145,2016-12-23
Starboy,"The Weeknd, Daft Punk",5aAx2yezTd8zXrkmtKl66Z,73916,2016-12-23
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN, Taylor Swift",3NdDpSvN911VPGivFlV5d0,73552,2016-12-23
Merry Christmas Everyone - Remastered,Shakin' Stevens,2ISl1zekPsc26sUQpVt8UB,70075,2016-12-23
Call On Me - Ryan Riback Extended Remix,Starley,78rIJddV4X0HkNAInEcYde,69420,2016-12-23
Let Me Love You,"DJ Snake, Justin Bieber",4pdPtRcBmOSQDlJ3Fk945m,65123,2016-12-23
Mercy,Shawn Mendes,4TZy1wLyHec06pwgFYDh1a,62848,2016-12-23
My Way,Calvin Harris,1vvNmPOiUuyCbgWmtc6yfm,61586,2016-12-23
Happy Xmas (War Is Over) - Remastered 2010,"John Lennon, The Harlem Community Choir, The Plastic Ono Band, Yoko Ono",3zJw3rugfpVrmBeDDnUYzy,61245,2016-12-23
Driving Home For Christmas,Chris Rea,7MFl1XcwOrMIlZ3R4MzREK,60816,2016-12-23
Shed a Light,"Robin Schulz, David Guetta, Cheat Codes",1cG0umU5TKStygKsPFZ9pY,60487,2016-12-23
Just Hold On,"Steve Aoki, Louis Tomlinson",3EmmCZoqpWOTY1g2GBwJoR,59394,2016-12-23
Don't Wanna Know,"Maroon 5, Kendrick Lamar",5MFzQMkrl1FOOng9tq6R9r,58133,2016-12-23
Feliz Navidad,José Feliciano,7taXf5odg9xCAZERYfyOkS,57177,2016-12-23
The Greatest,Sia,6bLopGnirdrilrpdVB6Um1,56653,2016-12-23
Wonderful Dream (Holidays Are Coming) - Radio Version,Melanie Thornton,0SvD6EdetxVtXei2JhkV4B,56472,2016-12-23
Would I Lie to You - Radio Edit,"David Guetta, Cedric Gervais, Chris Willis",4PdJSsESm34djLfBde9Pr2,55480,2016-12-23
Human,Rag'n'Bone Man,58zsLZPvfflaiIbNWoA22O,55414,2016-12-23
Thank God It's Christmas - Non-Album Single,Queen,05X6aMCQR09E6smUmw9qms,55178,2016-12-23
Black Beatles,"Rae Sremmurd, Gucci Mane",6fujklziTHa8uoM5OQSfIo,54515,2016-12-23
In the Name of Love,"Martin Garrix, Bebe Rexha",04DwTuZ2VBdJCCC5TROn7L,52579,2016-12-23
Now and Later,Sage The Gemini,08WPvDEsHvTFuB9w8tC2OS,52498,2016-12-23
Lot to Learn,Luke Christopher,2HzfRSfCogBSsgW2CckVA2,52498,2016-12-23
Wonderful Christmastime - Remastered 2011 / Edited Version,Paul McCartney,4gavOCQdZ2g86gkvi17FM7,51495,2016-12-23
Solo Dance,Martin Jensen,6HUnnBwYZqcED1eQztxMBN,51157,2016-12-23
Christmas Time,Bryan Adams,0hnErtVKN1JyvfBNfpWDpO,48736,2016-12-23
Heathens,Twenty One Pilots,6i0V12jOa3mr6uu4WYhUBr,48678,2016-12-23
Cold Water (feat. Justin Bieber & MØ),Major Lazer,6DNtNfH8hXkqOX1sjqmI7p,46121,2016-12-23
Love Me Now,John Legend,6nxQdXa1uAL0rY72wPZu89,44801,2016-12-23
Jedermann,Pizzera & Jaus,4rkEjyRMjc6rcj7WROZ9XK,44690,2016-12-23
Scars To Your Beautiful,Alessia Cara,0prNGof3XqfTvNDxHonvdK,44451,2016-12-23
Do They Know It's Christmas? - 1984 Version,Band Aid,1hvpDAxZPKjKztOc72sv06,41748,2016-12-23
What Is Love 2016,Lost Frequencies,5hIR7SX1fSrr5evIAPDY5o,40875,2016-12-23
It's Beginning to Look a Lot like Christmas,Michael Bublé,0lLdorYw7lVrJydTINhWdI,40427,2016-12-23
It's the Most Wonderful Time of the Year,Andy Williams,5hslUAKq9I9CG2bAulFkHN,40400,2016-12-23
All We Know,"The Chainsmokers, Phoebe Ryan",2rizacJSyD9S1IQUxUxnsK,39713,2016-12-23
Starving,"Hailee Steinfeld, Grey, Zedd",1qOLh0tI7trd1zdDKxYZTe,39386,2016-12-23
Don't Let Me Down (feat. Daya),The Chainsmokers,0QsvXIfqM0zZoerQfsI9lm,39316,2016-12-23
The Mack,"Nevada, Mark Morrison, Fetty Wap",7aV2mflaASUmGhCErm7kBO,37482,2016-12-23
Jingle Bell Rock,BobHelms,1cImYkHOQMFE7AZC9aOk4y,37256,2016-12-23
I Feel It Coming,"The Weeknd, Daft Punk",5GXAXm5YOmYT0kL5jHvYBt,37134,2016-12-23
"Merry Christmas, Happy Holidays",*NSYNC,15coTBAzEN1bOeipoNDZAR,35673,2016-12-23
No Lie,"Sean Paul, Dua Lipa",3cFsmM51N5zMAuu1nNY4Tw,35327,2016-12-23
"Santa Claus Is Comin' to Town - Live at C.W. Post College, Greenvale, NY - December 1975",Bruce Springsteen,6s2wpWPFPAgKg2LXxi1Oee,35307,2016-12-23
