Title,Artist,Song ID,Streams,Data Date
Starboy,"The Weeknd, Daft Punk",5aAx2yezTd8zXrkmtKl66Z,991775,2016-12-23
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,5knuzwU65gJK7IF5yJsuaW,916544,2016-12-23
Closer,"The Chainsmokers, Halsey",7BKLCZ1jbUBVqRi2FVlTVw,858065,2016-12-23
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN, Taylor Swift",3NdDpSvN911VPGivFlV5d0,750878,2016-12-23
Say You Won't Let Go,James Arthur,5uCax9HTNlzGybIStD3vDh,717133,2016-12-23
Call On Me - Ryan Riback Extended Remix,Starley,78rIJddV4X0HkNAInEcYde,710042,2016-12-23
Sexual,"NEIKED, Dyo",3AsAuGTaDQzavZZThyYlop,708550,2016-12-23
I Feel It Coming,"The Weeknd, Daft Punk",5GXAXm5YOmYT0kL5jHvYBt,687176,2016-12-23
All I Want for Christmas Is You,Mariah Carey,0bYg9bo50gSsH3LtXe2SQn,674221,2016-12-23
Don't Wanna Know,"Maroon 5, Kendrick Lamar",5MFzQMkrl1FOOng9tq6R9r,650228,2016-12-23
The Mack,"Nevada, Mark Morrison, Fetty Wap",7aV2mflaASUmGhCErm7kBO,649027,2016-12-23
24K Magic,Bruno Mars,6b8Be6ljOzmkOmFslEb23P,645676,2016-12-23
Black Beatles,"Rae Sremmurd, Gucci Mane",6fujklziTHa8uoM5OQSfIo,638432,2016-12-23
Let Me Love You,"DJ Snake, Justin Bieber",4pdPtRcBmOSQDlJ3Fk945m,636923,2016-12-23
Stranger (feat. Elliphant),Peking Duk,0jVPEBd4wyHupkTHwzQRyc,606903,2016-12-23
Cold Water (feat. Justin Bieber & MØ),Major Lazer,6DNtNfH8hXkqOX1sjqmI7p,584457,2016-12-23
Fake Love,Drake,343YBumqHu19cGoGARUTsd,567212,2016-12-23
Scars To Your Beautiful,Alessia Cara,0prNGof3XqfTvNDxHonvdK,538895,2016-12-23
All We Know,"The Chainsmokers, Phoebe Ryan",2rizacJSyD9S1IQUxUxnsK,537858,2016-12-23
I Would Like,Zara Larsson,4Q4jmPHwu0wrJvqrld0FQ6,534071,2016-12-23
The Greatest,Sia,6bLopGnirdrilrpdVB6Um1,530623,2016-12-23
Starving,"Hailee Steinfeld, Grey, Zedd",1qOLh0tI7trd1zdDKxYZTe,529593,2016-12-23
Fresh Eyes,Andy Grammer,4nMlau89VAjmV7agkl7OY3,525156,2016-12-23
Love$ick (feat. A$AP Rocky),Mura Masa,7Kq16WtEJzdRSNQgdXsn7Y,523414,2016-12-23
Capsize,"FRENSHIP, Emily Warren",2XMTqoHHSH0lvuXrvIEdco,516222,2016-12-23
In the Name of Love,"Martin Garrix, Bebe Rexha",04DwTuZ2VBdJCCC5TROn7L,485708,2016-12-23
My Way,Calvin Harris,1vvNmPOiUuyCbgWmtc6yfm,485496,2016-12-23
Last Christmas,Wham!,2FRnf9qhLbvw8fu4IBXx78,481572,2016-12-23
Just Hold On,"Steve Aoki, Louis Tomlinson",3EmmCZoqpWOTY1g2GBwJoR,472680,2016-12-23
Catch 22 (feat. Anne-Marie),Illy,2bWrml86uwGVvznX8KKtwx,457288,2016-12-23
By Your Side,"Jonas Blue, RAYE",1D3ODoXHBLpdxolZRHWV1j,453628,2016-12-23
It's Beginning to Look a Lot like Christmas,Michael Bublé,0lLdorYw7lVrJydTINhWdI,450522,2016-12-23
One Dance,"Drake, WizKid, Kyla",1xznGGDReH1oQq0xzbwXa3,445830,2016-12-23
All Night,"The Vamps, Matoma",4b4KcovePX8Ke2cLIQTLM0,442656,2016-12-23
Say It (feat. Tove Lo),Flume,4sQMalN597HdggTu196aL0,442112,2016-12-23
Mercy,Shawn Mendes,4TZy1wLyHec06pwgFYDh1a,425252,2016-12-23
Cocoon,Milky Chance,0L87MffumRNWrY2SNUFcvs,398336,2016-12-23
The Ocean (feat. Shy Martin),Mike Perry,2CPqh63wRVscbceKcPxwvv,389260,2016-12-23
Setting Fires,"The Chainsmokers, XYLØ",0B8B8cVRFIG1yznoQe7c9s,384076,2016-12-23
Side To Side,"Ariana Grande, Nicki Minaj",4pLwZjInHj3SimIyN9SnOz,381397,2016-12-23
Now and Later,Sage The Gemini,08WPvDEsHvTFuB9w8tC2OS,379114,2016-12-23
Trust Nobody (feat. Selena Gomez & Tory Lanez),Cashmere Cat,2wDjpPW3HZdA9quPPmZAMu,378290,2016-12-23
"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,6JV2JOEocMgcZxYSZelKcc,360837,2016-12-23
Dancing On My Own,Calum Scott,02WacdrRpm4zlP8H7X6bnQ,332068,2016-12-23
Shed a Light,"Robin Schulz, David Guetta, Cheat Codes",1cG0umU5TKStygKsPFZ9pY,327132,2016-12-23
Never Be Like You,"Flume, kai",12REd1n8PeiHHWOh066tpr,326860,2016-12-23
Perfect Strangers,"Jonas Blue, JP Cooper",5bZtRlMBU76vHuDOb1GM5u,304263,2016-12-23
Papercuts (feat. Vera Blue),Illy,6vXHaWpqkbuvzIDvR3LnKd,300331,2016-12-23
It's the Most Wonderful Time of the Year,Andy Williams,5hslUAKq9I9CG2bAulFkHN,300088,2016-12-23
Redbone,Childish Gambino,3kxfsdsCpFgN412fpnW85Y,298490,2016-12-23
Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),Frank Sinatra,7inXu0Eaeg02VsM8kHNvzM,292977,2016-12-23
Juju on That Beat (TZ Anthem),"Zay Hilfigerrr, Zayion McCall",1lItf5ZXJc1by9SbPeljFd,292197,2016-12-23
Don't Let Me Down (feat. Daya),The Chainsmokers,0QsvXIfqM0zZoerQfsI9lm,291653,2016-12-23
Jingle Bells (feat. The Puppini Sisters),Michael Bublé,4qBejt9FeqLI9blHI1Nq1x,280806,2016-12-23
Bad Things (with Camila Cabello),Machine Gun Kelly,1PSBzsahR2AKwLJgx8ehBj,280188,2016-12-23
Chameleon,PNAU,4rex1k9pBVFaIVKBBssZzi,277898,2016-12-23
Party Monster,The Weeknd,4F7A0DXBrmUAkp32uenhZt,270065,2016-12-23
Love on Me,"Galantis, Hook N Sling",2MHCiOohBZEQuLgDTPvSzF,268415,2016-12-23
Jingle Bell Rock - Daryl's Version,Daryl Hall & John Oates,6pVW5LRWgeLaHudxauOTJU,251316,2016-12-23
Merry Christmas Everyone - Remastered,Shakin' Stevens,2ISl1zekPsc26sUQpVt8UB,244759,2016-12-23
Heathens,Twenty One Pilots,6i0V12jOa3mr6uu4WYhUBr,241796,2016-12-23
Sleigh Ride,Phil Spector,7wiESxCGoUkRdgZF2JOLZu,239950,2016-12-23
Love Me Now,John Legend,6nxQdXa1uAL0rY72wPZu89,238724,2016-12-23
Do They Know It's Christmas? - 1984 Version,Band Aid,1hvpDAxZPKjKztOc72sv06,235636,2016-12-23
Shout Out to My Ex,Little Mix,0YHUITU3w6ws1v8ehT264g,235461,2016-12-23
Make Me (Cry),"Noah Cyrus, Labrinth",2BrzlUj1u1CtvaJDGIKpsP,233186,2016-12-23
White Christmas,"Bing Crosby, Ken DarSingers, John Scott Trotter & His Orchestra",4so0Wek9Ig1p6CRCHuINwW,232386,2016-12-23
After the Afterparty (feat. Lil Yachty),Charli XCX,0y8Wf6ltWpGCpgqVa21QNX,231172,2016-12-23
Treat You Better,Shawn Mendes,4Hf7WnR761jpxPr5D46Bcd,229334,2016-12-23
8 Days of Christmas,Destiny's Child,3WrG9BpOPQWUus3FjA1Tny,222339,2016-12-23
Deja Vu,J. Cole,6I6NX6tjGsxFAsIfGzY9lJ,219669,2016-12-23
Happy Xmas (War Is Over) - Remastered 2010,"John Lennon, The Harlem Community Choir, The Plastic Ono Band, Yoko Ono",3zJw3rugfpVrmBeDDnUYzy,219364,2016-12-23
Oh Lord,MiC LOWRY,1sTUEdVO85YU8Ymk2jeAls,215896,2016-12-23
Cheap Thrills,Sia,27SdWb2rFzO6GWiYDBTD9j,215794,2016-12-23
This Is What You Came For (feat. Rihanna),Calvin Harris,0azC730Exh71aQlOt9Zj3y,215509,2016-12-23
