Title,Artist,Song ID,Streams,Data Date
All I Want for Christmas Is You,Mariah Carey,0bYg9bo50gSsH3LtXe2SQn,169556,2016-12-23
Starboy,"The Weeknd, Daft Punk",5aAx2yezTd8zXrkmtKl66Z,163670,2016-12-23
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,5knuzwU65gJK7IF5yJsuaW,162158,2016-12-23
Last Christmas,Wham!,2FRnf9qhLbvw8fu4IBXx78,152774,2016-12-23
Hey Baby,"Dimitri Vegas & Like Mike, Diplo, Deb’s Daughter",6yc377A8qxHIjPUcjGD4ET,150329,2016-12-23
Closer,"The Chainsmokers, Halsey",7BKLCZ1jbUBVqRi2FVlTVw,148606,2016-12-23
What Is Love 2016,Lost Frequencies,5hIR7SX1fSrr5evIAPDY5o,141310,2016-12-23
Let Me Love You,"DJ Snake, Justin Bieber",4pdPtRcBmOSQDlJ3Fk945m,123528,2016-12-23
Call On Me - Ryan Riback Extended Remix,Starley,78rIJddV4X0HkNAInEcYde,119345,2016-12-23
Say You Won't Let Go,James Arthur,5uCax9HTNlzGybIStD3vDh,119282,2016-12-23
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN, Taylor Swift",3NdDpSvN911VPGivFlV5d0,112219,2016-12-23
Until the End (feat. Raphaella),Henri PFR,61VEcQZQZUF4o7QgXsOFjB,110493,2016-12-23
24K Magic,Bruno Mars,6b8Be6ljOzmkOmFslEb23P,103899,2016-12-23
Don't Wanna Know,"Maroon 5, Kendrick Lamar",5MFzQMkrl1FOOng9tq6R9r,102895,2016-12-23
Black Beatles,"Rae Sremmurd, Gucci Mane",6fujklziTHa8uoM5OQSfIo,100871,2016-12-23
In the Name of Love,"Martin Garrix, Bebe Rexha",04DwTuZ2VBdJCCC5TROn7L,100010,2016-12-23
The Greatest,Sia,6bLopGnirdrilrpdVB6Um1,99481,2016-12-23
Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),Frank Sinatra,7inXu0Eaeg02VsM8kHNvzM,97713,2016-12-23
Just Hold On,"Steve Aoki, Louis Tomlinson",3EmmCZoqpWOTY1g2GBwJoR,93909,2016-12-23
It's the Most Wonderful Time of the Year,Andy Williams,5hslUAKq9I9CG2bAulFkHN,92030,2016-12-23
I Feel It Coming,"The Weeknd, Daft Punk",5GXAXm5YOmYT0kL5jHvYBt,87776,2016-12-23
Human,Rag'n'Bone Man,58zsLZPvfflaiIbNWoA22O,86701,2016-12-23
Ziet Em Duun,Van Echelpoel,6WBPdOrzwCo3AXg2kGGD7x,85611,2016-12-23
One Dance,"Drake, WizKid, Kyla",1xznGGDReH1oQq0xzbwXa3,84661,2016-12-23
Starving,"Hailee Steinfeld, Grey, Zedd",1qOLh0tI7trd1zdDKxYZTe,82270,2016-12-23
Fake Love,Drake,343YBumqHu19cGoGARUTsd,80153,2016-12-23
Cold Water (feat. Justin Bieber & MØ),Major Lazer,6DNtNfH8hXkqOX1sjqmI7p,79268,2016-12-23
All We Know,"The Chainsmokers, Phoebe Ryan",2rizacJSyD9S1IQUxUxnsK,76680,2016-12-23
Mercy,Shawn Mendes,4TZy1wLyHec06pwgFYDh1a,76620,2016-12-23
My Way,Calvin Harris,1vvNmPOiUuyCbgWmtc6yfm,76306,2016-12-23
Heathens,Twenty One Pilots,6i0V12jOa3mr6uu4WYhUBr,75986,2016-12-23
Feliz Navidad,José Feliciano,7taXf5odg9xCAZERYfyOkS,73382,2016-12-23
Love Me Now,John Legend,6nxQdXa1uAL0rY72wPZu89,72063,2016-12-23
Sexual,"NEIKED, Dyo",3AsAuGTaDQzavZZThyYlop,70655,2016-12-23
It's Beginning to Look a Lot like Christmas,Michael Bublé,0lLdorYw7lVrJydTINhWdI,69214,2016-12-23
Bad Things (with Camila Cabello),Machine Gun Kelly,1PSBzsahR2AKwLJgx8ehBj,68817,2016-12-23
"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,6JV2JOEocMgcZxYSZelKcc,67338,2016-12-23
Ziet Em Duun - Regi & Lester Williams Remix,Van Echelpoel,5rRGbD1s7gQWnWwn0O3no2,67292,2016-12-23
Don't Let Me Down (feat. Daya),The Chainsmokers,0QsvXIfqM0zZoerQfsI9lm,64779,2016-12-23
Jingle Bell Rock,BobHelms,1cImYkHOQMFE7AZC9aOk4y,64677,2016-12-23
Side To Side,"Ariana Grande, Nicki Minaj",4pLwZjInHj3SimIyN9SnOz,63914,2016-12-23
Blue Christmas,Elvis Presley,3QiAAp20rPC3dcAtKtMaqQ,62460,2016-12-23
All Night,"The Vamps, Matoma",4b4KcovePX8Ke2cLIQTLM0,60882,2016-12-23
Sunset Lover,Petit Biscuit,0hNduWmlWmEmuwEFcYvRu1,60824,2016-12-23
Cheap Thrills,Sia,27SdWb2rFzO6GWiYDBTD9j,59061,2016-12-23
Afraid,Curtis Alto,2ey5jG9boqrojvpZC3SGVR,58469,2016-12-23
White Christmas,"Bing Crosby, Ken DarSingers, John Scott Trotter & His Orchestra",4so0Wek9Ig1p6CRCHuINwW,58076,2016-12-23
The Mack,"Nevada, Mark Morrison, Fetty Wap",7aV2mflaASUmGhCErm7kBO,56842,2016-12-23
Treat You Better,Shawn Mendes,4Hf7WnR761jpxPr5D46Bcd,56208,2016-12-23
Hey Baby - Mattn vs. Regi Remix,"Dimitri Vegas & Like Mike, Diplo, Deb’s Daughter",2q7vWE2hIS1Kj3ShkcKkIS,54961,2016-12-23
I Would Like,Zara Larsson,4Q4jmPHwu0wrJvqrld0FQ6,54960,2016-12-23
Lot to Learn,Luke Christopher,2HzfRSfCogBSsgW2CckVA2,54358,2016-12-23
By Your Side,"Jonas Blue, RAYE",1D3ODoXHBLpdxolZRHWV1j,52891,2016-12-23
Scars To Your Beautiful,Alessia Cara,0prNGof3XqfTvNDxHonvdK,52180,2016-12-23
Do They Know It's Christmas? - 1984 Version,Band Aid,1hvpDAxZPKjKztOc72sv06,51268,2016-12-23
