Title,Artist,Song ID,Streams,Data Date
Deu Onda,MC G15,0EPxmvsG1BY5td4aTOkWBF,3933253,2016-12-23
Hear Me Now,"Alok, Bruno Martini, Zeeba",1a5Yu5L18qNxVhXx38njON,2025181,2016-12-23
Eu Sei de Cor - Ao Vivo | Acústico,Marília Mendonça,45wqPwIH4A5cr2IyyD4WKf,1670939,2016-12-23
Closer,"The Chainsmokers, Halsey",7BKLCZ1jbUBVqRi2FVlTVw,1610054,2016-12-23
Medo Bobo - Ao Vivo,Maiara & Maraisa,2CW04trIoYMbroZWDzPAjs,1559655,2016-12-23
10% - Ao Vivo,Maiara & Maraisa,2wFnRPjuqwNySFiK0Qfg8L,1461353,2016-12-23
Meu Coração Deu PT - Ao Vivo,"Wesley Safadão, Matheus & Kauan",6zCqeUUqLb2CapBmVwAHll,1408097,2016-12-23
Starboy,"The Weeknd, Daft Punk",5aAx2yezTd8zXrkmtKl66Z,1377454,2016-12-23
Te Assumi Pro Brasil - Ao Vivo,Matheus & Kauan,2d3TbSkAscvT3QRQalq6uT,1362892,2016-12-23
Sim ou não (participação especial Maluma),Anitta,4FxumkF81ICxITeqxx4nK9,1305250,2016-12-23
Decide Aí - Na Praia / Ao Vivo,Matheus & Kauan,0jIitZeIQRTaZgFQf2WpGK,1227232,2016-12-23
Infiel - Ao Vivo,Marília Mendonça,38MpAndIjGAyVdcC6npX95,1223849,2016-12-23
Let Me Love You,"DJ Snake, Justin Bieber",4pdPtRcBmOSQDlJ3Fk945m,1214317,2016-12-23
Cold Water (feat. Justin Bieber & MØ),Major Lazer,6DNtNfH8hXkqOX1sjqmI7p,1189435,2016-12-23
"Eu, Você, O Mar e Ela",Luan Santana,000xYdQfIZ4pDmBGzQalKU,1171345,2016-12-23
50 Reais,"Naiara Azevedo, Maiara & Maraisa",2DAGCHu5aoo2FOjmtU9ojo,1157925,2016-12-23
Paredes - Ao Vivo,Jorge & Mateus,2GfxgssRHvY1azHtaRqKoK,1080655,2016-12-23
One Dance,"Drake, WizKid, Kyla",1xznGGDReH1oQq0xzbwXa3,1053453,2016-12-23
Como Faz Com Ela - Ao Vivo,Marília Mendonça,2Gvn46nwyQhUnQiFhlP7WX,1045434,2016-12-23
E Essa Boca Aí? - Ao Vivo,Bruninho & Davi,6vve9WKW5I7fQzkU8dNsUE,1043553,2016-12-23
O Nosso Santo Bateu - Na Praia / Ao Vivo,Matheus & Kauan,6SwI4OplF8m5NH8wHKIps8,1034792,2016-12-23
Don't Wanna Know,"Maroon 5, Kendrick Lamar",5MFzQMkrl1FOOng9tq6R9r,1023911,2016-12-23
Como É Que a Gente Fica - Ao Vivo,Henrique & Juliano,41mt7YrfLrIc4EQJZFCJtw,1010033,2016-12-23
Homem de Família - Ao Vivo,Gusttavo Lima,12wiyBZqQ3mOU7AfygXJCw,987992,2016-12-23
Side To Side,"Ariana Grande, Nicki Minaj",4pLwZjInHj3SimIyN9SnOz,986925,2016-12-23
My Way,Calvin Harris,1vvNmPOiUuyCbgWmtc6yfm,957868,2016-12-23
Malbec (Part. DENNIS) (feat. DENNIS) - Ao Vivo,Henrique & Diego,5SnQDj5REQVvAdSlhqkEcE,935904,2016-12-23
Ou Some Ou Soma - Ao Vivo,Jorge & Mateus,3dRBzTOu9polrH9U6Vh2zw,935063,2016-12-23
24K Magic,Bruno Mars,6b8Be6ljOzmkOmFslEb23P,927529,2016-12-23
Tumbalatum,MC Kevinho,4aAq1afusFG6jRiOSHQZvN,924895,2016-12-23
Sosseguei - Ao Vivo,Jorge & Mateus,1xFgXCY8Zvo76gHg4RgUaU,886910,2016-12-23
Louca de Saudade - Ao Vivo,Jorge & Mateus,2InJDvDcA4RXEeA9njdibl,875391,2016-12-23
Na Hora da Raiva - Ao Vivo,Henrique & Juliano,0Zu7NVn4IvfYuEIrD11UVr,848017,2016-12-23
Chantaje (feat. Maluma),Shakira,6mICuAdrwEjh6Y6lroV2Kg,846546,2016-12-23
The Greatest,Sia,6bLopGnirdrilrpdVB6Um1,824521,2016-12-23
Ela Só Quer Paz,Projota,3mTUqLbtWm2DAEwvQTyu4d,818932,2016-12-23
A Rosa E O Beija-Flor - Na Praia / Ao Vivo,Matheus & Kauan,4GQVVsUnMbZeKIx9vguKlg,811968,2016-12-23
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,5knuzwU65gJK7IF5yJsuaW,810438,2016-12-23
Malandramente,"DENNIS, MC Nandinho, Nego Bam",7DRP2VOMpy1rrk3iYFLCW9,791438,2016-12-23
Pra Sempre Com Você - Ao Vivo,Jorge & Mateus,2KGv51jgAz8OTjNPyRryfq,786783,2016-12-23
Sorry,Justin Bieber,69bp2EbF7Q2rqc5N3ylezZ,783627,2016-12-23
Vou Voando - Ao Vivo,Jorge & Mateus,1WCn5QBp0Kl9uHrR0J02GS,779558,2016-12-23
Flor e o Beija-Flor - Ao Vivo,"Henrique & Juliano, Marília Mendonça",0phVJ23NJlruwtt1XCm94N,773035,2016-12-23
Treat You Better,Shawn Mendes,4Hf7WnR761jpxPr5D46Bcd,746950,2016-12-23
Nada Nada - Ao Vivo,Henrique & Juliano,0GR7ZABhVF9GbxghIx2RRv,735093,2016-12-23
Estaca Zero,"Luan Santana, Ivete Sangalo",5OZqnhkGUxuSuW2P7CzH7y,726383,2016-12-23
In the Name of Love,"Martin Garrix, Bebe Rexha",04DwTuZ2VBdJCCC5TROn7L,725349,2016-12-23
