Title,Artist,Song ID,Streams,Data Date
Starboy,"The Weeknd, Daft Punk",5aAx2yezTd8zXrkmtKl66Z,969460,2016-12-23
Fake Love,Drake,343YBumqHu19cGoGARUTsd,803259,2016-12-23
Closer,"The Chainsmokers, Halsey",7BKLCZ1jbUBVqRi2FVlTVw,721951,2016-12-23
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN, Taylor Swift",3NdDpSvN911VPGivFlV5d0,645362,2016-12-23
Black Beatles,"Rae Sremmurd, Gucci Mane",6fujklziTHa8uoM5OQSfIo,613316,2016-12-23
Bad and Boujee (feat. Lil Uzi Vert),Migos,4Km5HrUvYTaSUfiSGPJeQR,566283,2016-12-23
Let Me Love You,"DJ Snake, Justin Bieber",4pdPtRcBmOSQDlJ3Fk945m,534137,2016-12-23
I Feel It Coming,"The Weeknd, Daft Punk",5GXAXm5YOmYT0kL5jHvYBt,534069,2016-12-23
Don't Wanna Know,"Maroon 5, Kendrick Lamar",5MFzQMkrl1FOOng9tq6R9r,491008,2016-12-23
All I Want for Christmas Is You,Mariah Carey,0bYg9bo50gSsH3LtXe2SQn,485447,2016-12-23
Say You Won't Let Go,James Arthur,5uCax9HTNlzGybIStD3vDh,482282,2016-12-23
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,5knuzwU65gJK7IF5yJsuaW,473597,2016-12-23
One Dance,"Drake, WizKid, Kyla",1xznGGDReH1oQq0xzbwXa3,435180,2016-12-23
Jingle Bell Rock,BobHelms,1cImYkHOQMFE7AZC9aOk4y,426729,2016-12-23
Party Monster,The Weeknd,4F7A0DXBrmUAkp32uenhZt,425923,2016-12-23
Bad Things (with Camila Cabello),Machine Gun Kelly,1PSBzsahR2AKwLJgx8ehBj,415744,2016-12-23
Call On Me - Ryan Riback Extended Remix,Starley,78rIJddV4X0HkNAInEcYde,415160,2016-12-23
24K Magic,Bruno Mars,6b8Be6ljOzmkOmFslEb23P,413794,2016-12-23
Starving,"Hailee Steinfeld, Grey, Zedd",1qOLh0tI7trd1zdDKxYZTe,396061,2016-12-23
Deja Vu,J. Cole,6I6NX6tjGsxFAsIfGzY9lJ,394895,2016-12-23
Love Me Now,John Legend,6nxQdXa1uAL0rY72wPZu89,390977,2016-12-23
In the Name of Love,"Martin Garrix, Bebe Rexha",04DwTuZ2VBdJCCC5TROn7L,389335,2016-12-23
It's the Most Wonderful Time of the Year,Andy Williams,5hslUAKq9I9CG2bAulFkHN,386956,2016-12-23
Side To Side,"Ariana Grande, Nicki Minaj",4pLwZjInHj3SimIyN9SnOz,381410,2016-12-23
The Greatest,Sia,6bLopGnirdrilrpdVB6Um1,379230,2016-12-23
Rockin' Around The Christmas Tree - Single Version,Brenda Lee,3T7dNA7O8c3Axj5WyDNcH3,365823,2016-12-23
Cold Water (feat. Justin Bieber & MØ),Major Lazer,6DNtNfH8hXkqOX1sjqmI7p,365235,2016-12-23
Broccoli (feat. Lil Yachty),Shelley FKA DRAM,7yyRTcZmCiyzzJlNzGC9Ol,363572,2016-12-23
Caroline,Aminé,5hTpBe8h35rJ67eAWHQsJx,360148,2016-12-23
Just Hold On,"Steve Aoki, Louis Tomlinson",3EmmCZoqpWOTY1g2GBwJoR,357417,2016-12-23
All We Know,"The Chainsmokers, Phoebe Ryan",2rizacJSyD9S1IQUxUxnsK,352473,2016-12-23
Blue Christmas,Elvis Presley,3QiAAp20rPC3dcAtKtMaqQ,332437,2016-12-23
Mercy,Shawn Mendes,4TZy1wLyHec06pwgFYDh1a,331052,2016-12-23
Now and Later,Sage The Gemini,08WPvDEsHvTFuB9w8tC2OS,327251,2016-12-23
Sidewalks,"The Weeknd, Kendrick Lamar",4h90qkbnW1Qq6pBhoPvwko,324136,2016-12-23
Scars To Your Beautiful,Alessia Cara,0prNGof3XqfTvNDxHonvdK,323860,2016-12-23
Heathens,Twenty One Pilots,6i0V12jOa3mr6uu4WYhUBr,312005,2016-12-23
Last Christmas,Wham!,2FRnf9qhLbvw8fu4IBXx78,309661,2016-12-23
Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),Frank Sinatra,7inXu0Eaeg02VsM8kHNvzM,309514,2016-12-23
Bounce Back,Big Sean,0SGkqnVQo9KPytSri1H6cF,306493,2016-12-23
It's Beginning to Look a Lot like Christmas,Michael Bublé,0lLdorYw7lVrJydTINhWdI,305424,2016-12-23
Sneakin’,"Drake, 21 Savage",4ckuS4Nj4FZ7i3Def3Br8W,301896,2016-12-23
