Title,Artist,Song ID,Streams,Data Date
Chantaje (feat. Maluma),Shakira,6mICuAdrwEjh6Y6lroV2Kg,843739,2016-12-23
Otra vez (feat. J Balvin),Zion & Lennox,3QwBODjSEzelZyVjxPOHdq,764030,2016-12-23
Reggaetón Lento (Bailemos),CNCO,3AEZUABDXNtecAOSC1qTfo,712801,2016-12-23
Vente Pa' Ca (feat. Maluma),Ricky Martin,7DM4BPaS7uofFul3ywMe46,677503,2016-12-23
Safari,"J Balvin, Pharrell Williams, BIA, Sky",6rQSrBHf7HlZjtcMZ4S4bO,554387,2016-12-23
Shaky Shaky,Daddy Yankee,58IL315gMSTD37DOZPJ2hf,485316,2016-12-23
Let Me Love You,"DJ Snake, Justin Bieber",4pdPtRcBmOSQDlJ3Fk945m,462243,2016-12-23
One Dance,"Drake, WizKid, Kyla",1xznGGDReH1oQq0xzbwXa3,436695,2016-12-23
Andas En Mi Cabeza,"Chino & Nacho, Daddy Yankee",5mey7CLLuFToM2P68Qu1gF,418635,2016-12-23
24K Magic,Bruno Mars,6b8Be6ljOzmkOmFslEb23P,405100,2016-12-23
"Cuatro Babys (feat. Trap Capos, Noriel, Bryant Myers & Juhn)",Maluma,0JoHqmlqE0W0i9prt6kcHR,396222,2016-12-23
Don't Wanna Know,"Maroon 5, Kendrick Lamar",5MFzQMkrl1FOOng9tq6R9r,395630,2016-12-23
Me llamas (feat. Maluma) - Remix,Piso 21,5hEM0JchdVzQ5PwvSfITeX,393630,2016-12-23
Dile Que Tu Me Quieres,Ozuna,20ZAJdsKB5IGbGj4ilRt2o,390684,2016-12-23
Starboy,"The Weeknd, Daft Punk",5aAx2yezTd8zXrkmtKl66Z,374362,2016-12-23
Borro Cassette,Maluma,6DUdDIRgLqCGq1DwkNWQTN,370007,2016-12-23
Vacaciones,Wisin,3dQDid3IUNhZy1OehIfYfE,369409,2016-12-23
Traicionera,Sebastian Yatra,5J1c3M4EldCfNxXwrwt8mT,358599,2016-12-23
Chillax (feat. Ky-Mani Marley),Farruko,1lxswgIpzV6HhENRvkflES,352961,2016-12-23
Bailame Despacio,"Xantos, Dynell",4OaTpLJIa2harufGxfOPUu,344566,2016-12-23
Te Quiero Pa´Mi,"Don Omar, Zion & Lennox",3BY2mafsbsoKGqS380Xnuz,343902,2016-12-23
Cold Water (feat. Justin Bieber & MØ),Major Lazer,6DNtNfH8hXkqOX1sjqmI7p,321330,2016-12-23
Noche Loca,"Marama, Rombai",0gzcET27nREY6aD8LJU9wD,319466,2016-12-23
La Bicicleta,"Carlos Vives, Shakira",0sXvAOmXgjR2QUqLK1MltU,317178,2016-12-23
"Ay Mi Dios (feat. Pitbull, Yandel & Chacal)","IAmChino, El Chacal",6stYbAJgTszHAHZMPxWWCY,315575,2016-12-23
My Way,Calvin Harris,1vvNmPOiUuyCbgWmtc6yfm,313258,2016-12-23
We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,68EMU2RD1ECNeOeJ5qAXCV,295536,2016-12-23
Desde Esa Noche (feat. Maluma),Thalia,1pWYnQIlqxTh5bxuPmTG4E,295001,2016-12-23
The Greatest,Sia,6bLopGnirdrilrpdVB6Um1,290192,2016-12-23
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,5knuzwU65gJK7IF5yJsuaW,286817,2016-12-23
Gyal You A Party Animal - Remix,"Charly Black, Daddy Yankee",1AkTW13ysu0AJrwuM6UY0I,284447,2016-12-23
"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,6JV2JOEocMgcZxYSZelKcc,284413,2016-12-23
DUELE EL CORAZON (feat. Wisin),Enrique Iglesias,6YZdkObH88npeKrrkb8Ggf,276886,2016-12-23
I Took A Pill In Ibiza - Seeb Remix,Mike Posner,17Fd6Yb7mSbinKG8LoWfFl,273236,2016-12-23
Dueles,Jesse & Joy,1iRvhKiXRElIH2Uf4gd95P,256292,2016-12-23
Closer,"The Chainsmokers, Halsey",7BKLCZ1jbUBVqRi2FVlTVw,252663,2016-12-23
I Feel It Coming,"The Weeknd, Daft Punk",5GXAXm5YOmYT0kL5jHvYBt,250661,2016-12-23
La Gozadera (feat. Marc Anthony),Gente De Zona,0OMRAvrtLWE2TvcXorRiB9,250008,2016-12-23
In the Name of Love,"Martin Garrix, Bebe Rexha",04DwTuZ2VBdJCCC5TROn7L,244543,2016-12-23
Trumpets,"Sak Noel & Salvi, Sean Paul",5dH7o4TP3HYLvCjo4QAhhv,242552,2016-12-23
