Title,Artist,Song ID,Streams,Data Date
Otra vez (feat. J Balvin),Zion & Lennox,3QwBODjSEzelZyVjxPOHdq,316628,2016-12-23
Chantaje (feat. Maluma),Shakira,6mICuAdrwEjh6Y6lroV2Kg,251017,2016-12-23
Safari,"J Balvin, Pharrell Williams, BIA, Sky",6rQSrBHf7HlZjtcMZ4S4bO,233523,2016-12-23
Let Me Love You,"DJ Snake, Justin Bieber",4pdPtRcBmOSQDlJ3Fk945m,205559,2016-12-23
Vente Pa' Ca (feat. Maluma),Ricky Martin,7DM4BPaS7uofFul3ywMe46,205030,2016-12-23
Bailame Despacio,"Xantos, Dynell",4OaTpLJIa2harufGxfOPUu,194108,2016-12-23
Ya No Me Duele Más,Silvestre Dangond,4JnJ9ACXmtLkpH61ZvFSaM,190800,2016-12-23
Reggaetón Lento (Bailemos),CNCO,3AEZUABDXNtecAOSC1qTfo,185639,2016-12-23
La Bicicleta,"Carlos Vives, Shakira",0sXvAOmXgjR2QUqLK1MltU,184247,2016-12-23
Me Llamas,Piso 21,3jpqMaJREkmVDYlRvW1qWC,181963,2016-12-23
Closer,"The Chainsmokers, Halsey",7BKLCZ1jbUBVqRi2FVlTVw,181518,2016-12-23
Traicionera,Sebastian Yatra,5J1c3M4EldCfNxXwrwt8mT,179798,2016-12-23
Chillax (feat. Ky-Mani Marley),Farruko,1lxswgIpzV6HhENRvkflES,177772,2016-12-23
One Dance,"Drake, WizKid, Kyla",1xznGGDReH1oQq0xzbwXa3,177018,2016-12-23
Andas En Mi Cabeza,"Chino & Nacho, Daddy Yankee",5mey7CLLuFToM2P68Qu1gF,167295,2016-12-23
"Cuatro Babys (feat. Trap Capos, Noriel, Bryant Myers & Juhn)",Maluma,0JoHqmlqE0W0i9prt6kcHR,165106,2016-12-23
Dile Que Tu Me Quieres,Ozuna,20ZAJdsKB5IGbGj4ilRt2o,163662,2016-12-23
Starboy,"The Weeknd, Daft Punk",5aAx2yezTd8zXrkmtKl66Z,162917,2016-12-23
24K Magic,Bruno Mars,6b8Be6ljOzmkOmFslEb23P,150122,2016-12-23
Don't Wanna Know,"Maroon 5, Kendrick Lamar",5MFzQMkrl1FOOng9tq6R9r,144711,2016-12-23
Shaky Shaky,Daddy Yankee,58IL315gMSTD37DOZPJ2hf,142140,2016-12-23
Cold Water (feat. Justin Bieber & MØ),Major Lazer,6DNtNfH8hXkqOX1sjqmI7p,138334,2016-12-23
My Way,Calvin Harris,1vvNmPOiUuyCbgWmtc6yfm,134277,2016-12-23
Te Quiero Pa´Mi,"Don Omar, Zion & Lennox",3BY2mafsbsoKGqS380Xnuz,131461,2016-12-23
Don't Let Me Down (feat. Daya),The Chainsmokers,0QsvXIfqM0zZoerQfsI9lm,128033,2016-12-23
The Greatest,Sia,6bLopGnirdrilrpdVB6Um1,127739,2016-12-23
Cheap Thrills,Sia,27SdWb2rFzO6GWiYDBTD9j,126207,2016-12-23
"Ay Mi Dios (feat. Pitbull, Yandel & Chacal)","IAmChino, El Chacal",6stYbAJgTszHAHZMPxWWCY,125947,2016-12-23
Ya Me Enteré (feat. Nicky Jam) - Urban Version,Reik,2SSYqDX8KTgy01NlqtUo0F,125324,2016-12-23
Por Fin Te Encontré,"Cali Y El Dandee, Juan Magán, Sebastian Yatra",3GpvoKKWZyTwgbLEM9RmWM,120106,2016-12-23
In the Name of Love,"Martin Garrix, Bebe Rexha",04DwTuZ2VBdJCCC5TROn7L,119211,2016-12-23
Una y Otra Vez,Manuel Medrano,0bK3jxkbq5cDKWr68KtO8G,118265,2016-12-23
Vacaciones,Wisin,3dQDid3IUNhZy1OehIfYfE,116294,2016-12-23
Gyal You A Party Animal,Charly Black,1mSzZKMIPZIkn3jFV7v62b,116232,2016-12-23
DUELE EL CORAZON (feat. Wisin),Enrique Iglesias,6YZdkObH88npeKrrkb8Ggf,114280,2016-12-23
I Took A Pill In Ibiza - Seeb Remix,Mike Posner,17Fd6Yb7mSbinKG8LoWfFl,113315,2016-12-23
El chisme,Reykon,4VXejnj5WgM6H72ct2fSgQ,110767,2016-12-23
Treat You Better,Shawn Mendes,4Hf7WnR761jpxPr5D46Bcd,110331,2016-12-23
Side To Side,"Ariana Grande, Nicki Minaj",4pLwZjInHj3SimIyN9SnOz,109711,2016-12-23
Ruleta Rusa,Kevin Roldan,77KHmKnBmVGTjRCeMVXpWH,109541,2016-12-23
I Feel It Coming,"The Weeknd, Daft Punk",5GXAXm5YOmYT0kL5jHvYBt,104786,2016-12-23
Bajo El Agua,Manuel Medrano,5QSYWruQQ7kBCHScI4xJ9g,104633,2016-12-23
We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,68EMU2RD1ECNeOeJ5qAXCV,104303,2016-12-23
Cake By The Ocean,DNCE,2aFiaMXmWsM3Vj72F9ksBl,102755,2016-12-23
Bobo,J Balvin,7AtlMCIauSQZqiXSlbBPW6,102137,2016-12-23
Me llamas (feat. Maluma) - Remix,Piso 21,5hEM0JchdVzQ5PwvSfITeX,102029,2016-12-23
Heathens,Twenty One Pilots,6i0V12jOa3mr6uu4WYhUBr,100997,2016-12-23
Encantadora,Yandel,7LABrQFfRYcZUqUwng0Heb,98426,2016-12-23
Te busco (feat. Nicky Jam),Cosculluela,6wHm04cn5HxK6pE2ITEdUS,96201,2016-12-23
This Is What You Came For (feat. Rihanna),Calvin Harris,0azC730Exh71aQlOt9Zj3y,95181,2016-12-23
Ride,Twenty One Pilots,2Z8WuEywRWYTKe1NybPQEW,92050,2016-12-23
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,5knuzwU65gJK7IF5yJsuaW,72450,2016-12-23
Borro Cassette,Maluma,6DUdDIRgLqCGq1DwkNWQTN,70933,2016-12-23
La Gozadera (feat. Marc Anthony),Gente De Zona,0OMRAvrtLWE2TvcXorRiB9,67801,2016-12-23
Fuego,Juanes,0mwPE0lPOgnWf2bo14xedJ,65599,2016-12-23
"Diles (feat. Arcangel, Nengo Flow, Dj Luian & Mambo Kings)","Ozuna, Bad Bunny, Farruko, Ñengo Flow",2FrnTVSHjgnEylKGdHRUK1,64910,2016-12-23
Hasta el Amanecer,Nicky Jam,5Fim1gaXBgsiFfsQAfQSDS,62998,2016-12-23
Manicomio,Cosculluela,3n58u3LOFw8mITLvfPvQBz,61274,2016-12-23
Light It Up (feat. Nyla & Fuse ODG) - Remix,Major Lazer,0L7loeTIg6akW84aEQZpCT,58183,2016-12-23
"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",Anuel AA,5q2JbCNi4FcnglgPfxcV65,56958,2016-12-23
Work,"Rihanna, Drake",14WWzenpaEgQZlqPq2nk4v,56931,2016-12-23
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN, Taylor Swift",3NdDpSvN911VPGivFlV5d0,53811,2016-12-23
Te Vas,Ozuna,2twUPIYOTqVivev47pf7bU,53507,2016-12-23
Faded,Alan Walker,7gHs73wELdeycvS48JfIos,53256,2016-12-23
Love Yourself,Justin Bieber,3hB5DgAiMAQ4DzYbsMq1IT,52347,2016-12-23
"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,6JV2JOEocMgcZxYSZelKcc,51188,2016-12-23
No Quiere Enamorarse (Remix) [feat. Daddy Yankee],Ozuna,4vlbjBSMqycZk6t4HVRpnC,50995,2016-12-23
Materialista (feat. Nicky Jam),Silvestre Dangond,3jqSBJ8I20iUN0Bw8NA5xQ,50834,2016-12-23
Gyal You A Party Animal - Remix,"Charly Black, Daddy Yankee",1AkTW13ysu0AJrwuM6UY0I,50336,2016-12-23
Work from Home (feat. Ty Dolla $ign),Fifth Harmony,4tCtwWceOPWzenK2HAIJSb,50239,2016-12-23
