Country,Region,Population,Latitude,Longitude,Top 1 genre,Top 2 genre,Top 3 genre,Danceability,Energy,Acousticness,Instrumentalness,Liveness,Tempo
PL,East_EU,37970000,52.2297,21.0122,polish hip hop,polish trap,pop,0.7161,0.6560,0.2957,0.0050,0.0050,0.1674
US,NORTH_AMERICA,328200000,47.7511,120.7401,rap,pop,melodic rap,0.7274,0.575,0.2443,0.0120,0.0120,0.1619
GB,WEST_EU,66650000,51.5074,0.1278,pop,dance pop,rap,0.6734,0.6491,0.2189,0.0087,0.0087,0.1662
BR,SOUTH_AMERICA,211000000,22.9068,43.1729,sentanejo pop,sentanejo universitario,sentanejo,0.6628,0.7218,0.3490,0.0000,0.0000,0.3794
ES,WEST_EU,46940000,40.4168,3.7038,latin,trap latino,reggaeton,0.7503,0.7271,0.2171,0.0005,0.0005,0.1576
JP,ASIA,126300000,35.6762,139.6503,J-pop,anime rock,J-rock,0.5723,0.7367,0.1877,0.0014,0.0014,0.1889
CZ,East_EU,10650000,50.0755,14.4378,pop,czsk hip hop,dance pop,0.6837,0.6527,0.2070,0.0050,0.0050,0.1855
HU,East_EU,9773000,47.2933,19.0305,pop,dance pop,hungarian pop,0.7038,0.6500,0.2306,0.0102,0.0102,0.1672
DE,WEST_EU,83020000,52.5200,13.4050,german hip hop,pop,dance pop,0.7230,0.6912,0.2050,0.0144,0.0144,0.1507
FR,WEST_EU,67060000,48.8566,2.3522,french hip hop,pop urbaine,rap francais,0.7475,0.6417,0.3442,0.0102,0.0102,0.1492
MX,NORTH_AMERICA,127600000,23.6345,102.5528,latin,reggaeton,trap latino,0.7404,0.6892,0.2146,0.0020,0.0020,0.1548
CA,NORTH_AMERICA,37590000,43.6532,79.3832,pop,rap,melodic rap,0.7147,0.5863,0.2534,0.0117,0.0117,0.1770
PT,WEST_EU,10280000,38.7223,9.1393,hip hop tuga,pop,rap,0.7110,0.6235,0.3194,0.0109,0.0109,0.1429
AR,SOUTH_AMERICA,44940000,34.6037,58.3816,latin,trap latino,reggaeton,0.7313,0.7139,0.2211,0.0016,0.0016,0.1572
TW,ASIA,23570000,25.0330,121.5654,mandopop,taiwan pop,pop,0.5717,0.5211,0.4617,0.0020,0.0020,0.1373
HK,ASIA,7507000,22.3193,114.1694,C-pop,cantopop,pop,0.5845,0.5476,0.4277,0.0013,0.0013,0.1475
SK,East_EU,5450000,48.1486,17.1077,pop,dance pop,czsk hip hop,0.6942,0.6336,0.2608,0.0082,0.0082,0.1708
