Title,Artist,Song ID,Streams,Data Date
Starboy,"The Weeknd, Daft Punk",5aAx2yezTd8zXrkmtKl66Z,49598,2016-12-23
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,5knuzwU65gJK7IF5yJsuaW,45985,2016-12-23
Closer,"The Chainsmokers, Halsey",7BKLCZ1jbUBVqRi2FVlTVw,45130,2016-12-23
Let Me Love You,"DJ Snake, Justin Bieber",4pdPtRcBmOSQDlJ3Fk945m,42380,2016-12-23
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN, Taylor Swift",3NdDpSvN911VPGivFlV5d0,41749,2016-12-23
All I Want for Christmas Is You,Mariah Carey,0bYg9bo50gSsH3LtXe2SQn,39498,2016-12-23
Don't Wanna Know,"Maroon 5, Kendrick Lamar",5MFzQMkrl1FOOng9tq6R9r,36679,2016-12-23
Last Christmas,Wham!,2FRnf9qhLbvw8fu4IBXx78,36098,2016-12-23
Just Hold On,"Steve Aoki, Louis Tomlinson",3EmmCZoqpWOTY1g2GBwJoR,35058,2016-12-23
The Greatest,Sia,6bLopGnirdrilrpdVB6Um1,34807,2016-12-23
Call On Me - Ryan Riback Extended Remix,Starley,78rIJddV4X0HkNAInEcYde,34176,2016-12-23
Heathens,Twenty One Pilots,6i0V12jOa3mr6uu4WYhUBr,33451,2016-12-23
My Way,Calvin Harris,1vvNmPOiUuyCbgWmtc6yfm,31995,2016-12-23
Say You Won't Let Go,James Arthur,5uCax9HTNlzGybIStD3vDh,31370,2016-12-23
I Feel It Coming,"The Weeknd, Daft Punk",5GXAXm5YOmYT0kL5jHvYBt,30349,2016-12-23
In the Name of Love,"Martin Garrix, Bebe Rexha",04DwTuZ2VBdJCCC5TROn7L,30145,2016-12-23
All We Know,"The Chainsmokers, Phoebe Ryan",2rizacJSyD9S1IQUxUxnsK,29392,2016-12-23
Black Beatles,"Rae Sremmurd, Gucci Mane",6fujklziTHa8uoM5OQSfIo,27602,2016-12-23
Starving,"Hailee Steinfeld, Grey, Zedd",1qOLh0tI7trd1zdDKxYZTe,27472,2016-12-23
Bad Things (with Camila Cabello),Machine Gun Kelly,1PSBzsahR2AKwLJgx8ehBj,26859,2016-12-23
All Night,"The Vamps, Matoma",4b4KcovePX8Ke2cLIQTLM0,26796,2016-12-23
Mercy,Shawn Mendes,4TZy1wLyHec06pwgFYDh1a,26410,2016-12-23
Alone,Alan Walker,0JiVRyTJcJnmlwCZ854K4p,25415,2016-12-23
Cold Water (feat. Justin Bieber & MØ),Major Lazer,6DNtNfH8hXkqOX1sjqmI7p,25082,2016-12-23
24K Magic,Bruno Mars,6b8Be6ljOzmkOmFslEb23P,24252,2016-12-23
