Title,Artist,Song ID,Streams,Data Date
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,5knuzwU65gJK7IF5yJsuaW,1930046,2016-12-23
All I Want for Christmas Is You,Mariah Carey,0bYg9bo50gSsH3LtXe2SQn,1611364,2016-12-23
Starboy,"The Weeknd, Daft Punk",5aAx2yezTd8zXrkmtKl66Z,1487438,2016-12-23
Chöre,Mark Forster,2nYpbaLykC2cjU8Yt5KF1v,1448260,2016-12-23
Last Christmas,Wham!,2FRnf9qhLbvw8fu4IBXx78,1444299,2016-12-23
Alone,Alan Walker,0JiVRyTJcJnmlwCZ854K4p,1386698,2016-12-23
Closer,"The Chainsmokers, Halsey",7BKLCZ1jbUBVqRi2FVlTVw,1377224,2016-12-23
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN, Taylor Swift",3NdDpSvN911VPGivFlV5d0,1352138,2016-12-23
Ohne mein Team,"Bonez MC, RAF Camora, Maxwell",05Mp2UJulSttxQ4E6hQPH3,1314114,2016-12-23
Call On Me - Ryan Riback Extended Remix,Starley,78rIJddV4X0HkNAInEcYde,1302972,2016-12-23
Say You Won't Let Go,James Arthur,5uCax9HTNlzGybIStD3vDh,1279760,2016-12-23
Let Me Love You,"DJ Snake, Justin Bieber",4pdPtRcBmOSQDlJ3Fk945m,1194505,2016-12-23
Now and Later,Sage The Gemini,08WPvDEsHvTFuB9w8tC2OS,1182991,2016-12-23
Black Beatles,"Rae Sremmurd, Gucci Mane",6fujklziTHa8uoM5OQSfIo,1179104,2016-12-23
Palmen aus Gold,"Bonez MC, RAF Camora",0t4v7Q4yzb9SOQohayL33W,1164944,2016-12-23
Bad Ideas,Alle Farben,76gwG061wqdatYhicO2hG4,1144247,2016-12-23
Shed a Light,"Robin Schulz, David Guetta, Cheat Codes",1cG0umU5TKStygKsPFZ9pY,1130500,2016-12-23
Hallelujah,Pentatonix,550rQQCGkrTzvp4SfpOPzx,1046289,2016-12-23
Would I Lie to You - Radio Edit,"David Guetta, Cedric Gervais, Chris Willis",4PdJSsESm34djLfBde9Pr2,1041752,2016-12-23
Mercy,Shawn Mendes,4TZy1wLyHec06pwgFYDh1a,1024944,2016-12-23
Love Me Now,John Legend,6nxQdXa1uAL0rY72wPZu89,1011381,2016-12-23
My Way,Calvin Harris,1vvNmPOiUuyCbgWmtc6yfm,983042,2016-12-23
The Greatest,Sia,6bLopGnirdrilrpdVB6Um1,982506,2016-12-23
Driving Home For Christmas,Chris Rea,7MFl1XcwOrMIlZ3R4MzREK,981830,2016-12-23
Palmen aus Plastik,"Bonez MC, RAF Camora",6wHRm1KR8pzVDPdmR6Qovj,967297,2016-12-23
Just Hold On,"Steve Aoki, Louis Tomlinson",3EmmCZoqpWOTY1g2GBwJoR,960652,2016-12-23
Merry Christmas Everyone - Remastered,Shakin' Stevens,2ISl1zekPsc26sUQpVt8UB,957921,2016-12-23
An ihnen vorbei,"Bonez MC, RAF Camora",7istTRCq9OK5cEC8sPAc50,949490,2016-12-23
Human,Rag'n'Bone Man,58zsLZPvfflaiIbNWoA22O,944347,2016-12-23
Kokaina,Miami Yacine,2KHbPYI22yWIOgWUsApYIS,944013,2016-12-23
