Title,Artist,Song ID,Streams,Chart Date
Dance Monkey,Tones And I,1rgnBhdG2JDFTbYkYRZAku,52610,2019-12-27
Falling,Trevor Daniel,4TnjEaWOeW0eKTKIEvJyCa,27747,2019-12-27
Basha E3temed,"Abyusif, Abo El Anwar",4QrQgRLngf3cKoEdu3s6RH,24031,2019-12-27
El Gemeza,"Marwan Pablo, Molotof Music",4qZfySit1KXgI0qI1gj6Vd,23386,2019-12-27
Free,Marwan Pablo,5uRTfsQPSKAHV4POBwYOdz,22587,2019-12-27
باظت,Wegz,1ihtw3JBzws7gLPD2zDSzA,22306,2019-12-27
Sout Baga3,Shahyn,2MDrmk5MyMv0mkOYGMrpNy,20086,2019-12-27
Sindbad,Marwan Pablo,4D3RKT8L0njyGA4aq3KQoW,19664,2019-12-27
Memories,Maroon 5,2b8fOow8UzyDFAE27YhOZM,19213,2019-12-27
everything i wanted,Billie Eilish,3ZCTVFBt2Brf31RLEnCkWJ,18289,2019-12-27
ROXANNE,Arizona Zervas,696DnlkuDOXcMAnKlTgXXK,16904,2019-12-27
كدا كدا,Wegz,3dpzmmWV1NSZoNGgO4CZsO,16232,2019-12-27
Señorita,"Shawn Mendes, Camila Cabello",6v3KW9xbzN5yKLt9YKDYA2,15716,2019-12-27
bad guy,Billie Eilish,2Fxmhks0bxGSBdJ92vM42m,15448,2019-12-27
ATM,Wegz,3PkCXOWOntkWfVs2nXVa4L,14527,2019-12-27
Someone You Loved,Lewis Capaldi,7qEHsqek33rTcFNT9PFqLf,13926,2019-12-27
Don't Start Now,Dua Lipa,6WrI0LAC5M1Rw2MnX2ZvEg,13850,2019-12-27
Circles,Post Malone,21jGcNKet2qwijlDFuPiPb,13610,2019-12-27
Ouly,Ahmed Kamel,57c8QZu8dUXccqksQWp6b8,13179,2019-12-27
Blinding Lights,The Weeknd,0sf12qNH5qcw8qpgymFOqD,13111,2019-12-27
Lalala,"Y2K, bbno$",51Fjme0JiitpyXKuyQiCDo,12925,2019-12-27
البوصلة ضاعت,Marwan Moussa,3OFejsaM3NDkclJg3rjWI2,12753,2019-12-27
Mel Bedaya,Mohamed Hamaki,2j9B8YHcnxDwiDNZg6UXFl,12620,2019-12-27
Heartless,The Weeknd,57vxBYXtHMk6H1aD29V7PU,11742,2019-12-27
WHAT TO DO? (feat. Don Toliver),"JACKBOYS, Travis Scott",4AO1XhrgJczQ9bNVxdfKQe,11707,2019-12-27
HIGHEST IN THE ROOM,Travis Scott,3eekarcy7kvN4yt5ZFzltW,11691,2019-12-27
Lucid Dreams,Juice WRLD,285pBltuF7vW8TeWk8hdRR,11633,2019-12-27
نهاية العالم,Marwan Moussa,1UBV1JRYrzWwzmFsEQq3Ea,11251,2019-12-27
Kan Lak Ma'aya (Feat. Umm Kulthum),Cairokee,6EVt050wg9TQv9HpSn0Ke3,11217,2019-12-27
Mahragan Ayem Fe Bahr El Ghadr,"Ali Samara, Ahmed Ezzat",7tGhURkfoFdSy5orBxOehe,11151,2019-12-27
My Oh My (feat. DaBaby),Camila Cabello,3yOlyBJuViE2YSGn3nVE1K,11148,2019-12-27
Abu Mecca,Marwan Pablo,58HBbapKk3oKVnHaMJmFQE,10827,2019-12-27
HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX,Travis Scott,7h0d2h0fUmzbs7zeFigJPn,10789,2019-12-27
lovely (with Khalid),Billie Eilish,0u2P5u6lvoDfwTYjAADbn4,10770,2019-12-27
Without Me,Halsey,5p7ujcrUXASCNwRaWNHR1C,10749,2019-12-27
Elvaranda,"Shahyn, L5VAV",6w56QHg9szVz9qEA5jxmkt,10731,2019-12-27
Ya Sattar,Mohamed Hamaki,2IBZ2ROgyUewCGCgWAp1sq,10584,2019-12-27
GANG GANG,"JACKBOYS, Sheck Wes",6uJONCdr2rC65BNmCnTBWK,10527,2019-12-27
Ensay,"Saad Lamjarred, Mohamed Ramadan",6azjD02gDO2ZarIZMs3eRk,10518,2019-12-27
Believer,Imagine Dragons,0pqnGHJpmpxLKifKRmU6WP,10508,2019-12-27
Odam Merayetha,Amr Diab,38eQDxKlG3v2B31jAwwtZT,10464,2019-12-27
Wadaa3 ya donia,Figo Eld5lawe,5a05aVwOrDu2LxGBoFZt6A,10087,2019-12-27
No Idea,Don Toliver,3VyjsVV24RmBIbWJAeUJNu,10017,2019-12-27
Let Me Down Slowly,Alec Benjamin,2qxmye6gAegTMjLKEBoR3d,9938,2019-12-27
Nasseeny Leih,Tamer Hosny,6EyveOpETSJBcdQgVCMSL5,9370,2019-12-27
"Alone, Pt. II","Alan Walker, Ava Max",0bMbDctzMmTyK2j74j3nF3,9267,2019-12-27
