Title,Artist,Song ID,Streams,Data Date
Chantaje (feat. Maluma),Shakira,6mICuAdrwEjh6Y6lroV2Kg,1664397,2016-12-23
Reggaetón Lento (Bailemos),CNCO,3AEZUABDXNtecAOSC1qTfo,1523955,2016-12-23
Safari,"J Balvin, Pharrell Williams, BIA, Sky",6rQSrBHf7HlZjtcMZ4S4bO,1252134,2016-12-23
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,5knuzwU65gJK7IF5yJsuaW,1186042,2016-12-23
Vente Pa' Ca (feat. Maluma),Ricky Martin,7DM4BPaS7uofFul3ywMe46,1062316,2016-12-23
Traicionera,Sebastian Yatra,5J1c3M4EldCfNxXwrwt8mT,979886,2016-12-23
Otra vez (feat. J Balvin),Zion & Lennox,3QwBODjSEzelZyVjxPOHdq,960626,2016-12-23
Gyal You A Party Animal - Remix,"Charly Black, Daddy Yankee",1AkTW13ysu0AJrwuM6UY0I,943780,2016-12-23
La Bicicleta,"Carlos Vives, Shakira",0sXvAOmXgjR2QUqLK1MltU,850789,2016-12-23
Let Me Love You,"DJ Snake, Justin Bieber",4pdPtRcBmOSQDlJ3Fk945m,845017,2016-12-23
24K Magic,Bruno Mars,6b8Be6ljOzmkOmFslEb23P,837225,2016-12-23
Starboy,"The Weeknd, Daft Punk",5aAx2yezTd8zXrkmtKl66Z,782336,2016-12-23
Hasta Que Se Seque el Malecón (feat. Farruko) - Remix,Jacob Forever,6sMPwcpYtxm1mlgYbp1B0t,736266,2016-12-23
Closer,"The Chainsmokers, Halsey",7BKLCZ1jbUBVqRi2FVlTVw,733322,2016-12-23
"Ay Mi Dios (feat. Pitbull, Yandel & Chacal)","IAmChino, El Chacal",6stYbAJgTszHAHZMPxWWCY,732458,2016-12-23
The Greatest,Sia,6bLopGnirdrilrpdVB6Um1,723481,2016-12-23
Vacaciones,Wisin,3dQDid3IUNhZy1OehIfYfE,695349,2016-12-23
All I Want for Christmas Is You,Mariah Carey,0bYg9bo50gSsH3LtXe2SQn,689340,2016-12-23
Don't Wanna Know,"Maroon 5, Kendrick Lamar",5MFzQMkrl1FOOng9tq6R9r,673476,2016-12-23
Manicomio,Cosculluela,3n58u3LOFw8mITLvfPvQBz,673049,2016-12-23
Borro Cassette,Maluma,6DUdDIRgLqCGq1DwkNWQTN,648782,2016-12-23
Bailame Despacio,"Xantos, Dynell",4OaTpLJIa2harufGxfOPUu,632711,2016-12-23
In the Name of Love,"Martin Garrix, Bebe Rexha",04DwTuZ2VBdJCCC5TROn7L,623086,2016-12-23
Fuego,Juanes,0mwPE0lPOgnWf2bo14xedJ,617292,2016-12-23
Quiero Que Sepas,Juan Magán,0fm7fJ4aZv6Wx0klIcyXPz,613860,2016-12-23
Deja Que Te Bese,"Alejandro Sanz, Marc Anthony",0s6yB0ZFl1LvYHAnGhXFga,609453,2016-12-23
Cold Water (feat. Justin Bieber & MØ),Major Lazer,6DNtNfH8hXkqOX1sjqmI7p,589432,2016-12-23
Te Quiero Pa´Mi,"Don Omar, Zion & Lennox",3BY2mafsbsoKGqS380Xnuz,583318,2016-12-23
Antes Que No,David Bisbal,4Iy644j0PpHssDJ33tXbIS,581741,2016-12-23
Cómo Te Atreves,Morat,2z0EshEO4XptiepEb9j3Og,572969,2016-12-23
DUELE EL CORAZON (feat. Wisin),Enrique Iglesias,6YZdkObH88npeKrrkb8Ggf,569849,2016-12-23
One Dance,"Drake, WizKid, Kyla",1xznGGDReH1oQq0xzbwXa3,562776,2016-12-23
Heathens,Twenty One Pilots,6i0V12jOa3mr6uu4WYhUBr,547637,2016-12-23
Ya Me Enteré (feat. Nicky Jam) - Urban Version,Reik,2SSYqDX8KTgy01NlqtUo0F,536681,2016-12-23
My Way,Calvin Harris,1vvNmPOiUuyCbgWmtc6yfm,527012,2016-12-23
Andas En Mi Cabeza,"Chino & Nacho, Daddy Yankee",5mey7CLLuFToM2P68Qu1gF,516328,2016-12-23
Desde Que Estamos Juntos,Melendi,66VmioeXL4i1TCfHIO8R9t,511750,2016-12-23
Say You Won't Let Go,James Arthur,5uCax9HTNlzGybIStD3vDh,502301,2016-12-23
Side To Side,"Ariana Grande, Nicki Minaj",4pLwZjInHj3SimIyN9SnOz,495830,2016-12-23
Bobo,J Balvin,7AtlMCIauSQZqiXSlbBPW6,495814,2016-12-23
El Perdedor (feat. Yandel) - The Remix,Maluma,4QsPTKvdpgkA7mBAvclZTa,482729,2016-12-23
Shaky Shaky,Daddy Yankee,58IL315gMSTD37DOZPJ2hf,479710,2016-12-23
Amor y dolor,"Carlos Baute, Alexis y Fido",4efQTJSX6Jca1hHZNi74Zd,469454,2016-12-23
Don't Let Me Down (feat. Daya),The Chainsmokers,0QsvXIfqM0zZoerQfsI9lm,468737,2016-12-23
We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,68EMU2RD1ECNeOeJ5qAXCV,456300,2016-12-23
Perfect Strangers,"Jonas Blue, JP Cooper",5bZtRlMBU76vHuDOb1GM5u,453173,2016-12-23
