Title,Artist,Song ID,Streams,Data Date
Hukutaan,Arttu Lindeman,0i8qXP5jTcu3dPfwZrboV3,607387,2016-12-23
Loistat Pimeäs,Mikael Gabriel,3bCuspxImskpiHF3udYdFI,558141,2016-12-23
Alone,Alan Walker,0JiVRyTJcJnmlwCZ854K4p,528689,2016-12-23
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,5knuzwU65gJK7IF5yJsuaW,407209,2016-12-23
Sinuhe,"Profeetat, Cheek, Elastinen",1muAf2i6NwO1O7MMEr0A8O,359222,2016-12-23
Mist sä tuutPt. 2,JVG,0oY8xK12tJkYAskQXXQsgj,312205,2016-12-23
Starboy,"The Weeknd, Daft Punk",5aAx2yezTd8zXrkmtKl66Z,298981,2016-12-23
Just Hold On,"Steve Aoki, Louis Tomlinson",3EmmCZoqpWOTY1g2GBwJoR,278995,2016-12-23
Rakas,Haloo Helsinki!,0O2nxouygWlAVxHZPw3YCW,272512,2016-12-23
Tuesday,"Burak Yeter, Danelle Sandoval",7abpmGpF7PGep2rDU68GBR,271763,2016-12-23
Pisamat,Nikke Ankara,7g5M2rzDUPoFv4JAZAyJR7,267392,2016-12-23
Black Beatles,"Rae Sremmurd, Gucci Mane",6fujklziTHa8uoM5OQSfIo,266206,2016-12-23
Steady 1234 (feat. Jasmine Thompson & Skizzy Mars),Vice,40UroIGvsMPLPBYwH8rMNA,250731,2016-12-23
Now and Later,Sage The Gemini,08WPvDEsHvTFuB9w8tC2OS,247776,2016-12-23
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN, Taylor Swift",3NdDpSvN911VPGivFlV5d0,240774,2016-12-23
Move Your Body - Alan Walker Remix,Sia,6LUOMjoORvAkdhBYvESO46,226624,2016-12-23
Revolveri (Luokkakokous 2 - Polttarit),"JVG, Elias Gould, MGI",2lxrLR1S6M4upQZbSOQKD4,222489,2016-12-23
Saturnus,"Brädi, Illi",3nenYQpz28iHiuS1loQ4Xz,219451,2016-12-23
All I Want for Christmas Is You,Mariah Carey,0bYg9bo50gSsH3LtXe2SQn,212968,2016-12-23
Lumi Teki Enkelin Eteiseen - Vain Elämää Kausi 5,Mikael Gabriel,0qQ2TDJ42jGaEHE5cJAuG5,207099,2016-12-23
Hear Me Now,"Alok, Bruno Martini, Zeeba",1a5Yu5L18qNxVhXx38njON,193904,2016-12-23
Last Christmas,Wham!,2FRnf9qhLbvw8fu4IBXx78,193738,2016-12-23
Closer,"The Chainsmokers, Halsey",7BKLCZ1jbUBVqRi2FVlTVw,193471,2016-12-23
Kohta sataa,Pete Parkkonen,4EuXGaOmNNPOSpfvfST5b8,189726,2016-12-23
Inside the Lines (feat. Casso),Mike Perry,3qaYuV5XZAwiOvGE91HhwS,181242,2016-12-23
Ei Mitään Jiitä,Adi L Hasla,5FVVDm1X8saGIty6sJkbDw,178378,2016-12-23
