Title,Artist,Song ID,Streams,Data Date
Mauvaise graine,Nekfeu,4kKJ5CjwCtksszPMntho4N,704689,2016-12-23
Squa,Nekfeu,11hj8c8BCRd5ND3CRhZSvt,693374,2016-12-23
Starboy,"The Weeknd, Daft Punk",5aAx2yezTd8zXrkmtKl66Z,605346,2016-12-23
One Dance,"Drake, WizKid, Kyla",1xznGGDReH1oQq0xzbwXa3,582118,2016-12-23
Saturne,"Nekfeu, Sneazzy, S.Pri Noir",5t9fmZx0pcNxLykKTv6eOe,576469,2016-12-23
Black Beatles,"Rae Sremmurd, Gucci Mane",6fujklziTHa8uoM5OQSfIo,548478,2016-12-23
Let Me Love You,"DJ Snake, Justin Bieber",4pdPtRcBmOSQDlJ3Fk945m,525737,2016-12-23
24K Magic,Bruno Mars,6b8Be6ljOzmkOmFslEb23P,523143,2016-12-23
Tchoin,Kaaris,0ban5QRXUveaKtQPGuaoQ9,514464,2016-12-23
My Way,Calvin Harris,1vvNmPOiUuyCbgWmtc6yfm,506174,2016-12-23
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,5knuzwU65gJK7IF5yJsuaW,489894,2016-12-23
Sunset Lover,Petit Biscuit,0hNduWmlWmEmuwEFcYvRu1,489027,2016-12-23
Onizuka,PNL,4GCIYE1x1TWJCChPkpy9by,486834,2016-12-23
Heathens,Twenty One Pilots,6i0V12jOa3mr6uu4WYhUBr,483711,2016-12-23
Tchikita,Jul,6bXd0YhKLCTvlLVc4tErH9,463447,2016-12-23
I Feel It Coming,"The Weeknd, Daft Punk",5GXAXm5YOmYT0kL5jHvYBt,462676,2016-12-23
DKR,Booba,1iDQ2zCOU1uYeR8QcpqUZb,451968,2016-12-23
Ride,Twenty One Pilots,2Z8WuEywRWYTKe1NybPQEW,450519,2016-12-23
Afro Trap Pt. 7 (La puissance),MHD,6x8j5V85ZJHtvOSjSamcVc,448509,2016-12-23
Réalité augmentée,Nekfeu,5jGuAvPX3Ufo55DIZlCaHq,432659,2016-12-23
6.45i,SCH,0myHuhA1FkppaClYHRoxX0,428231,2016-12-23
Humanoïde,Nekfeu,6YHNKVx7gSsOX7xq6jaqeq,420070,2016-12-23
Human,Rag'n'Bone Man,58zsLZPvfflaiIbNWoA22O,413014,2016-12-23
Lordly (feat. Alex Aiono),Feder,6c12fBpCtuVIq8OFxT0A3S,405803,2016-12-23
Naha,PNL,0lkQfsTMmtDA37tjjew9n0,405354,2016-12-23
All I Want for Christmas Is You,Mariah Carey,0bYg9bo50gSsH3LtXe2SQn,402113,2016-12-23
The Greatest,Sia,6bLopGnirdrilrpdVB6Um1,400700,2016-12-23
Closer,"The Chainsmokers, Halsey",7BKLCZ1jbUBVqRi2FVlTVw,397981,2016-12-23
Don't Wanna Know,"Maroon 5, Kendrick Lamar",5MFzQMkrl1FOOng9tq6R9r,391627,2016-12-23
Avant tu riais,"Nekfeu, Clara Luciani",6AHgVddvpK6wQpifbtInW1,381802,2016-12-23
Infréquentables,"Dosseh, Booba",63z6p4gpgnpZprANkpBIHH,380872,2016-12-23
On m'appelle l'ovni,Jul,5cbyl4wFM4UYnQGoA0dcAk,379775,2016-12-23
Mercy,Shawn Mendes,4TZy1wLyHec06pwgFYDh1a,376100,2016-12-23
Galatée,Nekfeu,5kkqEHDSAU5S4TgKQN1l9d,359443,2016-12-23
Aloha,"Møme, Merryn Jeann",6HViP4DVYa8gQtxLndmhwu,357116,2016-12-23
Pop Corn,Boostee,6FK7DCwcQWWWG9VAT6ZGvz,354436,2016-12-23
"i hate u, i love u (feat. olivia o'brien)",gnash,7vRriwrloYVaoAe3a9wJHe,354037,2016-12-23
Bazardée,KeBlack,2KiHXiqQA2dHiLfeSxtTeP,354020,2016-12-23
Esquimaux,"Nekfeu, Nepal",2gcZZpnrxbShZPLKiNUVga,347334,2016-12-23
Cold Water (feat. Justin Bieber & MØ),Major Lazer,6DNtNfH8hXkqOX1sjqmI7p,347280,2016-12-23
I Took A Pill In Ibiza - Seeb Remix,Mike Posner,17Fd6Yb7mSbinKG8LoWfFl,343232,2016-12-23
Blow,Kaaris,5GhWx7Hzju2oRyhVY6k9QH,339928,2016-12-23
Oblah,"Gradur, MHD, Alonzo, Nyda",0sqOIwjQoaiEXcSgl8iqsi,326604,2016-12-23
Last Christmas,Wham!,2FRnf9qhLbvw8fu4IBXx78,325506,2016-12-23
Tout donner - Pilule violette,GIMS,5ASacvNO76BB7Dxtp74qqz,324555,2016-12-23
Bené,PNL,00X2yv2vrtritPt2CZnUTZ,318142,2016-12-23
Dans la légende,PNL,5NZpY9WeWFtlHVgepfCamX,316152,2016-12-23
Le regard des gens,"Nekfeu, Nemir, 2zer, Mekra, Doums",0xH4qR6s5TqdzMKRkloBnh,309261,2016-12-23
Nekketsu,"Nekfeu, Crystal Kay",6J4VvZ3pIit9KgFtUDniwm,308888,2016-12-23
Treat You Better,Shawn Mendes,4Hf7WnR761jpxPr5D46Bcd,302631,2016-12-23
Ain't Your Mama,Jennifer Lopez,2hgzdQdnfWwtdpZbhZlV72,296439,2016-12-23
Sex,"Cheat Codes, Kris Kross Amsterdam",5DA77EqppDmCTWGovd4oTP,295370,2016-12-23
Poussière,Kaaris,4RhPtvcQqowlT2HSc00LxY,293444,2016-12-23
The Ocean (feat. Shy Martin),Mike Perry,2CPqh63wRVscbceKcPxwvv,291176,2016-12-23
Lush Life,Zara Larsson,1rIKgCH4H52lrvDcz50hS8,286860,2016-12-23
Work from Home (feat. Ty Dolla $ign),Fifth Harmony,4tCtwWceOPWzenK2HAIJSb,284409,2016-12-23
Perfect Strangers,"Jonas Blue, JP Cooper",5bZtRlMBU76vHuDOb1GM5u,281024,2016-12-23
Elle et l'autre,Jul,783vFwxaUzpGYAOEcGok9w,279876,2016-12-23
Love Me Now,John Legend,6nxQdXa1uAL0rY72wPZu89,279156,2016-12-23
Heal Tomorrow,"Naive New Beaters, Izïa",4J6xvZhJh26lmAEAXGDCKu,278633,2016-12-23
Hundred Miles,"Yall, Gabriela Richardson",5dyDkXi1bnQKSyIdO0JXp8,273327,2016-12-23
Say You Won't Let Go,James Arthur,5uCax9HTNlzGybIStD3vDh,272351,2016-12-23
In the Name of Love,"Martin Garrix, Bebe Rexha",04DwTuZ2VBdJCCC5TROn7L,271874,2016-12-23
All We Know,"The Chainsmokers, Phoebe Ryan",2rizacJSyD9S1IQUxUxnsK,270925,2016-12-23
Cheap Thrills,Sia,27SdWb2rFzO6GWiYDBTD9j,270852,2016-12-23
Call On Me - Ryan Riback Extended Remix,Starley,78rIJddV4X0HkNAInEcYde,261391,2016-12-23
O.D,"Nekfeu, Murkage Dave",1ka8yYr5OnUrh0k59d7Gfd,261275,2016-12-23
We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,68EMU2RD1ECNeOeJ5qAXCV,261103,2016-12-23
Fast Car,"Jonas Blue, Dakota",6OZh916QF8XNunWaP97WEZ,260903,2016-12-23
Halcyon Birds,Broken Back,1WC2ctyzNjpgkhF0dplias,247095,2016-12-23
Nador,Kaaris,4jgTc6njkNCMonjSUBz89V,244818,2016-12-23
Lost on You,LP,3SqvR3HYLlCTYzbDXJ52OC,242024,2016-12-23
DA,PNL,5UOGzIMvxXyRZIWBbqDcpU,241284,2016-12-23
Mon Everest (feat. Marina Kaye),Soprano,6iwkDhmdFfXu9RpjXrgFhz,238572,2016-12-23
Besoin de sens,"Nekfeu, Framal, Jazzy Bazz",1hVEHazr1EDumcrGlEU5XF,237583,2016-12-23
Hymn for the Weekend - Seeb Remix,Coldplay,1OAiWI2oPmglaOiv9fdioU,236638,2016-12-23
C'est le son de la gratte,Jul,2E681kTbT2vG47YqQJSQgw,235767,2016-12-23
Andale (feat. Gradur),Sadek,3zLMWD22TUiKZ3L6FPjiCL,233626,2016-12-23
Dis-moi que tu m'aimes,Ninho,0u6HzAVFUBiKslzPF9G9vd,229817,2016-12-23
