Title,Artist,Song ID,Streams,Data Date
All I Want for Christmas Is You,Mariah Carey,0bYg9bo50gSsH3LtXe2SQn,2414608,2016-12-23
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,5knuzwU65gJK7IF5yJsuaW,2406621,2016-12-23
Last Christmas,Wham!,2FRnf9qhLbvw8fu4IBXx78,2345002,2016-12-23
Fairytale of New York (feat. Kirsty MacColl),The Pogues,3VTNVsTTu05dmTsVFrmGpK,1879767,2016-12-23
Starboy,"The Weeknd, Daft Punk",5aAx2yezTd8zXrkmtKl66Z,1797034,2016-12-23
Say You Won't Let Go,James Arthur,5uCax9HTNlzGybIStD3vDh,1707282,2016-12-23
Merry Christmas Everyone - Remastered,Shakin' Stevens,2ISl1zekPsc26sUQpVt8UB,1703299,2016-12-23
I Would Like,Zara Larsson,4Q4jmPHwu0wrJvqrld0FQ6,1628520,2016-12-23
Touch,Little Mix,5Ua3GXyHwiSfpNTMjq6m2z,1595408,2016-12-23
Just Hold On,"Steve Aoki, Louis Tomlinson",3EmmCZoqpWOTY1g2GBwJoR,1568632,2016-12-23
Sexual,"NEIKED, Dyo",3AsAuGTaDQzavZZThyYlop,1567412,2016-12-23
Black Beatles,"Rae Sremmurd, Gucci Mane",6fujklziTHa8uoM5OQSfIo,1493769,2016-12-23
Don't Wanna Know,"Maroon 5, Kendrick Lamar",5MFzQMkrl1FOOng9tq6R9r,1486671,2016-12-23
It's the Most Wonderful Time of the Year,Andy Williams,5hslUAKq9I9CG2bAulFkHN,1472947,2016-12-23
Closer,"The Chainsmokers, Halsey",7BKLCZ1jbUBVqRi2FVlTVw,1411852,2016-12-23
24K Magic,Bruno Mars,6b8Be6ljOzmkOmFslEb23P,1391745,2016-12-23
Do They Know It's Christmas? - 1984 Version,Band Aid,1hvpDAxZPKjKztOc72sv06,1342309,2016-12-23
It's Beginning to Look a Lot like Christmas,Michael Bublé,0lLdorYw7lVrJydTINhWdI,1336880,2016-12-23
I Feel It Coming,"The Weeknd, Daft Punk",5GXAXm5YOmYT0kL5jHvYBt,1313456,2016-12-23
Fake Love,Drake,343YBumqHu19cGoGARUTsd,1298141,2016-12-23
Shout Out to My Ex,Little Mix,0YHUITU3w6ws1v8ehT264g,1274129,2016-12-23
I Wish It Could Be Christmas Everyday,Wizzard,1mH6tZC6iXIHPI6EixCwxw,1258496,2016-12-23
All Night,"The Vamps, Matoma",4b4KcovePX8Ke2cLIQTLM0,1249782,2016-12-23
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN, Taylor Swift",3NdDpSvN911VPGivFlV5d0,1243523,2016-12-23
Human,Rag'n'Bone Man,58zsLZPvfflaiIbNWoA22O,1237304,2016-12-23
Step Into Christmas,Elton John,3YQUpKTmtgPJf8u6ooi9KA,1225419,2016-12-23
The Mack,"Nevada, Mark Morrison, Fetty Wap",7aV2mflaASUmGhCErm7kBO,1214257,2016-12-23
By Your Side,"Jonas Blue, RAYE",1D3ODoXHBLpdxolZRHWV1j,1196978,2016-12-23
Wonderful Christmastime - Remastered 2011 / Edited Version,Paul McCartney,4gavOCQdZ2g86gkvi17FM7,1127497,2016-12-23
