Title,Artist,Song ID,Streams,Data Date
Closer,"The Chainsmokers, Halsey",7BKLCZ1jbUBVqRi2FVlTVw,88362,2016-12-23
Starboy,"The Weeknd, Daft Punk",5aAx2yezTd8zXrkmtKl66Z,77814,2016-12-23
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN, Taylor Swift",3NdDpSvN911VPGivFlV5d0,72866,2016-12-23
Let Me Love You,"DJ Snake, Justin Bieber",4pdPtRcBmOSQDlJ3Fk945m,61603,2016-12-23
Don't Wanna Know,"Maroon 5, Kendrick Lamar",5MFzQMkrl1FOOng9tq6R9r,59844,2016-12-23
All I Want for Christmas Is You,Mariah Carey,0bYg9bo50gSsH3LtXe2SQn,57940,2016-12-23
Bad Things (with Camila Cabello),Machine Gun Kelly,1PSBzsahR2AKwLJgx8ehBj,57235,2016-12-23
24K Magic,Bruno Mars,6b8Be6ljOzmkOmFslEb23P,54362,2016-12-23
All We Know,"The Chainsmokers, Phoebe Ryan",2rizacJSyD9S1IQUxUxnsK,52089,2016-12-23
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,5knuzwU65gJK7IF5yJsuaW,51290,2016-12-23
We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,68EMU2RD1ECNeOeJ5qAXCV,50788,2016-12-23
Say You Won't Let Go,James Arthur,5uCax9HTNlzGybIStD3vDh,50423,2016-12-23
Alone,Alan Walker,0JiVRyTJcJnmlwCZ854K4p,50241,2016-12-23
Faded,Alan Walker,7gHs73wELdeycvS48JfIos,49338,2016-12-23
I Feel It Coming,"The Weeknd, Daft Punk",5GXAXm5YOmYT0kL5jHvYBt,46962,2016-12-23
Just Hold On,"Steve Aoki, Louis Tomlinson",3EmmCZoqpWOTY1g2GBwJoR,46571,2016-12-23
經過一些秋與冬,Dear Jane,4pw59ml6lY3WnP90tfyDGP,45007,2016-12-23
Last Christmas,Wham!,2FRnf9qhLbvw8fu4IBXx78,44849,2016-12-23
哪裡只得我共你,Dear Jane,6oHNXUrt4s5JJIM1WoOwsZ,44781,2016-12-23
Cold Water (feat. Justin Bieber & MØ),Major Lazer,6DNtNfH8hXkqOX1sjqmI7p,43253,2016-12-23
Call On Me - Ryan Riback Extended Remix,Starley,78rIJddV4X0HkNAInEcYde,43067,2016-12-23
The Greatest,Sia,6bLopGnirdrilrpdVB6Um1,42797,2016-12-23
Starving,"Hailee Steinfeld, Grey, Zedd",1qOLh0tI7trd1zdDKxYZTe,42023,2016-12-23
風箏,Supper Moment,6NBREJ4ZZX9sOOMw2OO8Nv,41371,2016-12-23
In the Name of Love,"Martin Garrix, Bebe Rexha",04DwTuZ2VBdJCCC5TROn7L,40820,2016-12-23
FXXK IT,BIGBANG,0YVsrgp4OOUhFuYMAVQazV,40102,2016-12-23
"沒有你, 我甚麼都不是",Jason Chan,1zlUxL11eVVjPSPSI7tIjQ,38638,2016-12-23
愛需要勇氣 - 電視劇「致命復活」片尾曲,Stephanie Ho,4BEtV1oUJkEDdmiN4nYgXi,37418,2016-12-23
Don't Let Me Down (feat. Daya),The Chainsmokers,0QsvXIfqM0zZoerQfsI9lm,36475,2016-12-23
分手總約在雨天,Charmaine Fong,4F58voptx3uo1bNiJ6i1P9,36198,2016-12-23
只知感覺失了蹤,Dear Jane,5V7K0PneTnNe6GRwE7EFN8,35232,2016-12-23
All Night,"The Vamps, Matoma",4b4KcovePX8Ke2cLIQTLM0,35228,2016-12-23
獨一無二,"AGA, Gin Lee",1EiEkNCO1maB0Rl3XQ5f6A,35072,2016-12-23
Treat You Better,Shawn Mendes,4Hf7WnR761jpxPr5D46Bcd,34995,2016-12-23
