Title,Artist,Song ID,Streams,Data Date
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,5knuzwU65gJK7IF5yJsuaW,54323,2016-12-23
All I Want for Christmas Is You,Mariah Carey,0bYg9bo50gSsH3LtXe2SQn,48486,2016-12-23
Last Christmas,Wham!,2FRnf9qhLbvw8fu4IBXx78,44357,2016-12-23
Starboy,"The Weeknd, Daft Punk",5aAx2yezTd8zXrkmtKl66Z,43668,2016-12-23
Closer,"The Chainsmokers, Halsey",7BKLCZ1jbUBVqRi2FVlTVw,37168,2016-12-23
Let Me Love You,"DJ Snake, Justin Bieber",4pdPtRcBmOSQDlJ3Fk945m,36441,2016-12-23
Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),Frank Sinatra,7inXu0Eaeg02VsM8kHNvzM,34422,2016-12-23
The Greatest,Sia,6bLopGnirdrilrpdVB6Um1,34193,2016-12-23
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN, Taylor Swift",3NdDpSvN911VPGivFlV5d0,33457,2016-12-23
Just Hold On,"Steve Aoki, Louis Tomlinson",3EmmCZoqpWOTY1g2GBwJoR,31376,2016-12-23
It's the Most Wonderful Time of the Year,Andy Williams,5hslUAKq9I9CG2bAulFkHN,30797,2016-12-23
Don't Wanna Know,"Maroon 5, Kendrick Lamar",5MFzQMkrl1FOOng9tq6R9r,30701,2016-12-23
It's Beginning to Look a Lot like Christmas,Michael Bublé,0lLdorYw7lVrJydTINhWdI,28753,2016-12-23
Heathens,Twenty One Pilots,6i0V12jOa3mr6uu4WYhUBr,28726,2016-12-23
Call On Me - Ryan Riback Extended Remix,Starley,78rIJddV4X0HkNAInEcYde,28344,2016-12-23
Black Beatles,"Rae Sremmurd, Gucci Mane",6fujklziTHa8uoM5OQSfIo,26919,2016-12-23
In the Name of Love,"Martin Garrix, Bebe Rexha",04DwTuZ2VBdJCCC5TROn7L,26730,2016-12-23
Human,Rag'n'Bone Man,58zsLZPvfflaiIbNWoA22O,26599,2016-12-23
I Feel It Coming,"The Weeknd, Daft Punk",5GXAXm5YOmYT0kL5jHvYBt,26132,2016-12-23
Jingle Bell Rock,BobHelms,1cImYkHOQMFE7AZC9aOk4y,25955,2016-12-23
