Title,Artist,Song ID,Streams,Data Date
Closer,"The Chainsmokers, Halsey",7BKLCZ1jbUBVqRi2FVlTVw,380985,2016-12-23
Say You Won't Let Go,James Arthur,5uCax9HTNlzGybIStD3vDh,352129,2016-12-23
All We Know,"The Chainsmokers, Phoebe Ryan",2rizacJSyD9S1IQUxUxnsK,328250,2016-12-23
Let Me Love You,"DJ Snake, Justin Bieber",4pdPtRcBmOSQDlJ3Fk945m,297063,2016-12-23
Don't Wanna Know,"Maroon 5, Kendrick Lamar",5MFzQMkrl1FOOng9tq6R9r,284825,2016-12-23
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN, Taylor Swift",3NdDpSvN911VPGivFlV5d0,264006,2016-12-23
Starving,"Hailee Steinfeld, Grey, Zedd",1qOLh0tI7trd1zdDKxYZTe,257683,2016-12-23
Starboy,"The Weeknd, Daft Punk",5aAx2yezTd8zXrkmtKl66Z,254002,2016-12-23
Bad Things (with Camila Cabello),Machine Gun Kelly,1PSBzsahR2AKwLJgx8ehBj,250999,2016-12-23
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,5knuzwU65gJK7IF5yJsuaW,234434,2016-12-23
Alone,Marshmello,12mGwph2YzDIlChtq3EdXP,229300,2016-12-23
Alone,Alan Walker,0JiVRyTJcJnmlwCZ854K4p,227288,2016-12-23
Side To Side,"Ariana Grande, Nicki Minaj",4pLwZjInHj3SimIyN9SnOz,222279,2016-12-23
24K Magic,Bruno Mars,6b8Be6ljOzmkOmFslEb23P,220122,2016-12-23
Cold Water (feat. Justin Bieber & MØ),Major Lazer,6DNtNfH8hXkqOX1sjqmI7p,211507,2016-12-23
In the Name of Love,"Martin Garrix, Bebe Rexha",04DwTuZ2VBdJCCC5TROn7L,202862,2016-12-23
Versace on the Floor,Bruno Mars,0kN8xEmgMW9mh7UmDYHlJP,196253,2016-12-23
By Your Side,"Jonas Blue, RAYE",1D3ODoXHBLpdxolZRHWV1j,191822,2016-12-23
I Feel It Coming,"The Weeknd, Daft Punk",5GXAXm5YOmYT0kL5jHvYBt,177278,2016-12-23
"How Far I'll Go - From ""Moana""",Alessia Cara,5hYTyyh2odQKphUbMqc5gN,176296,2016-12-23
Just Hold On,"Steve Aoki, Louis Tomlinson",3EmmCZoqpWOTY1g2GBwJoR,176129,2016-12-23
All Night,"The Vamps, Matoma",4b4KcovePX8Ke2cLIQTLM0,171189,2016-12-23
Treat You Better,Shawn Mendes,4Hf7WnR761jpxPr5D46Bcd,167550,2016-12-23
Perfect Strangers,"Jonas Blue, JP Cooper",5bZtRlMBU76vHuDOb1GM5u,166541,2016-12-23
The Greatest,Sia,6bLopGnirdrilrpdVB6Um1,162603,2016-12-23
Call On Me - Ryan Riback Extended Remix,Starley,78rIJddV4X0HkNAInEcYde,161166,2016-12-23
We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,68EMU2RD1ECNeOeJ5qAXCV,159042,2016-12-23
Dia - Hits Single,Anji,2ok6IGh97S4eIRse9K2sjg,150974,2016-12-23
Don't Let Me Down (feat. Daya),The Chainsmokers,0QsvXIfqM0zZoerQfsI9lm,148237,2016-12-23
Till It Hurts,"Yellow Claw, Ayden",6hJSH3jS9jG6khVclppBJw,143387,2016-12-23
Mercy,Shawn Mendes,4TZy1wLyHec06pwgFYDh1a,140762,2016-12-23
Setting Fires,"The Chainsmokers, XYLØ",0B8B8cVRFIG1yznoQe7c9s,138460,2016-12-23
Faded,Alan Walker,7gHs73wELdeycvS48JfIos,134878,2016-12-23
Penantian Berharga,Rizky Febian,1n6l1bcpVPXbKd8FhrwxT3,131504,2016-12-23
Heathens,Twenty One Pilots,6i0V12jOa3mr6uu4WYhUBr,128981,2016-12-23
Scars To Your Beautiful,Alessia Cara,0prNGof3XqfTvNDxHonvdK,124405,2016-12-23
My Way,Calvin Harris,1vvNmPOiUuyCbgWmtc6yfm,122682,2016-12-23
Fake Love,Drake,343YBumqHu19cGoGARUTsd,120201,2016-12-23
Pelangi,Hivi!,38CdjYpFJHMzZ2Pyh5IvRP,120154,2016-12-23
Cheap Thrills,Sia,27SdWb2rFzO6GWiYDBTD9j,119337,2016-12-23
"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,6JV2JOEocMgcZxYSZelKcc,111266,2016-12-23
Ruang Sendiri,Tulus,3xTRHJwjjTP9dBP9aWbCi1,109915,2016-12-23
Middle,"DJ Snake, Bipolar Sunshine",4OZEu0Vwq0RB2LAq14v99n,108345,2016-12-23
"i hate u, i love u (feat. olivia o'brien)",gnash,7vRriwrloYVaoAe3a9wJHe,105969,2016-12-23
The Ocean (feat. Shy Martin),Mike Perry,2CPqh63wRVscbceKcPxwvv,105629,2016-12-23
I Would Like,Zara Larsson,4Q4jmPHwu0wrJvqrld0FQ6,102184,2016-12-23
Love Me Now,John Legend,6nxQdXa1uAL0rY72wPZu89,101830,2016-12-23
Trust Nobody (feat. Selena Gomez & Tory Lanez),Cashmere Cat,2wDjpPW3HZdA9quPPmZAMu,99102,2016-12-23
Lot to Learn,Luke Christopher,2HzfRSfCogBSsgW2CckVA2,96184,2016-12-23
