Title,Artist,Song ID,Streams,Chart Date
Dance Monkey,Tones And I,1rgnBhdG2JDFTbYkYRZAku,138954,2019-12-27
אלוף העולם,Hanan Ben Ari,67dg9xeMIRXjcQbmbWtBFW,87388,2019-12-27
Falling,Trevor Daniel,4TnjEaWOeW0eKTKIEvJyCa,84453,2019-12-27
ROXANNE,Arizona Zervas,696DnlkuDOXcMAnKlTgXXK,81370,2019-12-27
נחכה לך,"Nathan Goshen, Ishay Ribo",0KZ2xiFYOdNQfohg4ZFXf5,77120,2019-12-27
מסע,Eliad,2WBNUsV0WH7Cmjr71viWfC,73617,2019-12-27
Señorita,"Shawn Mendes, Camila Cabello",6v3KW9xbzN5yKLt9YKDYA2,73608,2019-12-27
bad guy,Billie Eilish,2Fxmhks0bxGSBdJ92vM42m,69886,2019-12-27
אגרוף,Eden Ben Zaken,2DSBoOVLqBdNXZKSJBdtBN,69684,2019-12-27
Don't Start Now,Dua Lipa,6WrI0LAC5M1Rw2MnX2ZvEg,67078,2019-12-27
הלב שלי,Ishay Ribo,7Ck421SAROdN0Q6RXMbic7,64453,2019-12-27
לשוב הביתה,Ishay Ribo,52n4gF126eIllrGuc9Zus6,63903,2019-12-27
everything i wanted,Billie Eilish,3ZCTVFBt2Brf31RLEnCkWJ,63544,2019-12-27
Memories,Maroon 5,2b8fOow8UzyDFAE27YhOZM,58403,2019-12-27
Never Go Back,Dennis Lloyd,2QrXzOqLCVDRZHkToA0tSR,57668,2019-12-27
Someone You Loved,Lewis Capaldi,7qEHsqek33rTcFNT9PFqLf,57279,2019-12-27
ממה את מפחדת,"Eyal Golan, Benaia Barabi",706pZPUcsKsREHM8RqHaY0,57259,2019-12-27
BEG,"Omer Adam, Netta",44pKbfoyixQSaiiJde9i1F,56966,2019-12-27
דיבור נגוע,"Mergui, Stephane Legar",19u24hOHMdNfGPedV2lFum,56396,2019-12-27
לקחת את המפתחות,Itay Levi,29gCUQ8kKPbmh3VKyspTfg,54638,2019-12-27
Circles,Post Malone,21jGcNKet2qwijlDFuPiPb,53721,2019-12-27
מתגעגעת,Nathan Goshen,48pM1v8Z0EN8OiKzifbOWG,52455,2019-12-27
