Title,Artist,Song ID,Streams,Chart Date
"Muqabla (From ""Street Dancer 3D"")","Yash Narvekar, Parampara Tandon, Tanishk Bagchi",28veUNu4veN0LOBVa0nFw8,1176243,2019-12-27
"Ghungroo (From ""War"")","Arijit Singh, Shilpa Rao",0WdbnNKO0Jt4BZACSDQh44,963898,2019-12-27
Falling,Trevor Daniel,4TnjEaWOeW0eKTKIEvJyCa,893191,2019-12-27
Yaad Piya Ki Aane Lagi,"Neha Kakkar, Tanishk Bagchi, Lalit Sen",0TkquWzzuxcrwbCWlTrKYF,880650,2019-12-27
Makhna,"Tanishk Bagchi, Yasser Desai, Asees Kaur",0ZHILXmUaVSLEOCWxPQ1ga,865019,2019-12-27
Memories,Maroon 5,2b8fOow8UzyDFAE27YhOZM,767788,2019-12-27
"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")","Arijit Singh, Mithoon",2Fv2injs4qAm8mJBGaxVKU,750712,2019-12-27
"Garmi (From ""Street Dancer 3D"") (feat. Varun Dhawan)","Badshah, Neha Kakkar",6q9XTgfWilsnyiFofvYrIF,719526,2019-12-27
Señorita,"Shawn Mendes, Camila Cabello",6v3KW9xbzN5yKLt9YKDYA2,675117,2019-12-27
"Tum Hi Aana (From ""Marjaavaan"")","Payal Dev, Jubin Nautiyal",6E9UwSfT80age2xknoMS7Y,653544,2019-12-27
ROXANNE,Arizona Zervas,696DnlkuDOXcMAnKlTgXXK,613112,2019-12-27
"O Saki Saki (From ""Batla House"")","Neha Kakkar, Tulsi Kumar, B Praak",5djZm1zFGcJUSUqbBjrAZH,589365,2019-12-27
"Shaitan Ka Saala (From ""Housefull 4"")","Sohail Sen, Vishal Dadlani",7IAJzec1UxGYmNvbPTHbxx,575229,2019-12-27
Filhall,"B Praak, Akshay Kumar & Nupur Sanon",6E7P1uT2afeor2t6wR2y2r,530971,2019-12-27
Pal Pal Dil Ke Paas- Title Track,"Arijit Singh, Parampara Tandon",7lGhrfren1Zpwh0ds0zuUg,496657,2019-12-27
"Dheeme Dheeme (From ""Pati Patni Aur Woh"")","Tony Kakkar, Neha Kakkar, Tanishk Bagchi",7ofWUKeNCUw1P64ArIwG9b,492808,2019-12-27
Blinding Lights,The Weeknd,0sf12qNH5qcw8qpgymFOqD,481173,2019-12-27
"Bekhayali (From ""Kabir Singh"")","Sachet Tandon, Sachet-Parampara",1feANd8EfcDP5UqSvbheM3,480804,2019-12-27
Circles,Post Malone,21jGcNKet2qwijlDFuPiPb,472246,2019-12-27
"Duniyaa (From ""Luka Chuppi"")","Akhil, Dhvani Bhanushali, Abhijit Vaghani, Bob",2tjWCe2W7sgvS3C8NHcdtI,469707,2019-12-27
Ve Maahi,"Arijit Singh, Asees Kaur",7ltu5scschhmNWp5rp8rVF,467239,2019-12-27
"Lamborghini (From ""Jai Mummy Di"")","Meet Bros., Neha Kakkar, Jassie Gill",5xWpxI216rbOSiAqjdn6gy,443003,2019-12-27
"Mere Sohneya (From ""Kabir Singh"")","Sachet Tandon, Parampara Tandon, Sachet-Parampara",2IoZMG3RqiTmsy7Li3zGFg,441963,2019-12-27
"Tera Ban Jaunga (From ""Kabir Singh"")","Akhil Sachdeva, Tulsi Kumar",4OcvkkpF3xmyCGGY5IBlgi,439707,2019-12-27
Chandigarh Mein,"Badshah, Harrdy Sandhu, Lisa Mishra, Asees Kaur",5RHCtCi4k67doox07JmHTf,433711,2019-12-27
"Tu Hi Yaar Mera (From ""Pati Patni Aur Woh"")","Rochak Kohli, Arijit Singh, Neha Kakkar",57jOEZtoLQK4zF2x55bdkp,419731,2019-12-27
"Pachtaoge (From ""Jaani Ve"")","Arijit Singh, B Praak",5QVHNa0ppJUOoqSd36ovQS,407731,2019-12-27
8 Parche,"Baani Sandhu, Gur Sidhu",42ETKyApzUl8hTtytFAjen,402025,2019-12-27
Sauda Khara Khara,"Diljit Dosanjh, Sukhbir, Dhvani Bhanushali, Dj Chetas, Lijo George",1v8H06ctqfMX8IUxU9nCaI,385938,2019-12-27
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",0RiRZpuVRbi7oqRdSMwhQY,384329,2019-12-27
My Oh My (feat. DaBaby),Camila Cabello,3yOlyBJuViE2YSGn3nVE1K,383029,2019-12-27
"Kaise Hua (From ""Kabir Singh"")",Vishal Mishra,1y1rQTkWmrZdJmjwuK07GC,379306,2019-12-27
Sakhiyaan,Maninder Buttar,3sqRODOZ1Z6hR4F2tnFAlg,370606,2019-12-27
On My Way,"Alan Walker, Sabrina Carpenter, Farruko",7KhHA3mzt7A3LFlOJEAKpI,368652,2019-12-27
"Naah Goriye (From ""Bala"")","B Praak, Harrdy Sandhu, Swasti Mehul",1CM4rFDU9q4EoLy2K44qE6,365809,2019-12-27
Proper Patola,"Badshah, Diljit Dosanjh, Aastha Gill",39ujbBjTwwqUFySaCYDMMT,364648,2019-12-27
"Jai Jai Shivshankar (From ""War"")","Vishal Dadlani, Benny Dayal",6lfSsCL894Qw15xbt7cSUy,362954,2019-12-27
"Don't Be Shy Again (From ""Bala"")","Sachin-Jigar, Badshah, Shalmali Kholgade, Gurdeep Mehendi",2TbCdbFzs2xO2nzasn0Qvw,355585,2019-12-27
"Mummy Nu Pasand (From ""Jai Mummy Di"")","Sunanda Sharma, Tanishk Bagchi",74qF0JeFMVilMEeFDiQZ48,349014,2019-12-27
Trampoline,"SHAED, ZAYN",4HBvwhhYo7YiYXkUDrOHzS,340897,2019-12-27
bad guy,Billie Eilish,2Fxmhks0bxGSBdJ92vM42m,337752,2019-12-27
Chal Bombay,DIVINE,6AooRgSRDzbCYL4NZ4RCjU,335751,2019-12-27
Dance Like,Harrdy Sandhu,36EPfDEkfLYQLt8Fvced8x,334854,2019-12-27
Ik Tera,Maninder Buttar,57DhVYA7E1CyrE4OKuyLb7,328119,2019-12-27
Vaaste,"Dhvani Bhanushali, Nikhil D'Souza, Tanishk Bagchi",0mJTAdmY8olbGQjopDYff3,324982,2019-12-27
"Ek Toh Kum Zindagani (From ""Marjaavaan"")","Neha Kakkar, Yash Narvekar, Tanishk Bagchi",6oDHAjaJJjwwgoAuMIeY9K,324451,2019-12-27
everything i wanted,Billie Eilish,3ZCTVFBt2Brf31RLEnCkWJ,323166,2019-12-27
hot girl bummer,blackbear,7aiClxsDWFRQ0Kzk5KI5ku,321488,2019-12-27
"Hauli Hauli (From ""De De Pyaar De"")","Garry Sandhu, Neha Kakkar, Mellowd",1z0A545pZMaqYRkruladlk,317695,2019-12-27
Heartless,The Weeknd,57vxBYXtHMk6H1aD29V7PU,315270,2019-12-27
Believer,Imagine Dragons,0pqnGHJpmpxLKifKRmU6WP,315125,2019-12-27
Kalank (Title Track),Arijit Singh,6vo7Y1iWyZvpjvFbf6BiZ5,311475,2019-12-27
Can We Kiss Forever?,"Kina, Adriana Proenza",58wyJLv6yH1La9NIZPl3ne,289116,2019-12-27
Lose You To Love Me,Selena Gomez,1HfMVBKM75vxSfsQ5VefZ5,284392,2019-12-27
Someone You Loved,Lewis Capaldi,7qEHsqek33rTcFNT9PFqLf,283513,2019-12-27
"Odhani (From ""Made in China"")","Sachin-Jigar, Darshan Raval, Neha Kakkar",2q0V50aNlI1RQXJyE5HDgD,280912,2019-12-27
"Thodi Jagah (From ""Marjaavaan"")","Arijit Singh, Tanishk Bagchi",3f0wz6zcA7XkQiGm0qNF5r,280446,2019-12-27
Laare,Maninder Buttar,7GfdU12uRL2xtSQcRXmqNN,277640,2019-12-27
Takeaway,"The Chainsmokers, ILLENIUM, Lennon Stella",3g0mEQx3NTanacLseoP0Gw,274961,2019-12-27
Ik Mulaqaat,"Meet Bros., Palak Muchhal, Altamash Faridi",17uI7afUaul1hCzMTF9txd,272532,2019-12-27
"Psycho Saiyaan (From ""Saaho"")","Sachet Tandon, Dhvani Bhanushali, Tanishk Bagchi",3ZjMdVOWxQ53FKrmkgCv95,272421,2019-12-27
"Coca Cola (From ""Luka Chuppi"")","Tony Kakkar, Neha Kakkar, Young Desi",4bKkdGBttnK4SYjT4zPC1U,272379,2019-12-27
The Hook Up Song,"Vishal-Shekhar, Neha Kakkar, Shekhar Ravjiani",1bLNqR3bqpyWkwWKECjVrw,270696,2019-12-27
"Alone, Pt. II","Alan Walker, Ava Max",0bMbDctzMmTyK2j74j3nF3,268464,2019-12-27
I Like Me Better,Lauv,2P91MQbaiQOfbiz9VqhqKQ,266050,2019-12-27
Adore You,Harry Styles,3jjujdWJ72nww5eGnfs2E7,260585,2019-12-27
Dhakka,"Sidhu Moose Wala, Afsana Khan",2fPPWdQuHY3CxPIOk6qbwH,260535,2019-12-27
Without Me,Halsey,5p7ujcrUXASCNwRaWNHR1C,259654,2019-12-27
Kamaal,"Badshah, Uchana Amit",1q7W78ZYL9iqyYeVONU2hg,257841,2019-12-27
Lucid Dreams,Juice WRLD,285pBltuF7vW8TeWk8hdRR,252840,2019-12-27
7 rings,Ariana Grande,6ocbgoVGwYJhOv1GgI9NsF,246388,2019-12-27
Paagal,Badshah,4gyPGtExOjj1rsByKW33LR,245634,2019-12-27
Tujhe Kitna Chahein Aur (Film Version),Jubin Nautiyal,0mHU8dcIvGrGDazLMmQpSg,241909,2019-12-27
Naagin,"Vayu, Aastha Gill, Akasa Singh, Puri",7gAyu0od48mkaCw1laPKVC,241146,2019-12-27
"Bekhayali (Arijit Singh Version) [From ""Kabir Singh""]","Arijit Singh, Sachet-Parampara",6aPMWbbdhDhiJHlknZb9Yx,235286,2019-12-27
"Ek Chumma (From ""Housefull 4"")","Sohail Sen, Altamash Faridi, Jyotica Tangri",5q6eZbatNFuToQdA7FGhj5,233470,2019-12-27
Old Town Road - Remix,"Lil Nas X, Billy Ray Cyrus",2YpeDb67231RjR0MgVLzsG,231078,2019-12-27
Pal,"Javed-Mohsin, Arijit Singh, Shreya Ghoshal",5G7pZ8G8NFvS1MQ9H4L7dC,229525,2019-12-27
She Move It Like,Badshah,39vrbjCMTRXEdiIr2IsBgd,229027,2019-12-27
Goodbyes (Feat. Young Thug),Post Malone,6vBdBCoOhKHiYDDOcorfNo,228405,2019-12-27
Watermelon Sugar,Harry Styles,6UelLqGlWMcVH1E5c4H7lY,227587,2019-12-27
Maana Dil,B Praak,7eua2ud1Wwhn3mefm6Y7Cn,227121,2019-12-27
Laal Ghaghra,"Neha Kakkar, Manj Musik, Herbie Sahara",3QxnfqVDPX1IkXu4SnRS2s,226969,2019-12-27
"Dilbar (From ""Satyameva Jayate"")","Neha Kakkar, Dhvani Bhanushali, Ikka",6cARnc9YVlBNigjNSX63pp,226001,2019-12-27
Kohinoor,DIVINE,1VYMsDdZ3toHtlZxAGS95n,225590,2019-12-27
Udd Gaye - Bacardi House Party Sessions,Ritviz,6wZJsut8fjiWiMPaccRAOX,223626,2019-12-27
"Chale Aana (From ""De De Pyaar De"")","Amaal Mallik, Armaan Malik",6vuMdb0E8buJeSHArN3dXk,220006,2019-12-27
Yaen Ennai Pirindhaai - Male,"Sid Sriram, Dhruv Vikram, Banita Sandhu",2GYzXSeNa3Y0BfIfS1VJj3,217887,2019-12-27
Faded,Alan Walker,698ItKASDavgwZ3WjaWjtz,217041,2019-12-27
The Wakhra Song,"Navv Inder, Lisa Mishra, Raja Kumari",6N6mJlsjYRV0yoMSPS5JiQ,213879,2019-12-27
"Dilbara (B Praak Version) [From ""Pati Patni Aur Woh""]","B Praak, Sachet-Parampara",45Bfnqhwy4dtqTYmClzEWM,211662,2019-12-27
Yaari,"Nikk, Avneet Kaur",04UzZSWfw8hkK832P27QLq,208431,2019-12-27
Baari,"Bilal Saeed, Momina Mustehsan",7cuYb19oTyv1tLTgzH7qpv,207739,2019-12-27
"Tera Yaar Hoon Main (From ""Sonu Ke Titu Ki Sweety"")",Arijit Singh,1aIhAX6324JZmhNnGltwkK,207494,2019-12-27
Tareefan - Original,Chdry Saqib,6fTEiqvwttauVDmDmDwD2T,206520,2019-12-27
Gaddi Pichhe Naa,"Khan Bhaini, Shipra Goyal",0KMxACWz7WJYy9wj7YVKKr,205973,2019-12-27
The Jawaani Song,"Vishal-Shekhar, Vishal Dadlani, Payal Dev, Kishore Kumar",3IzQc4KEAFd8lIc90X7FZr,205764,2019-12-27
"Bad Boy (From ""Saaho"")","Badshah, Neeti Mohan",5I3Xih0C2ID3fqngBrBbGv,204930,2019-12-27
"Kinna Sona (From ""Marjaavaan"")","Meet Bros., Jubin Nautiyal, Dhvani Bhanushali",01AE1MgL6L86WQzh4KGDUa,204285,2019-12-27
Dil Na Jaaneya,"Rochak Kohli, Lauv, Akasa Singh",6zyozkRLgDlqZIUJzCwkgP,203360,2019-12-27
Dil Hi Toh Hai,"Pritam, Arijit Singh, Antara Mitra, Nikhil D'Souza",6preZS0pC2OdHPZAOwcoM9,202677,2019-12-27
Haaye ve,Ammy Virk,0BS99JhjvDbC2lpiMwsaxh,201710,2019-12-27
Same Beef,"Bohemia, Sidhu Moose Wala",65c6VCikt7f5sAS1heoYQC,201321,2019-12-27
"Morni Banke (From ""Badhaai Ho"")","Guru Randhawa, Neha Kakkar",5x3K3Ld54TtkYKdQvrFOV3,200686,2019-12-27
Hawa Banke,Darshan Raval,3YVQHUpNexOqkLI7IclsoT,198640,2019-12-27
Closer,"The Chainsmokers, Halsey",7BKLCZ1jbUBVqRi2FVlTVw,198068,2019-12-27
"Aankh Marey (From ""Simmba"")","Neha Kakkar, Mika Singh, Kumar Sanu",790uNrqzKWCvj8rR1QXNpU,197849,2019-12-27
Happier,"Marshmello, Bastille",2dpaYNEQHiRxtZbfNsse99,197739,2019-12-27
Look At Her Now,Selena Gomez,4yI3HpbSFSgFZtJP2kDe5m,197630,2019-12-27
Pehla Pyaar,Armaan Malik,0ojpEubhy4JNeVftmVuiN7,196773,2019-12-27
Hate Me (with Juice WRLD),Ellie Goulding,6kls8cSlUyHW2BUOkDJIZE,196356,2019-12-27
Dooriyan,"Dino James, Kaprila",1rav6gpyMEfZQrMdaVs1sx,195671,2019-12-27
Apna Time Aayega,"Ranveer Singh, Dub Sharma, DIVINE",5uaIbU3oHHcSOK6WFNK5nj,195510,2019-12-27
Dil Ka Telephone,"Meet Bros., Jonita Gandhi, Nakash Aziz",0i4r9oQAjxUlSVVp0ibNkx,193818,2019-12-27
rockstar (feat. 21 Savage),Post Malone,0e7ipj03S05BNilyu5bRzt,191853,2019-12-27
"Photo (From ""Luka Chuppi"")","Karan Sehmbi, Tanishk Bagchi, Goldboy",5wdlz4N7s1Xyr4y4RXhZJM,191706,2019-12-27
Lamberghini,"The Doorbeen, Ragini",7cFuzwgbtHXmSKuCzo0qCW,191701,2019-12-27
"Pyaar Toh Tha (From ""Bala"")","Sachin-Jigar, Jubin Nautiyal, Asees Kaur",3boJs8tx10SQr2nUUm3FAr,190726,2019-12-27
Thunder,Imagine Dragons,1zB4vmk8tFRmM9UULNzbLB,190684,2019-12-27
Buttabomma - Telugu,"Armaan Malik, Thaman S",0dnDTvdUco2UbaBjUtPxNS,190386,2019-12-27
HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX,Travis Scott,7h0d2h0fUmzbs7zeFigJPn,190188,2019-12-27
Samajavaragamana,Sid Sriram,3j9DrRebdWK1jkpOw9FZUy,188585,2019-12-27
"Koka (From ""Khandaani Shafakhana"")","Jasbir Jassi, Badshah, Dhvani Bhanushali",1bvIoSekCZWAgthW01kbo9,188213,2019-12-27
Intezaar,"Mithoon, Arijit Singh, Asees Kaur",6p2o4ep90wpkh0qzUmyFuO,187065,2019-12-27
Rula Ke Gaya Ishq,"Stebin Ben, Sunny Inder",68cy4S3cwPZdMGuIH9izml,186149,2019-12-27
First Class,"Arijit Singh, Neeti Mohan",7s0qlp1ibUxVXLsOM0YWia,185377,2019-12-27
Girls Like You (feat. Cardi B),Maroon 5,7fa9MBXhVfQ8P8Df9OEbD8,184037,2019-12-27
Paniyon Sa,"Atif Aslam, Tulsi Kumar, Rochak Kohli",2si0ZNx4yRbggTvrIom8A2,182717,2019-12-27
Dil Diyan Gallan,"Vishal-Shekhar, Julius Packiam, Atif Aslam, Irshad Kamil",5MnAi6ZF7cE8pAz7wYr9Ta,180427,2019-12-27
Prada,"The Doorbeen, Shreya Sharma",6NLzzwFbAD1imLXGBMj9jo,179121,2019-12-27
Satisfya,Imran Khan,6HGoVbCUr63SgU3TjxEVj6,178669,2019-12-27
HIGHEST IN THE ROOM,Travis Scott,3eekarcy7kvN4yt5ZFzltW,178407,2019-12-27
Chitta Kurta,"Karan Aujla, Gurlez Akhtar",7mUuarQfB0E0Xs80Vzd2gw,178397,2019-12-27
"Slow Motion (From ""Bharat"")","Shreya Ghoshal, Nakash Aziz, Vishal-Shekhar",7yEuRloGyxyu1KaWBTPP1Z,177513,2019-12-27
Qaafirana,"Arijit Singh, Nikhita Gandhi",0xkGTPTijMU84dtHr3KQQi,176981,2019-12-27
Sucker,Jonas Brothers,22vgEDb5hykfaTwLuskFGD,176170,2019-12-27
Let Me Love You,"DJ Snake, Justin Bieber",0lYBSQXN6rCTvUZvg9S0lU,176066,2019-12-27
Call You Mine,"The Chainsmokers, Bebe Rexha",2oejEp50ZzPuQTQ6v54Evp,175965,2019-12-27
Dheeme Dheeme,Tony Kakkar,4At0CnQes5Kx1ROSnnP4lK,175194,2019-12-27
Cradles,Sub Urban,1y4jsQt7MjnZhiD1L6qFBC,175096,2019-12-27
Naina Da Kya Kasoor,Amit Trivedi,4JQxGJ8jsKW8pOUVoAgOZr,174096,2019-12-27
Khaab,Akhil,0a6zRnrjmaOcqsEIFkXIhw,173458,2019-12-27
Graveyard,Halsey,6V9fHiv84WlVTg7CSnIVY2,168699,2019-12-27
Kya Baat Ay,Harrdy Sandhu,1ZaeaGLhFSckG8sv1y7AWk,168286,2019-12-27
Samjhawan,"Jawad Ahmad, Shaarib Toshi, Arijit Singh, Shreya Ghoshal",0rk2X5TAhraBC5aCIXK2Rq,168033,2019-12-27
Khairiyat,"Pritam, Arijit Singh",5O932cZmzOZGOGZz9RHx20,167924,2019-12-27
changes,XXXTENTACION,7AFASza1mXqntmGtbxXprO,165276,2019-12-27
"Dilbara (From ""Pati Patni Aur Woh"")","Sachet Tandon, Parampara Tandon, Sachet-Parampara",0p83RJy9EZ0hlg82xcXH7f,165081,2019-12-27
"Agar Tum Saath Ho (From ""Tamasha"")","Alka Yagnik, Arijit Singh",1fzAokzOONl4XEPUFoammu,164591,2019-12-27
"Dekhte Dekhte (From ""Batti Gul Meter Chalu"")","Atif Aslam, Nusrat Fateh Ali Khan, Rochak Kohli",0Iz4CkptElGHo16r797Jsb,164056,2019-12-27
Khuda Haafiz,"Arko, Arijit Singh",1dLCUfhpiiItPEKSQwqb1B,163097,2019-12-27
Baby Bewafa,"Ramji Gulati, Goldie Sohel",59T8xLMv9nfYLpvQtfZYf2,162863,2019-12-27
Liggi,Ritviz,66Nmp3ztIMqX1j8yYtWl1X,162680,2019-12-27
Liar,Camila Cabello,073ILU1C3APNRGF66VhtyA,160465,2019-12-27
Lily,"Alan Walker, K-391, Emelie Hollow",0lks2Kt9veMOFEAPN0fsqN,160419,2019-12-27
Eastside (with Halsey & Khalid),benny blanco,7FGq80cy8juXBCD2nrqdWU,159479,2019-12-27
"Chashni (From ""Bharat"")","Abhijeet Srivastava, Vishal-Shekhar",5X5db3FrBOHbibrFKA02MQ,158996,2019-12-27
Suit Suit,"Guru Randhawa, Arjun",2mwBSO58y92EYmEFpDfmS7,158685,2019-12-27
Leja Re,"Dhvani Bhanushali, Tanishk Bagchi, Sandesh Shandilya",68iBMrMRc1rg4eAxJbvxch,158612,2019-12-27
"Rula Diya (From ""Batla House"")","Ankit Tiwari, Dhvani Bhanushali",6sTbnkzOtPpojgnn50cCHJ,157773,2019-12-27
Viah,Jass Manak,12V0iduYsoXxsQYTSeFB2H,157224,2019-12-27
If I Can't Have You,Shawn Mendes,2bT1PH7Cw3J9p3t7nlXCdh,156508,2019-12-27
Boy With Luv (feat. Halsey),BTS,5KawlOMHjWeUjQtnuRs22c,156424,2019-12-27
"Chogada (From ""Loveyatri"")","Darshan Raval, Asees Kaur, Lijo George-Dj Chetas",4ymPEyiXabTe1NO8q8EFxG,155699,2019-12-27
"Sheher Ki Ladki (From ""Khandaani Shafakhana"")","Badshah, Tulsi Kumar, Abhijeet, Chandra Dixit",6qajA2wXvAI4HMey8b1JVK,155356,2019-12-27
Channa Mereya,"Pritam, Arijit Singh",0H2iJVgorRR0ZFgRqGUjUM,155221,2019-12-27
i'm so tired...,"Lauv, Troye Sivan",2iwS33Jfev1QBiuhWVWZHY,154567,2019-12-27
Mean It,"Lauv, LANY",3GRSqlALWISqLeNncZMbpX,152442,2019-12-27
"Dil Mein Ho Tum (From ""Cheat India"")","Armaan Malik, Rochak Kohli, Bappi Lahiri",1mjWhM7GQTTxJxg2F0iCRS,152178,2019-12-27
lovely (with Khalid),Billie Eilish,0u2P5u6lvoDfwTYjAADbn4,151522,2019-12-27
Treat You Better,Shawn Mendes,3QGsuHI8jO1Rx4JWLUh9jd,151512,2019-12-27
Tera Ghata,Gajendra Verma,0JBhoxPKHJc1ZeJrjSt0VO,150566,2019-12-27
Enna Sona,"A.R. Rahman, Arijit Singh",6bdpj89aYEBjhpsenXAsmO,150191,2019-12-27
Sage,Ritviz,64RkEV5b7bG697vhIPMlrl,149423,2019-12-27
Gal Karke,Inder Chahal,79XBui7ea1RGjlC57AH0w1,148772,2019-12-27
Ramuloo Ramulaa - Duet,"Anurag Kulkarni, Mangli, Thaman S",4uXJADmybUHUgycBWFHeq6,148329,2019-12-27
How Do You Sleep?,Sam Smith,6b2RcmUt1g9N9mQ3CbjX2Y,147307,2019-12-27
Wow.,Post Malone,7xQAfvXzm3AkraOtGPWIZg,146856,2019-12-27
Family,"The Chainsmokers, Kygo",3TKpJrY9q49Mj1JOsM9zGL,146795,2019-12-27
Hawayein,"Pritam, Arijit Singh",0l6g8Z8mqGbGXFOjigYetD,146472,2019-12-27
Lalala,"Y2K, bbno$",51Fjme0JiitpyXKuyQiCDo,146174,2019-12-27
Kaam 25 - Sacred Games,DIVINE,6Kynli1iHBqJRWUCohcV9h,146080,2019-12-27
"For Aisha (Featured in ""The Sky Is Pink"")","MEMBA, EVAN GIIA, Nooran Sisters",6rfahvufEQDIVTHJIU2QQB,145539,2019-12-27
"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",DJ Snake,0KoiMHhqKLoL4xM54rcWYY,145125,2019-12-27
Something Just Like This,"The Chainsmokers, Coldplay",6RUKPb4LETWmmr3iAEQktW,144632,2019-12-27
Love Mashup 2019,"Akhil Sachdeva, Antara Mitra, Arijit Singh, Benny Dayal, Dhvani Bhanushali, Karan Sehmbi, Nikhita Gandhi, Rahat Fateh Ali Khan, Sachet Tandon, Shreya Ghoshal, Tulsi Kumar, A.R. Rahman, Amaal Mallik, Goldboy, Mithoon, Pritam, Rochak Kohli, Sachet-Parampara, Sandesh Shandilya, Sourav Roy, Tanishk Bagchi, DJ Yogii",2nCKF3gkwHCamm3f0jNaJd,143143,2019-12-27
