Title,Artist,Song ID,Streams,Data Date
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,5knuzwU65gJK7IF5yJsuaW,707134,2016-12-23
Tutto Molto Interessante,Fabio Rovazzi,5lyTvBqxtjyPray48fCWgj,571758,2016-12-23
Closer,"The Chainsmokers, Halsey",7BKLCZ1jbUBVqRi2FVlTVw,540426,2016-12-23
Let Me Love You,"DJ Snake, Justin Bieber",4pdPtRcBmOSQDlJ3Fk945m,507429,2016-12-23
Assenzio (feat. Stash & Levante),"J-AX, Fedez",0DRKnh0BloxJHyhXkfbiX8,498914,2016-12-23
Human,Rag'n'Bone Man,58zsLZPvfflaiIbNWoA22O,498576,2016-12-23
All I Want for Christmas Is You,Mariah Carey,0bYg9bo50gSsH3LtXe2SQn,456981,2016-12-23
Don't Wanna Know,"Maroon 5, Kendrick Lamar",5MFzQMkrl1FOOng9tq6R9r,431651,2016-12-23
Starboy,"The Weeknd, Daft Punk",5aAx2yezTd8zXrkmtKl66Z,399766,2016-12-23
The Greatest,Sia,6bLopGnirdrilrpdVB6Um1,399732,2016-12-23
Last Christmas,Wham!,2FRnf9qhLbvw8fu4IBXx78,381952,2016-12-23
In the Name of Love,"Martin Garrix, Bebe Rexha",04DwTuZ2VBdJCCC5TROn7L,356739,2016-12-23
Chantaje (feat. Maluma),Shakira,6mICuAdrwEjh6Y6lroV2Kg,347318,2016-12-23
Ulisse,lowlow,0QvhWAa8Xxia8Efct2rv7x,341212,2016-12-23
Cold Water (feat. Justin Bieber & MØ),Major Lazer,6DNtNfH8hXkqOX1sjqmI7p,336422,2016-12-23
Ninna Nanna,Ghali,3mUTbkV7xoVpoc4BWrGtlG,332393,2016-12-23
My Way,Calvin Harris,1vvNmPOiUuyCbgWmtc6yfm,316309,2016-12-23
Say You Won't Let Go,James Arthur,5uCax9HTNlzGybIStD3vDh,304000,2016-12-23
One Dance,"Drake, WizKid, Kyla",1xznGGDReH1oQq0xzbwXa3,298844,2016-12-23
Don't Let Me Down (feat. Daya),The Chainsmokers,0QsvXIfqM0zZoerQfsI9lm,297123,2016-12-23
Call On Me - Ryan Riback Extended Remix,Starley,78rIJddV4X0HkNAInEcYde,296006,2016-12-23
24K Magic,Bruno Mars,6b8Be6ljOzmkOmFslEb23P,285550,2016-12-23
What U Do to Me,Roshelle,2mrNcVSW5DQaqKB1aZFCw8,284183,2016-12-23
Mercy,Shawn Mendes,4TZy1wLyHec06pwgFYDh1a,283507,2016-12-23
Just Hold On,"Steve Aoki, Louis Tomlinson",3EmmCZoqpWOTY1g2GBwJoR,281747,2016-12-23
Treat You Better,Shawn Mendes,4Hf7WnR761jpxPr5D46Bcd,274393,2016-12-23
It's Beginning to Look a Lot like Christmas,Michael Bublé,0lLdorYw7lVrJydTINhWdI,266917,2016-12-23
All We Know,"The Chainsmokers, Phoebe Ryan",2rizacJSyD9S1IQUxUxnsK,266658,2016-12-23
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN, Taylor Swift",3NdDpSvN911VPGivFlV5d0,266229,2016-12-23
We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,68EMU2RD1ECNeOeJ5qAXCV,263670,2016-12-23
Lot to Learn,Luke Christopher,2HzfRSfCogBSsgW2CckVA2,259670,2016-12-23
Cheap Thrills,Sia,27SdWb2rFzO6GWiYDBTD9j,258366,2016-12-23
Black Beatles,"Rae Sremmurd, Gucci Mane",6fujklziTHa8uoM5OQSfIo,243319,2016-12-23
Potremmo Ritornare,Tiziano Ferro,09DHBzgLgBFgV3lPeVpxV3,242173,2016-12-23
Love Me Now,John Legend,6nxQdXa1uAL0rY72wPZu89,241198,2016-12-23
I Feel It Coming,"The Weeknd, Daft Punk",5GXAXm5YOmYT0kL5jHvYBt,240715,2016-12-23
"i hate u, i love u (feat. olivia o'brien)",gnash,7vRriwrloYVaoAe3a9wJHe,240409,2016-12-23
Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),Frank Sinatra,7inXu0Eaeg02VsM8kHNvzM,233518,2016-12-23
Heathens,Twenty One Pilots,6i0V12jOa3mr6uu4WYhUBr,231388,2016-12-23
Scars To Your Beautiful,Alessia Cara,0prNGof3XqfTvNDxHonvdK,226743,2016-12-23
Happy Xmas (War Is Over) - Remastered 2010,"John Lennon, The Harlem Community Choir, The Plastic Ono Band, Yoko Ono",3zJw3rugfpVrmBeDDnUYzy,210782,2016-12-23
New Dawns,Gaia,6Lb37KLW5QLATVZzRbzfBK,209357,2016-12-23
Starving,"Hailee Steinfeld, Grey, Zedd",1qOLh0tI7trd1zdDKxYZTe,209134,2016-12-23
Lost on You,LP,3SqvR3HYLlCTYzbDXJ52OC,207378,2016-12-23
Safari,"J Balvin, Pharrell Williams, BIA, Sky",6rQSrBHf7HlZjtcMZ4S4bO,198928,2016-12-23
Hallelujah,Pentatonix,550rQQCGkrTzvp4SfpOPzx,195604,2016-12-23
She's Like a Star,Soul System,5DKxQmzdX2B0HPYa0s7hNC,190685,2016-12-23
Bad Things (with Camila Cabello),Machine Gun Kelly,1PSBzsahR2AKwLJgx8ehBj,188005,2016-12-23
The Mack,"Nevada, Mark Morrison, Fetty Wap",7aV2mflaASUmGhCErm7kBO,187367,2016-12-23
"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,6JV2JOEocMgcZxYSZelKcc,183919,2016-12-23
All Night,"The Vamps, Matoma",4b4KcovePX8Ke2cLIQTLM0,183798,2016-12-23
I Took A Pill In Ibiza - Seeb Remix,Mike Posner,17Fd6Yb7mSbinKG8LoWfFl,176829,2016-12-23
Million Reasons,Lady Gaga,50PWlIBU7PlGGwzgN8TiFJ,171193,2016-12-23
Side To Side,"Ariana Grande, Nicki Minaj",4pLwZjInHj3SimIyN9SnOz,166881,2016-12-23
By Your Side,"Jonas Blue, RAYE",1D3ODoXHBLpdxolZRHWV1j,163776,2016-12-23
Alone,Alan Walker,0JiVRyTJcJnmlwCZ854K4p,163584,2016-12-23
"Santa Claus Is Comin' to Town - Live at C.W. Post College, Greenvale, NY - December 1975",Bruce Springsteen,6s2wpWPFPAgKg2LXxi1Oee,157419,2016-12-23
Ride,Twenty One Pilots,2Z8WuEywRWYTKe1NybPQEW,155835,2016-12-23
Hymn for the Weekend - Seeb Remix,Coldplay,1OAiWI2oPmglaOiv9fdioU,152368,2016-12-23
Christmas Lights,Coldplay,4fzyvSu73BhGvi96p2zwjL,150153,2016-12-23
Feliz Navidad,José Feliciano,7taXf5odg9xCAZERYfyOkS,147529,2016-12-23
Shed a Light,"Robin Schulz, David Guetta, Cheat Codes",1cG0umU5TKStygKsPFZ9pY,145465,2016-12-23
Faded,Alan Walker,7gHs73wELdeycvS48JfIos,137688,2016-12-23
Mistletoe,Justin Bieber,32OWobmyAz8J2qA8iWekyS,137579,2016-12-23
Completamente,Thegiornalisti,7sh95K3HXkne9mVYDOIRWs,131358,2016-12-23
Have Yourself a Merry Little Christmas,Michael Bublé,1DnSNqCQM3LUxqFuXt184Q,129749,2016-12-23
Happy Xmas (War Is Over),Céline Dion,1wur1SW656paPv7EyTqWu4,129470,2016-12-23
Scooteroni - RMX,"Marracash, Guè Pequeno, Sfera Ebbasta",2ALJr1qNX1OgTPBHUGn98v,129087,2016-12-23
Don Medellín (feat. Rose Villain),Salmo,5gAn53AobW1fP2TSN0k52c,128970,2016-12-23
Vorrei ma non posto,"J-AX, Fedez",3SGYnEhg1vUHVlGnGdS6ed,127669,2016-12-23
Andiamo A Comandare,Fabio Rovazzi,2FSEIUUQCopkIyBKps8A0E,127376,2016-12-23
Fake Love,Drake,343YBumqHu19cGoGARUTsd,124843,2016-12-23
I Got You,Bebe Rexha,1FUViuNSldssMIawrOXF2i,124012,2016-12-23
8 Days of Christmas,Destiny's Child,3WrG9BpOPQWUus3FjA1Tny,123491,2016-12-23
Love Yourself,Justin Bieber,3hB5DgAiMAQ4DzYbsMq1IT,122734,2016-12-23
My Only Wish (This Year),Britney Spears,7aiVBCp1ibIWE5GeHkbtxr,121641,2016-12-23
Visiera A Becco,Sfera Ebbasta,0nB7VgMGBTeOIO6LXwOvEJ,116138,2016-12-23
Figli Di Papà,Sfera Ebbasta,0X9tZPTijGk3YfqFK6Jbal,114340,2016-12-23
What Christmas Means To Me,Stevie Wonder,2qoZNAP3JLyIOtbsPtBjvV,113908,2016-12-23
Miss You,James Hersey,7of1slAJIWrXxP8ikAHxje,112513,2016-12-23
Baby It's Cold Outside (duet with Michael Bublé),Idina Menzel,0Ie5uiv54KgCr7P4sYDTHl,111421,2016-12-23
Sofia,Alvaro Soler,1VoHrSS3QQ6TbpabLrFiYb,110854,2016-12-23
This Is What You Came For (feat. Rihanna),Calvin Harris,0azC730Exh71aQlOt9Zj3y,109913,2016-12-23
Perfect Strangers,"Jonas Blue, JP Cooper",5bZtRlMBU76vHuDOb1GM5u,109859,2016-12-23
Sai che,Marco Mengoni,24bQcZCyld3z0Narzj7h3W,109294,2016-12-23
Photograph,Ed Sheeran,6fxVffaTuwjgEk5h9QyRjy,108180,2016-12-23
Light It Up (feat. Nyla & Fuse ODG) - Remix,Major Lazer,0L7loeTIg6akW84aEQZpCT,106467,2016-12-23
Step Into Christmas,Elton John,3YQUpKTmtgPJf8u6ooi9KA,103800,2016-12-23
Santa Baby,Kylie Minogue,2SBr3MK1sdMs8IxdRcN6qz,102441,2016-12-23
"Merry Christmas, Happy Holidays",*NSYNC,15coTBAzEN1bOeipoNDZAR,101323,2016-12-23
Cheap Thrills (feat. Sean Paul),Sia,378iszndTZAR4dH8kwsLC6,101120,2016-12-23
Do They Know It's Christmas? - 2004 Version,Band Aid 20,3drPcekysGfjSyicFRLP7X,101037,2016-12-23
The Ocean (feat. Shy Martin),Mike Perry,2CPqh63wRVscbceKcPxwvv,99651,2016-12-23
7 Years,Lukas Graham,7129iqBafaphfc3WPCGC0L,98623,2016-12-23
Insta Lova,"Marracash, Guè Pequeno",7xQzdIWt6yhNW9TtIF7yZl,98598,2016-12-23
Fairytale of New York (feat. Kirsty MacColl),The Pogues,3VTNVsTTu05dmTsVFrmGpK,98385,2016-12-23
White Christmas (with The Patrick Williams Orchestra),Laura Pausini,1zgtlajeauEB0KOZ9bZe0U,97813,2016-12-23
