Title,Artist,Song ID,Streams,Data Date
Look What You Made Me Do,Taylor Swift,6uFsE1JgZ20EXyU0JQZbUR,152766,2017-08-25
Shape of You,Ed Sheeran,7qiZfU4dY1lWllzX7mPBI3,146292,2017-08-25
打上花火,"DAOKO, Kenshi Yonezu",7pcTLUekZJQnzDOUDuExVJ,144454,2017-08-25
Friends (with BloodPop®),Justin Bieber,7nZmah2llfvLDiUjm0kiyz,110832,2017-08-25
Despacito - Remix,"Luis Fonsi, Daddy Yankee, Justin Bieber",5CtI0qwDJkDQGwXD1H1cLb,105296,2017-08-25
2U (feat. Justin Bieber),David Guetta,3A7qX2QjDlPnazUsRk5y0M,88424,2017-08-25
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled,3DXncPQOG4VBw3QHh3S817,86246,2017-08-25
Mama,"Jonas Blue, William Singe",0NiXXAI876aGImAd6rTj8w,86066,2017-08-25
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)","Calvin Harris, Funk Wav",5bcTCxgc7xVfSaMV3RuVke,85868,2017-08-25
Without You (feat. Sandro Cavazza),Avicii,6WbADFqMvR8N5u0BvtsWQE,84193,2017-08-25
New Rules,Dua Lipa,2ekn2ttSfGqwhhate0LSR0,82126,2017-08-25
TT - Japanese ver.,TWICE,0PAyiPTz8gL0udQnSasc5G,77196,2017-08-25
Sorry Not Sorry,Demi Lovato,25C5CowdsfXld2jJanbiex,75193,2017-08-25
Attention,Charlie Puth,4iLqG9SeJSnt0cSPICSjxv,73394,2017-08-25
Wild Thoughts (feat. Rihanna & Bryson Tiller),DJ Khaled,1OAh8uOEOvTDqkKFsKksCi,71660,2017-08-25
Something Just Like This,"The Chainsmokers, Coldplay",6RUKPb4LETWmmr3iAEQktW,70552,2017-08-25
Mi Gente,"J Balvin, Willy William",2rb5MvYT7ZIxbKW5hfcHx8,70507,2017-08-25
Unforgettable,"French Montana, Swae Lee",3B54sVLJ402zGa6Xm4YGNe,70289,2017-08-25
There's Nothing Holdin' Me Back,Shawn Mendes,79cuOz3SPQTuFrp8WgftAu,70222,2017-08-25
Your Song,Rita Ora,4c2W3VKsOFoIg2SFaO6DY5,69528,2017-08-25
Stay (with Alessia Cara),Zedd,0dA2Mk56wEzDgegdC6R17g,65537,2017-08-25
Havana,"Camila Cabello, Young Thug",0ofbQMrRDsUaVKq2mGLEAb,65184,2017-08-25
My Boo,Shota Shimizu,2gasr6aemUqZIBBN05EO03,63347,2017-08-25
More Than You Know,Axwell /\ Ingrosso,3PEgB3fkiojxms35ntsTgs,62988,2017-08-25
Back to You (feat. Bebe Rexha & Digital Farm Animals),Louis Tomlinson,7F9vK8hNFMml4GtHsaXui6,62025,2017-08-25
Strip That Down,"Liam Payne, Quavo",6EpRaXYhGOB3fj4V2uDkMJ,61264,2017-08-25
Lonely Together (feat. Rita Ora),Avicii,2OALaHcDdKkjYEpAr0Qzab,60639,2017-08-25
I Like Me Better,Lauv,1wjzFQodRWrPcQ0AnYnvQ9,57957,2017-08-25
Pretty Girl - Cheat Codes X CADE Remix,Maggie Lindemann,1NDxZ7cFAo481dtYWdrUnR,57473,2017-08-25
Wherever you are,ONE OK ROCK,0YAMQSmHk6BSUGTYpaoqTJ,56970,2017-08-25
Closer,"The Chainsmokers, Halsey",7BKLCZ1jbUBVqRi2FVlTVw,56235,2017-08-25
RAIN,SEKAI NO OWARI,0aFUi8kAIUcLEaM6LylNui,55746,2017-08-25
Silence,"Marshmello, Khalid",7vGuf3Y35N4wmASOKLUVVU,54423,2017-08-25
Symphony (feat. Zara Larsson),Clean Bandit,1x5sYLZiu9r5E43kMlt9f8,53693,2017-08-25
Fetish (feat. Gucci Mane),Selena Gomez,0XLOf9LhyazPX9Ld8jPiUq,52819,2017-08-25
