Title,Artist,Song ID,Streams,Data Date
Starboy,"The Weeknd, Daft Punk",5aAx2yezTd8zXrkmtKl66Z,22429,2016-12-23
I Feel It Coming,"The Weeknd, Daft Punk",5GXAXm5YOmYT0kL5jHvYBt,20136,2016-12-23
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN, Taylor Swift",3NdDpSvN911VPGivFlV5d0,18477,2016-12-23
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,5knuzwU65gJK7IF5yJsuaW,18407,2016-12-23
Closer,"The Chainsmokers, Halsey",7BKLCZ1jbUBVqRi2FVlTVw,15045,2016-12-23
Call On Me - Ryan Riback Extended Remix,Starley,78rIJddV4X0HkNAInEcYde,15042,2016-12-23
Don't Wanna Know,"Maroon 5, Kendrick Lamar",5MFzQMkrl1FOOng9tq6R9r,14454,2016-12-23
Just Hold On,"Steve Aoki, Louis Tomlinson",3EmmCZoqpWOTY1g2GBwJoR,14051,2016-12-23
Let Me Love You,"DJ Snake, Justin Bieber",4pdPtRcBmOSQDlJ3Fk945m,13510,2016-12-23
All I Want for Christmas Is You,Mariah Carey,0bYg9bo50gSsH3LtXe2SQn,12579,2016-12-23
Last Christmas,Wham!,2FRnf9qhLbvw8fu4IBXx78,12448,2016-12-23
Black Beatles,"Rae Sremmurd, Gucci Mane",6fujklziTHa8uoM5OQSfIo,12375,2016-12-23
Fake Love,Drake,343YBumqHu19cGoGARUTsd,11367,2016-12-23
Say You Won't Let Go,James Arthur,5uCax9HTNlzGybIStD3vDh,11152,2016-12-23
Tuesday,"Burak Yeter, Danelle Sandoval",7abpmGpF7PGep2rDU68GBR,11047,2016-12-23
All We Know,"The Chainsmokers, Phoebe Ryan",2rizacJSyD9S1IQUxUxnsK,10763,2016-12-23
The Greatest,Sia,6bLopGnirdrilrpdVB6Um1,10710,2016-12-23
Bad Things (with Camila Cabello),Machine Gun Kelly,1PSBzsahR2AKwLJgx8ehBj,10468,2016-12-23
All Night,"The Vamps, Matoma",4b4KcovePX8Ke2cLIQTLM0,10393,2016-12-23
Love Me Now,John Legend,6nxQdXa1uAL0rY72wPZu89,10288,2016-12-23
Now and Later,Sage The Gemini,08WPvDEsHvTFuB9w8tC2OS,10234,2016-12-23
Starving,"Hailee Steinfeld, Grey, Zedd",1qOLh0tI7trd1zdDKxYZTe,10088,2016-12-23
Alone,Alan Walker,0JiVRyTJcJnmlwCZ854K4p,10003,2016-12-23
In the Name of Love,"Martin Garrix, Bebe Rexha",04DwTuZ2VBdJCCC5TROn7L,9365,2016-12-23
My Way,Calvin Harris,1vvNmPOiUuyCbgWmtc6yfm,9200,2016-12-23
Steady 1234 (feat. Jasmine Thompson & Skizzy Mars),Vice,40UroIGvsMPLPBYwH8rMNA,9114,2016-12-23
Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),Frank Sinatra,7inXu0Eaeg02VsM8kHNvzM,8859,2016-12-23
Sunset Lover,Petit Biscuit,0hNduWmlWmEmuwEFcYvRu1,8679,2016-12-23
One Dance,"Drake, WizKid, Kyla",1xznGGDReH1oQq0xzbwXa3,8570,2016-12-23
The Mack,"Nevada, Mark Morrison, Fetty Wap",7aV2mflaASUmGhCErm7kBO,8555,2016-12-23
I Would Like,Zara Larsson,4Q4jmPHwu0wrJvqrld0FQ6,8506,2016-12-23
Side To Side,"Ariana Grande, Nicki Minaj",4pLwZjInHj3SimIyN9SnOz,8452,2016-12-23
By Your Side,"Jonas Blue, RAYE",1D3ODoXHBLpdxolZRHWV1j,8375,2016-12-23
Weak,AJR,3E2Zh20GDCR9B1EYjfXWyv,8332,2016-12-23
24K Magic,Bruno Mars,6b8Be6ljOzmkOmFslEb23P,8325,2016-12-23
Hear Me Now,"Alok, Bruno Martini, Zeeba",1a5Yu5L18qNxVhXx38njON,8126,2016-12-23
