Title,Artist,Song ID,Streams,Chart Date
Dance Monkey,Tones And I,1rgnBhdG2JDFTbYkYRZAku,42000,2019-12-27
7elmet Ado 4,ElGrandeToto,0lIBuKdkNrf1jVSwfMpVEG,33810,2019-12-27
Falling,Trevor Daniel,4TnjEaWOeW0eKTKIEvJyCa,28938,2019-12-27
OK BB,Lbenj,1Nyh4t2z67Lp7kiTDccWtu,22757,2019-12-27
الغربة,Mok Saib,5VgTMdVuG2x5aZhZSW118r,21284,2019-12-27
Alach Ya Lil,Hatim Ammor,6j1Y4fr04M40b6gwnPrM9N,21154,2019-12-27
ROXANNE,Arizona Zervas,696DnlkuDOXcMAnKlTgXXK,20822,2019-12-27
Wouli Liya,"Dadju, Kaly, Soolking, Aymane Serhani",3I7MRe6fdlZX3GQxSNT88k,19675,2019-12-27
Salam,Saad Lamjarred,67BBC30YX6nwugVuUOWEHH,18854,2019-12-27
Cargoo,SecondT3,0RwjnVdmSxzQ9ZNWThkATq,18804,2019-12-27
HIGHEST IN THE ROOM,Travis Scott,3eekarcy7kvN4yt5ZFzltW,18530,2019-12-27
HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX,Travis Scott,7h0d2h0fUmzbs7zeFigJPn,18485,2019-12-27
Ghdara,Lbenj,4dubObJligmxslR7v5R6o6,18040,2019-12-27
Groupies,ElGrandeToto,02i751eiU2c0lKnvBTWuD8,17900,2019-12-27
NTA,Manal,1Asv77Jhpw1FA6YjA5wwuV,17620,2019-12-27
Mali Yana,Ayoub Africano,3HJdVPapi1uQJsbdzz4akB,17251,2019-12-27
Blinding Lights,The Weeknd,0sf12qNH5qcw8qpgymFOqD,17010,2019-12-27
Choix de vie (feat. Nassi),Anas,20SY4SHwiKL7j4lZTKkQyU,16432,2019-12-27
everything i wanted,Billie Eilish,3ZCTVFBt2Brf31RLEnCkWJ,16300,2019-12-27
Khalouha Tahdar,Douzi,0FOXfIud0Tngb9FKcY3GmC,16227,2019-12-27
Memories,Maroon 5,2b8fOow8UzyDFAE27YhOZM,16053,2019-12-27
Lghrib,L7or,4eJE5ZNP3lYj4ZLv7oRblQ,15724,2019-12-27
Waya Lghram,Mehdi Mozayine,3JS2xB6j5bvtlTQ4XT8wP9,15638,2019-12-27
Lalla,Muslim,7zOn1uZjJ7Rrz3A0w8i6YX,15100,2019-12-27
Don't Start Now,Dua Lipa,6WrI0LAC5M1Rw2MnX2ZvEg,14810,2019-12-27
Ne reviens pas,"Gradur, Heuss L'enfoiré",4TnFANpjVwVKWzkxNzIyFH,14605,2019-12-27
Circles,Post Malone,21jGcNKet2qwijlDFuPiPb,13971,2019-12-27
Albak Yemchi Lhalo,Hatim Ammor,20GGj4yDFkeinW0YolAdmy,13916,2019-12-27
bad guy,Billie Eilish,2Fxmhks0bxGSBdJ92vM42m,13789,2019-12-27
Señorita,"Shawn Mendes, Camila Cabello",6v3KW9xbzN5yKLt9YKDYA2,13636,2019-12-27
Daba Tzian,Saad Lamjarred,2JixJsGhTrxfI43ovxYNpE,13427,2019-12-27
GANG GANG,"JACKBOYS, Sheck Wes",6uJONCdr2rC65BNmCnTBWK,13425,2019-12-27
Maghrebins,"Mister You, Balti",4U5h7GaXXXNOLpuo5vr3dU,12519,2019-12-27
Moulaga,"Heuss L'enfoiré, Jul",5BfCoUcWNXcpyJfjXRIeyC,12353,2019-12-27
Godzilla,Moro,2O866dotlltmzcngBvEa31,12262,2019-12-27
God Bless (feat. Damso),Hamza,2oT2g4vkjRaFOcUtdOf9eg,12243,2019-12-27
RITMO (Bad Boys For Life),"Black Eyed Peas, J Balvin",6cy3ki60hLwimwIje7tALf,11901,2019-12-27
Caballero,Muslim,6Ot7Xac6tL8ZrzqB7YmpzG,11893,2019-12-27
7elmetAdo3,ElGrandeToto,2KV1CtodwxT7h8K98dXNnk,11816,2019-12-27
Aristocrate,Heuss L'enfoiré,7gNlaZaMIjRUfnAYd9Dvmt,11786,2019-12-27
Au DD,PNL,5lCxlSBFyP5g4EhVypAoOu,11740,2019-12-27
My Oh My (feat. DaBaby),Camila Cabello,3yOlyBJuViE2YSGn3nVE1K,11688,2019-12-27
Lucid Dreams,Juice WRLD,285pBltuF7vW8TeWk8hdRR,11660,2019-12-27
Bla Onwane,Hatim Ammor,5SIHP5mVP4znTOBAQn8CIB,11616,2019-12-27
Amoureux tombé,"Lbenj, Mounim Slimani, DJ Med",3LM6LWSAHNfcYrOdoUdNlg,11561,2019-12-27
WHAT TO DO? (feat. Don Toliver),"JACKBOYS, Travis Scott",4AO1XhrgJczQ9bNVxdfKQe,11560,2019-12-27
Ykhalik Lili,Saad Lamjarred,5kXsXhXlm01XGdHgSkSo8y,11501,2019-12-27
Someone You Loved,Lewis Capaldi,7qEHsqek33rTcFNT9PFqLf,11333,2019-12-27
Lalala,"Y2K, bbno$",51Fjme0JiitpyXKuyQiCDo,11126,2019-12-27
OUT WEST (feat. Young Thug),"JACKBOYS, Travis Scott",6gi6y1xwmVszDWkUqab1qw,11123,2019-12-27
Zmagri (feat. Mister You),7liwa,7qo7FsdN1VsOmTtz9hEfP7,11065,2019-12-27
Halala,Maestro,02KelNc6okzvPvZkIVw6e5,10977,2019-12-27
كوتوكوتو,Cheb,7o9FUaPEWBuC2MlDJ6d4aQ,10767,2019-12-27
"Babor (with Shayfeen, Hornet La Frappe)",Naar,7lQ4zoePWgQYIQ0PFeav8E,10757,2019-12-27
7ARRAGA,"Lartiste, 7ari",1KCBKqqyBIEa2btXmfuPyk,10725,2019-12-27
Favor,Zouhair Bahaoui,2dU2D16RX11z3PdnJfXvIi,10669,2019-12-27
Heartless,The Weeknd,57vxBYXtHMk6H1aD29V7PU,10664,2019-12-27
No Idea,Don Toliver,3VyjsVV24RmBIbWJAeUJNu,10578,2019-12-27
Bidaoui,ElGrandeToto,20xxauHsSIf5CkDxcNW2DG,10551,2019-12-27
Bébé allô,Soolking,5jkT15oLKovAivf5abLr4q,10534,2019-12-27
Lose You To Love Me,Selena Gomez,1HfMVBKM75vxSfsQ5VefZ5,10509,2019-12-27
Had Enough (feat. Quavo & Offset),Don Toliver,2jrAaawDRCn1JjeouxAyDN,10187,2019-12-27
