Title,Artist,Song ID,Streams,Data Date
Chantaje (feat. Maluma),Shakira,6mICuAdrwEjh6Y6lroV2Kg,2397283,2016-12-23
Reggaetón Lento (Bailemos),CNCO,3AEZUABDXNtecAOSC1qTfo,2214416,2016-12-23
Vente Pa' Ca (feat. Maluma),Ricky Martin,7DM4BPaS7uofFul3ywMe46,1903345,2016-12-23
Safari,"J Balvin, Pharrell Williams, BIA, Sky",6rQSrBHf7HlZjtcMZ4S4bO,1771289,2016-12-23
Otra vez (feat. J Balvin),Zion & Lennox,3QwBODjSEzelZyVjxPOHdq,1716458,2016-12-23
Traicionera,Sebastian Yatra,5J1c3M4EldCfNxXwrwt8mT,1471022,2016-12-23
Closer,"The Chainsmokers, Halsey",7BKLCZ1jbUBVqRi2FVlTVw,1387559,2016-12-23
La Bicicleta,"Carlos Vives, Shakira",0sXvAOmXgjR2QUqLK1MltU,1356908,2016-12-23
Let Me Love You,"DJ Snake, Justin Bieber",4pdPtRcBmOSQDlJ3Fk945m,1325387,2016-12-23
Starboy,"The Weeknd, Daft Punk",5aAx2yezTd8zXrkmtKl66Z,1309481,2016-12-23
"Ay Mi Dios (feat. Pitbull, Yandel & Chacal)","IAmChino, El Chacal",6stYbAJgTszHAHZMPxWWCY,1164951,2016-12-23
24K Magic,Bruno Mars,6b8Be6ljOzmkOmFslEb23P,1128197,2016-12-23
Don't Wanna Know,"Maroon 5, Kendrick Lamar",5MFzQMkrl1FOOng9tq6R9r,1127198,2016-12-23
Shaky Shaky,Daddy Yankee,58IL315gMSTD37DOZPJ2hf,1122166,2016-12-23
"Cuatro Babys (feat. Trap Capos, Noriel, Bryant Myers & Juhn)",Maluma,0JoHqmlqE0W0i9prt6kcHR,1010043,2016-12-23
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,5knuzwU65gJK7IF5yJsuaW,972821,2016-12-23
Borro Cassette,Maluma,6DUdDIRgLqCGq1DwkNWQTN,959619,2016-12-23
Me llamas (feat. Maluma) - Remix,Piso 21,5hEM0JchdVzQ5PwvSfITeX,955845,2016-12-23
Dile Que Tu Me Quieres,Ozuna,20ZAJdsKB5IGbGj4ilRt2o,914957,2016-12-23
My Way,Calvin Harris,1vvNmPOiUuyCbgWmtc6yfm,913922,2016-12-23
I Feel It Coming,"The Weeknd, Daft Punk",5GXAXm5YOmYT0kL5jHvYBt,910706,2016-12-23
One Dance,"Drake, WizKid, Kyla",1xznGGDReH1oQq0xzbwXa3,908412,2016-12-23
Side To Side,"Ariana Grande, Nicki Minaj",4pLwZjInHj3SimIyN9SnOz,885426,2016-12-23
We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,68EMU2RD1ECNeOeJ5qAXCV,870712,2016-12-23
Cold Water (feat. Justin Bieber & MØ),Major Lazer,6DNtNfH8hXkqOX1sjqmI7p,862259,2016-12-23
Adiós Amor,Christian Nodal,3OQXAp3uGQvkPi4DAMaM5p,854737,2016-12-23
In the Name of Love,"Martin Garrix, Bebe Rexha",04DwTuZ2VBdJCCC5TROn7L,835591,2016-12-23
Leve,Cartel De Santa,48yFrzTcnTCklWL9PRVZJj,830848,2016-12-23
Quiero Que Vuelvas,Alejandro Fernández,2Zw7rSucHm0MIph9gmNiSn,812873,2016-12-23
Heathens,Twenty One Pilots,6i0V12jOa3mr6uu4WYhUBr,811627,2016-12-23
Andas En Mi Cabeza,"Chino & Nacho, Daddy Yankee",5mey7CLLuFToM2P68Qu1gF,803180,2016-12-23
The Greatest,Sia,6bLopGnirdrilrpdVB6Um1,789176,2016-12-23
Desde Esa Noche (feat. Maluma),Thalia,1pWYnQIlqxTh5bxuPmTG4E,739965,2016-12-23
DUELE EL CORAZON (feat. Wisin),Enrique Iglesias,6YZdkObH88npeKrrkb8Ggf,735143,2016-12-23
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN, Taylor Swift",3NdDpSvN911VPGivFlV5d0,732959,2016-12-23
Vacaciones,Wisin,3dQDid3IUNhZy1OehIfYfE,728522,2016-12-23
Chillax (feat. Ky-Mani Marley),Farruko,1lxswgIpzV6HhENRvkflES,722046,2016-12-23
Just Hold On,"Steve Aoki, Louis Tomlinson",3EmmCZoqpWOTY1g2GBwJoR,710983,2016-12-23
Llegaste tú (feat. Reykon),Sofía Reyes,79Bm3DTEYuQsDpUVHbSRsL,672091,2016-12-23
Bobo,J Balvin,7AtlMCIauSQZqiXSlbBPW6,668441,2016-12-23
Fuego,Juanes,0mwPE0lPOgnWf2bo14xedJ,660275,2016-12-23
Black Beatles,"Rae Sremmurd, Gucci Mane",6fujklziTHa8uoM5OQSfIo,641025,2016-12-23
I Took A Pill In Ibiza - Seeb Remix,Mike Posner,17Fd6Yb7mSbinKG8LoWfFl,635385,2016-12-23
Middle,"DJ Snake, Bipolar Sunshine",4OZEu0Vwq0RB2LAq14v99n,609131,2016-12-23
Dueles,Jesse & Joy,1iRvhKiXRElIH2Uf4gd95P,607330,2016-12-23
El Perdedor,Maluma,1iEwyiSLAunPR6uouANE0O,596965,2016-12-23
Ride,Twenty One Pilots,2Z8WuEywRWYTKe1NybPQEW,590889,2016-12-23
Tengo Que Colgar,Banda MS de Sergio Lizárraga,2yGNkkwU2iT0doFxkxhcXH,584941,2016-12-23
Fake Love,Drake,343YBumqHu19cGoGARUTsd,581349,2016-12-23
Say You Won't Let Go,James Arthur,5uCax9HTNlzGybIStD3vDh,544596,2016-12-23
Stressed Out,Twenty One Pilots,3CRDbSIZ4r5MsZ0YwxuEkn,542279,2016-12-23
Hasta el Amanecer,Nicky Jam,5Fim1gaXBgsiFfsQAfQSDS,538852,2016-12-23
Qué Gano Olvidándote,Reik,7iXRsjttPa62GpOcqsx1aE,536943,2016-12-23
Mi tesoro (feat. Nicky Jam),Zion & Lennox,5HABnFSYvl6mTmg8nSdzHa,521004,2016-12-23
Cheap Thrills,Sia,27SdWb2rFzO6GWiYDBTD9j,515013,2016-12-23
By Your Side,"Jonas Blue, RAYE",1D3ODoXHBLpdxolZRHWV1j,512407,2016-12-23
Locos,León Larregui,3GSMdtJphymHEsR8K9jT5Q,502919,2016-12-23
Don't Let Me Down (feat. Daya),The Chainsmokers,0QsvXIfqM0zZoerQfsI9lm,497145,2016-12-23
This Is What You Came For (feat. Rihanna),Calvin Harris,0azC730Exh71aQlOt9Zj3y,493301,2016-12-23
Me Vas a Extrañar,Banda MS de Sergio Lizárraga,2yS8aYWXEWJ1NlZ7VPDroT,481872,2016-12-23
Solo Con Verte,Banda MS de Sergio Lizárraga,5z4O1H0vFY0Nh4ZMtfgapP,475780,2016-12-23
Mercy,Shawn Mendes,4TZy1wLyHec06pwgFYDh1a,474521,2016-12-23
Ya Me Enteré (feat. Nicky Jam) - Urban Version,Reik,2SSYqDX8KTgy01NlqtUo0F,474329,2016-12-23
Te Metiste,Ariel Camacho y Los Plebes Del Rancho,0nNTCEOzFlBTlDCx5IfLWP,463243,2016-12-23
"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,6JV2JOEocMgcZxYSZelKcc,459005,2016-12-23
Sin Contrato (feat. Fifth Harmony),Maluma,09S64DUkxIX9EwIaULu6yN,450920,2016-12-23
Gyal You A Party Animal - Remix,"Charly Black, Daddy Yankee",1AkTW13ysu0AJrwuM6UY0I,448744,2016-12-23
Treat You Better,Shawn Mendes,4Hf7WnR761jpxPr5D46Bcd,444714,2016-12-23
Faded,Alan Walker,7gHs73wELdeycvS48JfIos,431306,2016-12-23
This Girl (Kungs Vs. Cookin' On 3 Burners),Kungs,0tICYNayWWhH9GPeFrfjfD,420238,2016-12-23
Brillas,León Larregui,6VuUMo1TusnqBxLTnr3hOI,419853,2016-12-23
Ya Me Enteré,Reik,0lPXFrKyl8HkdQ2E6NmNja,413080,2016-12-23
Me Quema,Paulina Rubio,0VjbN2rfs40mHQ5mZN9UCE,401492,2016-12-23
Cake By The Ocean,DNCE,2aFiaMXmWsM3Vj72F9ksBl,399551,2016-12-23
Perfect Strangers,"Jonas Blue, JP Cooper",5bZtRlMBU76vHuDOb1GM5u,399435,2016-12-23
La Gozadera (feat. Marc Anthony),Gente De Zona,0OMRAvrtLWE2TvcXorRiB9,398817,2016-12-23
Love Yourself,Justin Bieber,3hB5DgAiMAQ4DzYbsMq1IT,388843,2016-12-23
Deja Que Te Bese,"Alejandro Sanz, Marc Anthony",0s6yB0ZFl1LvYHAnGhXFga,387227,2016-12-23
Light It Up (feat. Nyla & Fuse ODG) - Remix,Major Lazer,0L7loeTIg6akW84aEQZpCT,383777,2016-12-23
Afuera Está Lloviendo,Julión Álvarez y su Norteño Banda,6vVlJvDUGiF2w6XxJtDZUC,376584,2016-12-23
Siempre Te Voy A Querer,Calibre 50,3VK8copXwqvAueMPhnBe6K,374597,2016-12-23
No Lo Hice Bien,Los Plebes del Rancho de Ariel Camacho,211mktDmIq7g2Q4gBTXphj,364661,2016-12-23
Hear Me Now,"Alok, Bruno Martini, Zeeba",1a5Yu5L18qNxVhXx38njON,359383,2016-12-23
Sorry,Justin Bieber,69bp2EbF7Q2rqc5N3ylezZ,357254,2016-12-23
Tu Falta De Querer,Mon Laferte,4skuEIloXWuxxgekKupkEH,355997,2016-12-23
"Diles (feat. Arcangel, Nengo Flow, Dj Luian & Mambo Kings)","Ozuna, Bad Bunny, Farruko, Ñengo Flow",2FrnTVSHjgnEylKGdHRUK1,350332,2016-12-23
"La Ocasion (feat. Arcangel, Ozuna & Anuel Aa)","De La Ghetto, Mambo Kingz, DJ Luian",498YWgZPJWIA4lphXtCNma,349941,2016-12-23
De Pies A Cabeza,"Maná, Nicky Jam",2CkHE54EH44Qj945ynQRw7,345019,2016-12-23
Cómo Te Atreves,Morat,2z0EshEO4XptiepEb9j3Og,344083,2016-12-23
Mucha Marihuana,Cartel De Santa,1pKuoNmq0282BNd7NRSJ9M,342482,2016-12-23
¿Por Que Me Enamoré?,Ulices Chaidez,18J1Ke20aBiyK0nv9gnjez,339470,2016-12-23
Work from Home (feat. Ty Dolla $ign),Fifth Harmony,4tCtwWceOPWzenK2HAIJSb,339470,2016-12-23
Picky,Joey Montana,4tPL9PeVZY4c0jUPtSD5nx,339014,2016-12-23
The Mack,"Nevada, Mark Morrison, Fetty Wap",7aV2mflaASUmGhCErm7kBO,337132,2016-12-23
Regresa Hermosa,Gerardo Ortiz,6SRg6MfhnXxXwxtufnCGuV,336474,2016-12-23
Te Dirán,La Adictiva Banda San José de Mesillas,1PB6yA6o4CuJZUcVQ8UWh8,336172,2016-12-23
Lean On (feat. MØ & DJ Snake),Major Lazer,4WjH9Bzt3kx7z8kl0awxh4,336101,2016-12-23
All We Know,"The Chainsmokers, Phoebe Ryan",2rizacJSyD9S1IQUxUxnsK,335848,2016-12-23
Cocoon,Milky Chance,0L87MffumRNWrY2SNUFcvs,332322,2016-12-23
Hasta la Raíz,Natalia Lafourcade,3lGMtkONrZdJ8kTCg6KIFf,324127,2016-12-23
Work,"Rihanna, Drake",14WWzenpaEgQZlqPq2nk4v,323110,2016-12-23
Ginza,J Balvin,5N8nNuTmIzkZOfcxXlygUw,317922,2016-12-23
Te Quiero Pa´Mi,"Don Omar, Zion & Lennox",3BY2mafsbsoKGqS380Xnuz,317245,2016-12-23
Te Deseo Lo Mejor,Alta Consigna,7ETBp75Sc6ZT6XHVN783aq,316312,2016-12-23
Setting Fires,"The Chainsmokers, XYLØ",0B8B8cVRFIG1yznoQe7c9s,315986,2016-12-23
El Perdedor (feat. Yandel) - The Remix,Maluma,4QsPTKvdpgkA7mBAvclZTa,315073,2016-12-23
Amor Del Bueno,Calibre 50,6CmFzaTvg7lRSAWwHmBDfj,313585,2016-12-23
This Town,Niall Horan,5nA67Y0XX9JipZwYxX7Gl7,310624,2016-12-23
El Perdón,"Nicky Jam, Enrique Iglesias",7qCAVkHWZkF44OzOUKf8Cr,310146,2016-12-23
Thinking out Loud,Ed Sheeran,1Slwb6dOYkBlWal1PGtnNg,308501,2016-12-23
Caminar de Tu Mano,"Río Roma, Fonseca",7cCRlUf8ayOJtTlWN7g8Ni,306966,2016-12-23
Ruleta Rusa,Kevin Roldan,77KHmKnBmVGTjRCeMVXpWH,301726,2016-12-23
Adventure of a Lifetime,Coldplay,69uxyAqqPIsUyTO8txoP2M,299130,2016-12-23
Que Lo Nuestro Se Quede Nuestro,Carlos Rivera,3rtxFFGZ10e2vYBo7PsPf2,298477,2016-12-23
Encantadora,Yandel,7LABrQFfRYcZUqUwng0Heb,297783,2016-12-23
Me Está Gustando,Banda Los Recoditos,1PPswVdqYYvfBIk5MdB4Lo,296933,2016-12-23
El chisme,Reykon,4VXejnj5WgM6H72ct2fSgQ,295465,2016-12-23
Traicionera - Remix,"Sebastian Yatra, Cosculluela, Cali Y El Dandee",2webQDZmtGioeu3zUUi9We,291851,2016-12-23
Me Va A Pesar,La Arrolladora Banda El Limón De Rene Camacho,2MN641SexYaEM1neDbHrWe,290993,2016-12-23
Quién Te Entiende,Crecer German,0VYFakqQG8p6yHrqq9TAoY,290822,2016-12-23
Photograph,Ed Sheeran,6fxVffaTuwjgEk5h9QyRjy,289236,2016-12-23
Culpable Tu,Alta Consigna,4eOUnn9bKgUVx6fsbFhuZO,288995,2016-12-23
Sex,"Cheat Codes, Kris Kross Amsterdam",5DA77EqppDmCTWGovd4oTP,287860,2016-12-23
Háblame De Ti,Banda MS de Sergio Lizárraga,1O18MtSAMUk7JfAVB8gGzs,284460,2016-12-23
Mi Razón De Ser,Banda MS de Sergio Lizárraga,5JaMGjY9Ltvo9CFQfmUdYW,283897,2016-12-23
Hymn for the Weekend - Seeb Remix,Coldplay,1OAiWI2oPmglaOiv9fdioU,283504,2016-12-23
No Money,Galantis,0gb1J5UrTpzaU1s3nupgCd,277885,2016-12-23
Si Te Vienen a Contar,Cartel De Santa,4058DPUoC7sLPQ05pr3e4C,276715,2016-12-23
Encantadora (feat. Farruko & Zion & Lennox) - Remix,"Yandel, Egbert Rosa aka Haze",0EpFfFZpCuqYFzHvxOtrZS,275948,2016-12-23
After the Afterparty (feat. Lil Yachty),Charli XCX,0y8Wf6ltWpGCpgqVa21QNX,275570,2016-12-23
Cool Girl,Tove Lo,5dKyZWlgjWw1oJgLa4GCZD,275100,2016-12-23
Panda,Desiigner,5OOkp4U9P9oL23maHFHL1h,273472,2016-12-23
Pumped Up Kicks,Foster The People,7w87IxuO7BDcJ3YUqCyMTT,271539,2016-12-23
Fast Car,"Jonas Blue, Dakota",6OZh916QF8XNunWaP97WEZ,270248,2016-12-23
Hotline Bling,Drake,2FBUoWkIuQXwayw2RNo5l6,269671,2016-12-23
Culón Culito,Cartel De Santa,5B5tNyIXRMsIKQqKoSzpt0,267317,2016-12-23
Volvió el Sensei,Cartel De Santa,71RL6jIJ10rJuR0kfK1eut,266991,2016-12-23
Baila Conmigo,"Juan Magán, Luciana",772io14jrMTxGJbijtDccQ,266764,2016-12-23
Sé Que Te Vas,Ha*Ash,07T5sZOqViC15F9XBNre4L,265479,2016-12-23
Can't Feel My Face,The Weeknd,6RsWqX8zABZLhZydXxEFOm,264076,2016-12-23
Bailando - Spanish Version,"Enrique Iglesias, Descemer Bueno, Gente De Zona",32lm3769IRfcnrQV11LO4E,263891,2016-12-23
Sugar,Maroon 5,494OU6M7NOf4ICYb4zWCf5,262242,2016-12-23
Desde Cuándo,Cartel De Santa,339uAILdMichzBzKd45Gju,261983,2016-12-23
Cobarde,Yuridia,1Pk27SJFLKsyqMJDQrOe5B,255901,2016-12-23
Into You,Ariana Grande,7yHEDfrJNd0zWOfXwydNH0,254474,2016-12-23
Que Raro,"Feid, J Balvin",3kg9JvQe6QJFKUQCN1oIQz,254343,2016-12-23
No Quiere Enamorarse (Remix) [feat. Daddy Yankee],Ozuna,4vlbjBSMqycZk6t4HVRpnC,250844,2016-12-23
Qué Caro Estoy Pagando,Los Plebes del Rancho de Ariel Camacho,1JU9KfQidaLyx80ixZr66t,250810,2016-12-23
Bailame Despacio,"Xantos, Dynell",4OaTpLJIa2harufGxfOPUu,249521,2016-12-23
What Do You Mean?,Justin Bieber,3pzjHKrQSvXGHQ98dx18HI,249276,2016-12-23
The Scientist,Coldplay,75JFxkI2RXiU7L9VXzMkle,247637,2016-12-23
Alone,Alan Walker,0JiVRyTJcJnmlwCZ854K4p,247415,2016-12-23
Hasta Que Se Seque el Malecón (feat. Farruko) - Remix,Jacob Forever,6sMPwcpYtxm1mlgYbp1B0t,246590,2016-12-23
Bohemian Rhapsody - Remastered 2011,Queen,1AhDOtG9vPSOmsWgNW0BEY,246025,2016-12-23
Manicomio,Cosculluela,3n58u3LOFw8mITLvfPvQBz,245913,2016-12-23
7 Years,Lukas Graham,7129iqBafaphfc3WPCGC0L,245724,2016-12-23
Ahora Te Puedes Marchar,Luis Miguel,1uKjQoh8JZj9ryuYRhpd7E,245711,2016-12-23
Pongámonos De Acuerdo,Julión Álvarez y su Norteño Banda,3FhuPkzBM6VMLvc6rcer8v,244698,2016-12-23
Send My Love (To Your New Lover),Adele,4BHzQ9C00ceJxfG16AlNWb,244615,2016-12-23
Hymn for the Weekend,Coldplay,3RiPr603aXAoi4GHyXx0uy,243535,2016-12-23
Starving,"Hailee Steinfeld, Grey, Zedd",1qOLh0tI7trd1zdDKxYZTe,241975,2016-12-23
6 AM (Remix),"Enzo Ortiz, J Balvin, Farruko",3WHqVVRvPDWz033iPs04md,241251,2016-12-23
Feliz Navidad,José Feliciano,7taXf5odg9xCAZERYfyOkS,238654,2016-12-23
Shed a Light,"Robin Schulz, David Guetta, Cheat Codes",1cG0umU5TKStygKsPFZ9pY,237966,2016-12-23
La Dosis Perfecta,Panteon Rococo,7qKtcEDbth6kOM5s4uJzw3,236576,2016-12-23
Me Ama Me Odia,"Ozuna, Cosculluela, Revol",6041gM9Th1ViQcnzkIxnuv,235913,2016-12-23
Soñé,Zoé,46UhTfdy7LhAFK8BalnJid,234499,2016-12-23
Hello,Adele,4sPmO7WMQUAf45kwMOtONw,234438,2016-12-23
Sugar (feat. Francesco Yates),Robin Schulz,5tf1VVWniHgryyumXyJM7w,233497,2016-12-23
This One's for You (feat. Zara Larsson) (Official Song UEFA EURO 2016),David Guetta,46NBoIAHrmR7qcUGCIFEjR,233086,2016-12-23
Let Me Hold You (Turn Me On),"Dante Klein, Cheat Codes",0lmdsH1MIoLsMymnNpd6HU,232182,2016-12-23
Mis Sentimientos,"Los Ángeles Azules, Ximena Sariñana",66NNoydhDCKHjBZjO4OnNm,231624,2016-12-23
Me Dediqué a Perderte,Alejandro Fernández,4NUt1fcnO9aQAELBgXq3Kr,230799,2016-12-23
PILLOWTALK,ZAYN,0PDUDa38GO8lMxLCRc4lL1,230370,2016-12-23
En Ésta No,Sin Bandera,1zRqRmZyE0bgXkSoVVaCwK,229560,2016-12-23
Prometiste - MTV Unplugged [En Vivo],"Pepe Aguilar, Ángela Aguilar, Melissa, La Marisoul",4UuVcf9nvpqyPsOk0P9oBH,227894,2016-12-23
All I Want for Christmas Is You,Mariah Carey,0bYg9bo50gSsH3LtXe2SQn,226536,2016-12-23
Te Vas,Ozuna,2twUPIYOTqVivev47pf7bU,225881,2016-12-23
"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",Lil Wayne,4dASQiO1Eoo3RJvt74FtXB,225568,2016-12-23
Too Good,"Drake, Rihanna",11KJSRSgaDxqydKYiD2Jew,224746,2016-12-23
Hablemos,Ariel Camacho y Los Plebes Del Rancho,049wfFS3kAsdmGOH8ktYJ3,219885,2016-12-23
