Title,Artist,Song ID,Streams,Data Date
Closer,"The Chainsmokers, Halsey",7BKLCZ1jbUBVqRi2FVlTVw,217838,2016-12-23
Say You Won't Let Go,James Arthur,5uCax9HTNlzGybIStD3vDh,203205,2016-12-23
Starboy,"The Weeknd, Daft Punk",5aAx2yezTd8zXrkmtKl66Z,199750,2016-12-23
Let Me Love You,"DJ Snake, Justin Bieber",4pdPtRcBmOSQDlJ3Fk945m,168019,2016-12-23
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN, Taylor Swift",3NdDpSvN911VPGivFlV5d0,163769,2016-12-23
Bad Things (with Camila Cabello),Machine Gun Kelly,1PSBzsahR2AKwLJgx8ehBj,161889,2016-12-23
All We Know,"The Chainsmokers, Phoebe Ryan",2rizacJSyD9S1IQUxUxnsK,157258,2016-12-23
Don't Wanna Know,"Maroon 5, Kendrick Lamar",5MFzQMkrl1FOOng9tq6R9r,153021,2016-12-23
Side To Side,"Ariana Grande, Nicki Minaj",4pLwZjInHj3SimIyN9SnOz,126190,2016-12-23
Starving,"Hailee Steinfeld, Grey, Zedd",1qOLh0tI7trd1zdDKxYZTe,125116,2016-12-23
Cold Water (feat. Justin Bieber & MØ),Major Lazer,6DNtNfH8hXkqOX1sjqmI7p,120355,2016-12-23
24K Magic,Bruno Mars,6b8Be6ljOzmkOmFslEb23P,119240,2016-12-23
"How Far I'll Go - From ""Moana""",Alessia Cara,5hYTyyh2odQKphUbMqc5gN,115905,2016-12-23
Faded,Alan Walker,7gHs73wELdeycvS48JfIos,115221,2016-12-23
In the Name of Love,"Martin Garrix, Bebe Rexha",04DwTuZ2VBdJCCC5TROn7L,114761,2016-12-23
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,5knuzwU65gJK7IF5yJsuaW,110982,2016-12-23
We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,68EMU2RD1ECNeOeJ5qAXCV,110236,2016-12-23
Treat You Better,Shawn Mendes,4Hf7WnR761jpxPr5D46Bcd,104888,2016-12-23
The Greatest,Sia,6bLopGnirdrilrpdVB6Um1,102851,2016-12-23
I Feel It Coming,"The Weeknd, Daft Punk",5GXAXm5YOmYT0kL5jHvYBt,99103,2016-12-23
All Night,"The Vamps, Matoma",4b4KcovePX8Ke2cLIQTLM0,98524,2016-12-23
Mercy,Shawn Mendes,4TZy1wLyHec06pwgFYDh1a,96595,2016-12-23
Scars To Your Beautiful,Alessia Cara,0prNGof3XqfTvNDxHonvdK,96553,2016-12-23
Call On Me - Ryan Riback Extended Remix,Starley,78rIJddV4X0HkNAInEcYde,95482,2016-12-23
"i hate u, i love u (feat. olivia o'brien)",gnash,7vRriwrloYVaoAe3a9wJHe,94028,2016-12-23
Alone,Alan Walker,0JiVRyTJcJnmlwCZ854K4p,92702,2016-12-23
Just Hold On,"Steve Aoki, Louis Tomlinson",3EmmCZoqpWOTY1g2GBwJoR,88690,2016-12-23
Don't Let Me Down (feat. Daya),The Chainsmokers,0QsvXIfqM0zZoerQfsI9lm,86646,2016-12-23
All Time Low,Jon Bellion,1CnPYaKxTVb4LWOtiGOm0m,85806,2016-12-23
Versace on the Floor,Bruno Mars,0kN8xEmgMW9mh7UmDYHlJP,82714,2016-12-23
Stay With Me,"CHANYEOL, Punch",1HYzRuWjmS9LXCkdVHi25K,81911,2016-12-23
Heathens,Twenty One Pilots,6i0V12jOa3mr6uu4WYhUBr,81187,2016-12-23
By Your Side,"Jonas Blue, RAYE",1D3ODoXHBLpdxolZRHWV1j,79344,2016-12-23
Dirgahayu,"Faizal Tahir, Dato' Sri Siti Nurhaliza",1rw8VCZDhSjbuFTJvDhpeW,76161,2016-12-23
Setting Fires,"The Chainsmokers, XYLØ",0B8B8cVRFIG1yznoQe7c9s,75238,2016-12-23
FXXK IT,BIGBANG,0YVsrgp4OOUhFuYMAVQazV,74703,2016-12-23
Cheap Thrills,Sia,27SdWb2rFzO6GWiYDBTD9j,72412,2016-12-23
The Ocean (feat. Shy Martin),Mike Perry,2CPqh63wRVscbceKcPxwvv,71007,2016-12-23
One Dance,"Drake, WizKid, Kyla",1xznGGDReH1oQq0xzbwXa3,70567,2016-12-23
Segalanya,Haqiem Rusli,4ifzLaIjOAxbFMC12T7xxi,69690,2016-12-23
Alone,Marshmello,12mGwph2YzDIlChtq3EdXP,67591,2016-12-23
Fake Love,Drake,343YBumqHu19cGoGARUTsd,66863,2016-12-23
