Title,Artist,Song ID,Streams,Data Date
Alone,Alan Walker,0JiVRyTJcJnmlwCZ854K4p,928018,2016-12-23
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,5knuzwU65gJK7IF5yJsuaW,690913,2016-12-23
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN, Taylor Swift",3NdDpSvN911VPGivFlV5d0,558216,2016-12-23
Hey Ho,Freddy Kalas,0eekaX32hUmJgcinPCL1iZ,516702,2016-12-23
All I Want for Christmas Is You,Mariah Carey,0bYg9bo50gSsH3LtXe2SQn,469358,2016-12-23
Call On Me - Ryan Riback Extended Remix,Starley,78rIJddV4X0HkNAInEcYde,461297,2016-12-23
Solo Dance,Martin Jensen,6HUnnBwYZqcED1eQztxMBN,445936,2016-12-23
Home for Christmas,Maria Mena,3E0fq2gqsNbQo5paAuEcmc,438339,2016-12-23
I Feel It Coming,"The Weeknd, Daft Punk",5GXAXm5YOmYT0kL5jHvYBt,419891,2016-12-23
Move Your Body - Alan Walker Remix,Sia,6LUOMjoORvAkdhBYvESO46,391912,2016-12-23
Himmel På Jord,"Kurt Nilsen, The Norwegian Radio Orchestra",0WFyQgDzbQCfJuxcHW4Zrt,390293,2016-12-23
Make Me (Cry),"Noah Cyrus, Labrinth",2BrzlUj1u1CtvaJDGIKpsP,385873,2016-12-23
Starboy,"The Weeknd, Daft Punk",5aAx2yezTd8zXrkmtKl66Z,379448,2016-12-23
Last Christmas,Wham!,2FRnf9qhLbvw8fu4IBXx78,375794,2016-12-23
All Night,"The Vamps, Matoma",4b4KcovePX8Ke2cLIQTLM0,354142,2016-12-23
Black Beatles,"Rae Sremmurd, Gucci Mane",6fujklziTHa8uoM5OQSfIo,333829,2016-12-23
Say You Won't Let Go,James Arthur,5uCax9HTNlzGybIStD3vDh,326545,2016-12-23
Hear Me Now,"Alok, Bruno Martini, Zeeba",1a5Yu5L18qNxVhXx38njON,322731,2016-12-23
What Do You Love,"Seeb, Jacob Banks",0h4FK0CnlZ3oJnZ6quEk1P,319832,2016-12-23
Fairytale of New York (feat. Kirsty MacColl),The Pogues,3VTNVsTTu05dmTsVFrmGpK,303496,2016-12-23
Closer,"The Chainsmokers, Halsey",7BKLCZ1jbUBVqRi2FVlTVw,300610,2016-12-23
It's Beginning to Look a Lot like Christmas,Michael Bublé,0lLdorYw7lVrJydTINhWdI,291142,2016-12-23
Sexual,"NEIKED, Dyo",3AsAuGTaDQzavZZThyYlop,286538,2016-12-23
Lighthouse - Andrelli Remix,Hearts & Colors,04CttTezSnv71USiiG9mIo,276459,2016-12-23
Mistletoe,Justin Bieber,32OWobmyAz8J2qA8iWekyS,276248,2016-12-23
Let Me Love You,"DJ Snake, Justin Bieber",4pdPtRcBmOSQDlJ3Fk945m,267156,2016-12-23
The Greatest,Sia,6bLopGnirdrilrpdVB6Um1,262765,2016-12-23
Selmas sang (fra Snøfall),Eva Weel Skram,60krsAHBHlf1eMEdZpaybn,247301,2016-12-23
Don't Wanna Know,"Maroon 5, Kendrick Lamar",5MFzQMkrl1FOOng9tq6R9r,244729,2016-12-23
24K Magic,Bruno Mars,6b8Be6ljOzmkOmFslEb23P,239617,2016-12-23
O Helga Natt,Nils Bech,07hRgRIohqJPDXeO4bmtH5,239175,2016-12-23
Stjernesludd,"Kurt Nilsen, The Norwegian Radio Orchestra",0zCU35nRISaqZqlUXNEL5Z,237324,2016-12-23
I Would Like,Zara Larsson,4Q4jmPHwu0wrJvqrld0FQ6,227243,2016-12-23
Faded,Alan Walker,7gHs73wELdeycvS48JfIos,223562,2016-12-23
Nervous (The Ooh Song) - Mark McCabe Remix,Gavin James,0L9lXMXddmoBbBUeF7A9An,220599,2016-12-23
Side To Side,"Ariana Grande, Nicki Minaj",4pLwZjInHj3SimIyN9SnOz,219235,2016-12-23
Engler i sne,eMMa,59GOf2vvt1WFPzsvQDhVUw,217133,2016-12-23
Just Hold On,"Steve Aoki, Louis Tomlinson",3EmmCZoqpWOTY1g2GBwJoR,208837,2016-12-23
Inside the Lines (feat. Casso),Mike Perry,3qaYuV5XZAwiOvGE91HhwS,206485,2016-12-23
Christmas Lights,Coldplay,4fzyvSu73BhGvi96p2zwjL,205479,2016-12-23
All We Know,"The Chainsmokers, Phoebe Ryan",2rizacJSyD9S1IQUxUxnsK,201631,2016-12-23
Routine,"Alan Walker, David Whistle",19TSNGmvdTtlxYn4YqYUMf,201537,2016-12-23
Tårnet til Carlsen (feat. Simen Agdestein),"Staysman & Lazz, Staysman",4OE7BCHElUtM2ATRF7u1PS,190112,2016-12-23
Jul i svingen,"Ingebjørg Bratland, Ina Svenningdal",0FZHpDOVQ8N1HJLahZsTT1,187139,2016-12-23
Starving,"Hailee Steinfeld, Grey, Zedd",1qOLh0tI7trd1zdDKxYZTe,185724,2016-12-23
Beast,"Tungevaag, Raaban, Isac Elliot",6ZbiaHwI9x7CIxYGOEmXxd,184802,2016-12-23
"Let It Snow, Let It Snow, Let It Snow","Kurt Nilsen, The Norwegian Radio Orchestra",74yQRKUunP1sRjnnMks4SG,184501,2016-12-23
Heart Won't Forget,"Matoma, Gia Woods",2of2DM5LqTh7ohmmVXUKsH,183068,2016-12-23
Jovial,Freddy Kalas,5paNYIC0vrVj1EWGVzfJzb,182927,2016-12-23
Shed a Light,"Robin Schulz, David Guetta, Cheat Codes",1cG0umU5TKStygKsPFZ9pY,181563,2016-12-23
Mercy,Shawn Mendes,4TZy1wLyHec06pwgFYDh1a,179214,2016-12-23
In the Name of Love,"Martin Garrix, Bebe Rexha",04DwTuZ2VBdJCCC5TROn7L,175855,2016-12-23
It's the Most Wonderful Time of the Year,Andy Williams,5hslUAKq9I9CG2bAulFkHN,170753,2016-12-23
Cold Water (feat. Justin Bieber & MØ),Major Lazer,6DNtNfH8hXkqOX1sjqmI7p,169226,2016-12-23
Nå Tennes Tusen Julelys,"Kurt Nilsen, The Norwegian Radio Orchestra",514a6jNU8B1KS7QV387ZUU,169088,2016-12-23
Dynamite (feat. Pretty Sister),Nause,2Ae5awwKvQpTBKQHr1TYCg,166181,2016-12-23
Happy Xmas (War Is Over) - Remastered 2010,"John Lennon, The Harlem Community Choir, The Plastic Ono Band, Yoko Ono",3zJw3rugfpVrmBeDDnUYzy,164585,2016-12-23
Sing Me to Sleep,Alan Walker,2Fjz5ZC5BvFdCqcnTZ3ilH,159084,2016-12-23
Gje Meg Handa Di Venn,"Kurt Nilsen, The Norwegian Radio Orchestra",5Nsnr6aTiNzECvns3OFcFx,153216,2016-12-23
Feliz Navidad,José Feliciano,7taXf5odg9xCAZERYfyOkS,149341,2016-12-23
Millionaire (feat. Nelly) - Alan Walker Remix,"Digital Farm Animals, Cash Cash",5HzbxweVAtisCrpoOF11qt,147459,2016-12-23
My Way,Calvin Harris,1vvNmPOiUuyCbgWmtc6yfm,147065,2016-12-23
Heathens,Twenty One Pilots,6i0V12jOa3mr6uu4WYhUBr,144469,2016-12-23
Fake Love,Drake,343YBumqHu19cGoGARUTsd,143084,2016-12-23
Starboy - Kygo Remix,"The Weeknd, Daft Punk",6L778PA16SuyYvFhqnMndY,141246,2016-12-23
Jingle Bell Rock,BobHelms,1cImYkHOQMFE7AZC9aOk4y,137608,2016-12-23
Shout Out to My Ex,Little Mix,0YHUITU3w6ws1v8ehT264g,136450,2016-12-23
Versace 2017,"TIX, The Pøssy Project",594Id4J7VH4nVIfI1FwhP9,134862,2016-12-23
Rockin' Around The Christmas Tree - Single Version,Brenda Lee,3T7dNA7O8c3Axj5WyDNcH3,132075,2016-12-23
One Dance,"Drake, WizKid, Kyla",1xznGGDReH1oQq0xzbwXa3,131438,2016-12-23
Have Yourself A Merry Little Christmas,Sam Smith,7Hz6LLOVxrojLPIHJJ1S0E,129098,2016-12-23
Juju on That Beat (TZ Anthem),"Zay Hilfigerrr, Zayion McCall",1lItf5ZXJc1by9SbPeljFd,126438,2016-12-23
Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),Frank Sinatra,7inXu0Eaeg02VsM8kHNvzM,125341,2016-12-23
Arigato,Julie Bergan,4XuK9jJP3mpYBq5qf68vfF,124419,2016-12-23
Hymn for the Weekend - Seeb Remix,Coldplay,1OAiWI2oPmglaOiv9fdioU,123816,2016-12-23
Alt jeg ønsker meg,Marcus & Martinus,09NperpaQcPrGQyheqzo4z,122951,2016-12-23
Party Monster,The Weeknd,4F7A0DXBrmUAkp32uenhZt,122050,2016-12-23
Bad Things (with Camila Cabello),Machine Gun Kelly,1PSBzsahR2AKwLJgx8ehBj,121132,2016-12-23
Under treet,Morgan Sulele,5GyK0VoeWtQvT1Yesd0mVh,120147,2016-12-23
Cheap Thrills,Sia,27SdWb2rFzO6GWiYDBTD9j,118889,2016-12-23
Don't Let Me Down (feat. Daya),The Chainsmokers,0QsvXIfqM0zZoerQfsI9lm,118582,2016-12-23
"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",Lil Wayne,4dASQiO1Eoo3RJvt74FtXB,117353,2016-12-23
Places,"Martin Solveig, Ina Wroldsen",6O85MfGECKBqAK2MgSbCaj,116469,2016-12-23
Hei Ha Na Er Det Jul Igjen,Per Asplin,5FMWyzzewKV4w39GHGwu5A,115922,2016-12-23
White Christmas,"Bing Crosby, Ken DarSingers, John Scott Trotter & His Orchestra",4so0Wek9Ig1p6CRCHuINwW,115912,2016-12-23
Cigarette (feat. Madcon & Julimar Santos),Penthox,2yPgwtJ9j7WP29q9dcYOmR,115112,2016-12-23
Vintersong,Ingebjørg Bratland,5BBuxR2NpZROueVtsUc3kd,114569,2016-12-23
Mary's Story,Ina Wroldsen,34d5DHEt5lyQr32be5X7cV,112104,2016-12-23
