Title,Artist,Song ID,Streams,Data Date
Starboy,"The Weeknd, Daft Punk",5aAx2yezTd8zXrkmtKl66Z,244835,2016-12-23
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,5knuzwU65gJK7IF5yJsuaW,244547,2016-12-23
Closer,"The Chainsmokers, Halsey",7BKLCZ1jbUBVqRi2FVlTVw,220132,2016-12-23
24K Magic,Bruno Mars,6b8Be6ljOzmkOmFslEb23P,219718,2016-12-23
Say You Won't Let Go,James Arthur,5uCax9HTNlzGybIStD3vDh,209089,2016-12-23
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN, Taylor Swift",3NdDpSvN911VPGivFlV5d0,206615,2016-12-23
Fake Love,Drake,343YBumqHu19cGoGARUTsd,195862,2016-12-23
Don't Wanna Know,"Maroon 5, Kendrick Lamar",5MFzQMkrl1FOOng9tq6R9r,189159,2016-12-23
All I Want for Christmas Is You,Mariah Carey,0bYg9bo50gSsH3LtXe2SQn,188226,2016-12-23
Sexual,"NEIKED, Dyo",3AsAuGTaDQzavZZThyYlop,187071,2016-12-23
The Mack,"Nevada, Mark Morrison, Fetty Wap",7aV2mflaASUmGhCErm7kBO,180745,2016-12-23
Call On Me - Ryan Riback Extended Remix,Starley,78rIJddV4X0HkNAInEcYde,176119,2016-12-23
I Feel It Coming,"The Weeknd, Daft Punk",5GXAXm5YOmYT0kL5jHvYBt,172350,2016-12-23
Black Beatles,"Rae Sremmurd, Gucci Mane",6fujklziTHa8uoM5OQSfIo,172200,2016-12-23
Let Me Love You,"DJ Snake, Justin Bieber",4pdPtRcBmOSQDlJ3Fk945m,167132,2016-12-23
Fresh Eyes,Andy Grammer,4nMlau89VAjmV7agkl7OY3,162638,2016-12-23
Cold Water (feat. Justin Bieber & MØ),Major Lazer,6DNtNfH8hXkqOX1sjqmI7p,156245,2016-12-23
All Night,"The Vamps, Matoma",4b4KcovePX8Ke2cLIQTLM0,153988,2016-12-23
Last Christmas,Wham!,2FRnf9qhLbvw8fu4IBXx78,147990,2016-12-23
Love$ick (feat. A$AP Rocky),Mura Masa,7Kq16WtEJzdRSNQgdXsn7Y,146898,2016-12-23
Capsize,"FRENSHIP, Emily Warren",2XMTqoHHSH0lvuXrvIEdco,143773,2016-12-23
Caroline,Aminé,5hTpBe8h35rJ67eAWHQsJx,142100,2016-12-23
The Greatest,Sia,6bLopGnirdrilrpdVB6Um1,138446,2016-12-23
Starving,"Hailee Steinfeld, Grey, Zedd",1qOLh0tI7trd1zdDKxYZTe,134037,2016-12-23
Bad Things (with Camila Cabello),Machine Gun Kelly,1PSBzsahR2AKwLJgx8ehBj,131492,2016-12-23
In the Name of Love,"Martin Garrix, Bebe Rexha",04DwTuZ2VBdJCCC5TROn7L,130482,2016-12-23
Scars To Your Beautiful,Alessia Cara,0prNGof3XqfTvNDxHonvdK,127352,2016-12-23
Side To Side,"Ariana Grande, Nicki Minaj",4pLwZjInHj3SimIyN9SnOz,125025,2016-12-23
All We Know,"The Chainsmokers, Phoebe Ryan",2rizacJSyD9S1IQUxUxnsK,125017,2016-12-23
My Way,Calvin Harris,1vvNmPOiUuyCbgWmtc6yfm,124017,2016-12-23
One Dance,"Drake, WizKid, Kyla",1xznGGDReH1oQq0xzbwXa3,122256,2016-12-23
It's Beginning to Look a Lot like Christmas,Michael Bublé,0lLdorYw7lVrJydTINhWdI,119805,2016-12-23
I Would Like,Zara Larsson,4Q4jmPHwu0wrJvqrld0FQ6,118618,2016-12-23
Love Me Now,John Legend,6nxQdXa1uAL0rY72wPZu89,117419,2016-12-23
"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,6JV2JOEocMgcZxYSZelKcc,111336,2016-12-23
Stranger (feat. Elliphant),Peking Duk,0jVPEBd4wyHupkTHwzQRyc,108044,2016-12-23
