Title,Artist,Song ID,Streams,Data Date
Say You Won't Let Go,James Arthur,5uCax9HTNlzGybIStD3vDh,1597482,2016-12-23
Versace on the Floor,Bruno Mars,0kN8xEmgMW9mh7UmDYHlJP,1583332,2016-12-23
Closer,"The Chainsmokers, Halsey",7BKLCZ1jbUBVqRi2FVlTVw,1359546,2016-12-23
All We Know,"The Chainsmokers, Phoebe Ryan",2rizacJSyD9S1IQUxUxnsK,1132092,2016-12-23
Don't Wanna Know,"Maroon 5, Kendrick Lamar",5MFzQMkrl1FOOng9tq6R9r,1066289,2016-12-23
Starving,"Hailee Steinfeld, Grey, Zedd",1qOLh0tI7trd1zdDKxYZTe,1065865,2016-12-23
24K Magic,Bruno Mars,6b8Be6ljOzmkOmFslEb23P,1038804,2016-12-23
"How Far I'll Go - From ""Moana""",Alessia Cara,5hYTyyh2odQKphUbMqc5gN,962362,2016-12-23
Starboy,"The Weeknd, Daft Punk",5aAx2yezTd8zXrkmtKl66Z,896423,2016-12-23
Let Me Love You,"DJ Snake, Justin Bieber",4pdPtRcBmOSQDlJ3Fk945m,873647,2016-12-23
Jumpshot,Dawin,4izP2KMwrhAdZEtIyp8Z8w,860468,2016-12-23
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN, Taylor Swift",3NdDpSvN911VPGivFlV5d0,845956,2016-12-23
Cold Water (feat. Justin Bieber & MØ),Major Lazer,6DNtNfH8hXkqOX1sjqmI7p,834967,2016-12-23
Bad Things (with Camila Cabello),Machine Gun Kelly,1PSBzsahR2AKwLJgx8ehBj,834321,2016-12-23
Perfect Strangers,"Jonas Blue, JP Cooper",5bZtRlMBU76vHuDOb1GM5u,822896,2016-12-23
Side To Side,"Ariana Grande, Nicki Minaj",4pLwZjInHj3SimIyN9SnOz,768594,2016-12-23
In the Name of Love,"Martin Garrix, Bebe Rexha",04DwTuZ2VBdJCCC5TROn7L,745578,2016-12-23
All Night,"The Vamps, Matoma",4b4KcovePX8Ke2cLIQTLM0,729053,2016-12-23
Fresh Eyes,Andy Grammer,4nMlau89VAjmV7agkl7OY3,709319,2016-12-23
Call On Me - Ryan Riback Extended Remix,Starley,78rIJddV4X0HkNAInEcYde,682583,2016-12-23
Treat You Better,Shawn Mendes,4Hf7WnR761jpxPr5D46Bcd,656265,2016-12-23
By Your Side,"Jonas Blue, RAYE",1D3ODoXHBLpdxolZRHWV1j,620510,2016-12-23
Sila,SUD,2IMODbij0lZ5CuAjZi0IDE,612992,2016-12-23
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,5knuzwU65gJK7IF5yJsuaW,612669,2016-12-23
Middle,"DJ Snake, Bipolar Sunshine",4OZEu0Vwq0RB2LAq14v99n,606307,2016-12-23
Setting Fires,"The Chainsmokers, XYLØ",0B8B8cVRFIG1yznoQe7c9s,593159,2016-12-23
We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,68EMU2RD1ECNeOeJ5qAXCV,567146,2016-12-23
Shout Out to My Ex,Little Mix,0YHUITU3w6ws1v8ehT264g,566011,2016-12-23
Black Beatles,"Rae Sremmurd, Gucci Mane",6fujklziTHa8uoM5OQSfIo,535842,2016-12-23
Just Hold On,"Steve Aoki, Louis Tomlinson",3EmmCZoqpWOTY1g2GBwJoR,534527,2016-12-23
"i hate u, i love u (feat. olivia o'brien)",gnash,7vRriwrloYVaoAe3a9wJHe,533050,2016-12-23
Don't Let Me Down (feat. Daya),The Chainsmokers,0QsvXIfqM0zZoerQfsI9lm,526605,2016-12-23
YOUTH,Troye Sivan,1cOyWWUr3oXJIxY0AjJEx9,508382,2016-12-23
"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,6JV2JOEocMgcZxYSZelKcc,486150,2016-12-23
Scars To Your Beautiful,Alessia Cara,0prNGof3XqfTvNDxHonvdK,481801,2016-12-23
"Sit Still, Look Pretty",Daya,2DpCdPMg1BADE4HDnxt3Rd,473593,2016-12-23
Fake Love,Drake,343YBumqHu19cGoGARUTsd,472189,2016-12-23
Mercy,Shawn Mendes,4TZy1wLyHec06pwgFYDh1a,469545,2016-12-23
You & Me,"Marc E. Bassy, G-Eazy",4QdovcM8j50QPlyR7tH4xe,469209,2016-12-23
Juju on That Beat (TZ Anthem),"Zay Hilfigerrr, Zayion McCall",1lItf5ZXJc1by9SbPeljFd,462347,2016-12-23
Pasensya Ka Na,Silent Sanctuary,0YyM8aEdbjGfLWPn6fdcn7,453386,2016-12-23
All I Want for Christmas Is You,Mariah Carey,0bYg9bo50gSsH3LtXe2SQn,433017,2016-12-23
Trust Nobody (feat. Selena Gomez & Tory Lanez),Cashmere Cat,2wDjpPW3HZdA9quPPmZAMu,425511,2016-12-23
I Feel It Coming,"The Weeknd, Daft Punk",5GXAXm5YOmYT0kL5jHvYBt,417933,2016-12-23
The Ocean (feat. Shy Martin),Mike Perry,2CPqh63wRVscbceKcPxwvv,413276,2016-12-23
Tadhana,Up Dharma Down,6NFKf8vBApSvtzkapYmnVR,411105,2016-12-23
Steady 1234 (feat. Jasmine Thompson & Skizzy Mars),Vice,40UroIGvsMPLPBYwH8rMNA,383533,2016-12-23
The Greatest,Sia,6bLopGnirdrilrpdVB6Um1,367075,2016-12-23
Nobody's Better (feat. Fetty Wap),Suzi,6XKm1z5lYIq486iWMLnSFY,361745,2016-12-23
Stay - On the Wings of Love Teleserye Theme,Daryl Ong,5QVuf1MpdzFtFoJGwcKosa,360793,2016-12-23
One Dance,"Drake, WizKid, Kyla",1xznGGDReH1oQq0xzbwXa3,354466,2016-12-23
All Time Low,Jon Bellion,1CnPYaKxTVb4LWOtiGOm0m,348142,2016-12-23
Photograph,Ed Sheeran,6fxVffaTuwjgEk5h9QyRjy,333458,2016-12-23
Malaya (Camp Sawi Original Motion Picture Soundtrack),Moira Dela Torre,6M21eWbEw74XDdoQsNIinq,330494,2016-12-23
That's What I Like,Bruno Mars,0KKkJNfGyhkQ5aFogxQAPU,318413,2016-12-23
Secret Love Song (feat. Jason Derulo),Little Mix,4JIo8RztBbELr2gWJ5OGK6,299919,2016-12-23
Roses (feat. ROZES),The Chainsmokers,6O6M7pJLABmfBRoGZMu76Y,286570,2016-12-23
The Mack,"Nevada, Mark Morrison, Fetty Wap",7aV2mflaASUmGhCErm7kBO,267203,2016-12-23
Paasa - T.A.N.G.A.,Yeng Constantino,2XYb0tB6gqXObZqNsAoMYk,257449,2016-12-23
Caroline,Aminé,5hTpBe8h35rJ67eAWHQsJx,233341,2016-12-23
Sidekick,Dawin,7rQ7daaKRFhCz0TgFgAzU2,230689,2016-12-23
This Is What You Came For (feat. Rihanna),Calvin Harris,0azC730Exh71aQlOt9Zj3y,228737,2016-12-23
Lot to Learn,Luke Christopher,2HzfRSfCogBSsgW2CckVA2,225470,2016-12-23
Work from Home (feat. Ty Dolla $ign),Fifth Harmony,4tCtwWceOPWzenK2HAIJSb,221634,2016-12-23
Love Yourself,Justin Bieber,3hB5DgAiMAQ4DzYbsMq1IT,219845,2016-12-23
I Would Like,Zara Larsson,4Q4jmPHwu0wrJvqrld0FQ6,212289,2016-12-23
Toothbrush,DNCE,0CNjoQozZP0mB9rKVdrKGx,212122,2016-12-23
Wake Up Where You Are,State of Sound,2s76aKBWKShlwPC4xTtEEE,211182,2016-12-23
