Title,Artist,Song ID,Streams,Data Date
Starboy,"The Weeknd, Daft Punk",5aAx2yezTd8zXrkmtKl66Z,165528,2016-12-23
Say You Won't Let Go,James Arthur,5uCax9HTNlzGybIStD3vDh,111826,2016-12-23
Closer,"The Chainsmokers, Halsey",7BKLCZ1jbUBVqRi2FVlTVw,110190,2016-12-23
Let Me Love You,"DJ Snake, Justin Bieber",4pdPtRcBmOSQDlJ3Fk945m,104889,2016-12-23
I Feel It Coming,"The Weeknd, Daft Punk",5GXAXm5YOmYT0kL5jHvYBt,99150,2016-12-23
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,5knuzwU65gJK7IF5yJsuaW,99079,2016-12-23
Mercy,Shawn Mendes,4TZy1wLyHec06pwgFYDh1a,98600,2016-12-23
24K Magic,Bruno Mars,6b8Be6ljOzmkOmFslEb23P,96575,2016-12-23
Don't Wanna Know,"Maroon 5, Kendrick Lamar",5MFzQMkrl1FOOng9tq6R9r,94993,2016-12-23
Loucos (feat. Héber Marques),Matias Damásio,49Fu8EcEOZ9OnpM1XpPpyU,90305,2016-12-23
One Dance,"Drake, WizKid, Kyla",1xznGGDReH1oQq0xzbwXa3,88418,2016-12-23
Chantaje (feat. Maluma),Shakira,6mICuAdrwEjh6Y6lroV2Kg,87477,2016-12-23
Black Beatles,"Rae Sremmurd, Gucci Mane",6fujklziTHa8uoM5OQSfIo,86323,2016-12-23
Fake Love,Drake,343YBumqHu19cGoGARUTsd,86313,2016-12-23
Cold Water (feat. Justin Bieber & MØ),Major Lazer,6DNtNfH8hXkqOX1sjqmI7p,82328,2016-12-23
The Greatest,Sia,6bLopGnirdrilrpdVB6Um1,81420,2016-12-23
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN, Taylor Swift",3NdDpSvN911VPGivFlV5d0,81357,2016-12-23
All I Want for Christmas Is You,Mariah Carey,0bYg9bo50gSsH3LtXe2SQn,81335,2016-12-23
In the Name of Love,"Martin Garrix, Bebe Rexha",04DwTuZ2VBdJCCC5TROn7L,76611,2016-12-23
Side To Side,"Ariana Grande, Nicki Minaj",4pLwZjInHj3SimIyN9SnOz,72973,2016-12-23
Treat You Better,Shawn Mendes,4Hf7WnR761jpxPr5D46Bcd,68599,2016-12-23
Só eu sei,Virgul,4bdnmTm3yx2W5wTmTewkVD,68214,2016-12-23
Dancing On My Own,Calum Scott,02WacdrRpm4zlP8H7X6bnQ,67969,2016-12-23
Heathens,Twenty One Pilots,6i0V12jOa3mr6uu4WYhUBr,66662,2016-12-23
My Way,Calvin Harris,1vvNmPOiUuyCbgWmtc6yfm,66138,2016-12-23
Just Hold On,"Steve Aoki, Louis Tomlinson",3EmmCZoqpWOTY1g2GBwJoR,65510,2016-12-23
Scars To Your Beautiful,Alessia Cara,0prNGof3XqfTvNDxHonvdK,63035,2016-12-23
Starving,"Hailee Steinfeld, Grey, Zedd",1qOLh0tI7trd1zdDKxYZTe,61973,2016-12-23
Last Christmas,Wham!,2FRnf9qhLbvw8fu4IBXx78,59919,2016-12-23
Bad Things (with Camila Cabello),Machine Gun Kelly,1PSBzsahR2AKwLJgx8ehBj,59647,2016-12-23
Party Monster,The Weeknd,4F7A0DXBrmUAkp32uenhZt,59042,2016-12-23
Love Me Now,John Legend,6nxQdXa1uAL0rY72wPZu89,57482,2016-12-23
We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,68EMU2RD1ECNeOeJ5qAXCV,53932,2016-12-23
"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",Lil Wayne,4dASQiO1Eoo3RJvt74FtXB,53915,2016-12-23
La Bicicleta,"Carlos Vives, Shakira",0sXvAOmXgjR2QUqLK1MltU,53249,2016-12-23
Don't Let Me Down (feat. Daya),The Chainsmokers,0QsvXIfqM0zZoerQfsI9lm,53236,2016-12-23
All We Know,"The Chainsmokers, Phoebe Ryan",2rizacJSyD9S1IQUxUxnsK,53188,2016-12-23
Perfect Strangers,"Jonas Blue, JP Cooper",5bZtRlMBU76vHuDOb1GM5u,53174,2016-12-23
"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,6JV2JOEocMgcZxYSZelKcc,50724,2016-12-23
Era Eu,D.A.M.A,3EWDt24UjkBgHAmdQIyTYz,49049,2016-12-23
Dialeto,Diogo Piçarra,1Eq8bovIxKCDJzzWa78V7p,48165,2016-12-23
Call On Me - Ryan Riback Extended Remix,Starley,78rIJddV4X0HkNAInEcYde,46945,2016-12-23
Ca Bu Fla Ma Nau,"Piruka, Mota JR",1VdIgUz8lT0JAsnMZRBHzz,46942,2016-12-23
Too Good,"Drake, Rihanna",11KJSRSgaDxqydKYiD2Jew,46550,2016-12-23
I Took A Pill In Ibiza - Seeb Remix,Mike Posner,17Fd6Yb7mSbinKG8LoWfFl,45724,2016-12-23
"i hate u, i love u (feat. olivia o'brien)",gnash,7vRriwrloYVaoAe3a9wJHe,43632,2016-12-23
Deja Vu,J. Cole,6I6NX6tjGsxFAsIfGzY9lJ,43373,2016-12-23
Cheap Thrills,Sia,27SdWb2rFzO6GWiYDBTD9j,42561,2016-12-23
Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),Frank Sinatra,7inXu0Eaeg02VsM8kHNvzM,41274,2016-12-23
Sidewalks,"The Weeknd, Kendrick Lamar",4h90qkbnW1Qq6pBhoPvwko,41042,2016-12-23
Sorry,Justin Bieber,69bp2EbF7Q2rqc5N3ylezZ,31178,2016-12-23
Hear Me Now,"Alok, Bruno Martini, Zeeba",1a5Yu5L18qNxVhXx38njON,31036,2016-12-23
It's Beginning to Look a Lot like Christmas,Michael Bublé,0lLdorYw7lVrJydTINhWdI,29414,2016-12-23
Panda,Desiigner,5OOkp4U9P9oL23maHFHL1h,28415,2016-12-23
Work,"Rihanna, Drake",14WWzenpaEgQZlqPq2nk4v,27558,2016-12-23
Ride,Twenty One Pilots,2Z8WuEywRWYTKe1NybPQEW,27152,2016-12-23
Blue Christmas,Elvis Presley,3QiAAp20rPC3dcAtKtMaqQ,26542,2016-12-23
Stressed Out,Twenty One Pilots,3CRDbSIZ4r5MsZ0YwxuEkn,26285,2016-12-23
I Would Like,Zara Larsson,4Q4jmPHwu0wrJvqrld0FQ6,26259,2016-12-23
Cake By The Ocean,DNCE,2aFiaMXmWsM3Vj72F9ksBl,25974,2016-12-23
Work from Home (feat. Ty Dolla $ign),Fifth Harmony,4tCtwWceOPWzenK2HAIJSb,25537,2016-12-23
It's the Most Wonderful Time of the Year,Andy Williams,5hslUAKq9I9CG2bAulFkHN,25520,2016-12-23
Mo Boy,Dillaz,0A3b3cu2JPBUTGC6qJEqUy,25365,2016-12-23
Santa Tell Me,Ariana Grande,1ADjWm8QNhgNV8yCNNgQ1T,24956,2016-12-23
Feliz Navidad,José Feliciano,7taXf5odg9xCAZERYfyOkS,24734,2016-12-23
Immortal,J. Cole,6AGON2BGdPmPMJGiiNuuwl,24625,2016-12-23
Needed Me,Rihanna,1Tt4sE4pXi57mTD1GCzsqm,24405,2016-12-23
Let Me Hold You (Turn Me On),"Dante Klein, Cheat Codes",0lmdsH1MIoLsMymnNpd6HU,24404,2016-12-23
The Mack,"Nevada, Mark Morrison, Fetty Wap",7aV2mflaASUmGhCErm7kBO,24310,2016-12-23
Safari,"J Balvin, Pharrell Williams, BIA, Sky",6rQSrBHf7HlZjtcMZ4S4bO,24189,2016-12-23
As Coisas,Valas,1LNUvQr9glutgCXivT6HoK,24144,2016-12-23
Hymn for the Weekend - Seeb Remix,Coldplay,1OAiWI2oPmglaOiv9fdioU,24040,2016-12-23
Sexual,"NEIKED, Dyo",3AsAuGTaDQzavZZThyYlop,23958,2016-12-23
By Your Side,"Jonas Blue, RAYE",1D3ODoXHBLpdxolZRHWV1j,23698,2016-12-23
