Title,Artist,Song ID,Streams,Chart Date
Dance Monkey,Tones And I,1rgnBhdG2JDFTbYkYRZAku,203386,2019-12-27
نساني,Ali Arnoos,4eATgVzzItxYeRosdOu60A,136086,2019-12-27
Warqa,Saif Amer,6mwaAeZONHdnqokoNj7fV0,111372,2019-12-27
Maktoob Ma Artah,Ahmed Al Maslawi,2YKeexcZTaMatMTfts9SmG,89675,2019-12-27
Falling,Trevor Daniel,4TnjEaWOeW0eKTKIEvJyCa,84626,2019-12-27
Al Mafrood,Aseel Hameem,5Aigt44wICHJ2BDshPZqvh,64883,2019-12-27
Señorita,"Shawn Mendes, Camila Cabello",6v3KW9xbzN5yKLt9YKDYA2,50941,2019-12-27
Waed Menni,Rahma Riad,3dcwxdRMi8nSODD4r5dKsb,49968,2019-12-27
bad guy,Billie Eilish,2Fxmhks0bxGSBdJ92vM42m,46948,2019-12-27
ROXANNE,Arizona Zervas,696DnlkuDOXcMAnKlTgXXK,44414,2019-12-27
Ya Sattar,Mohamed Hamaki,2IBZ2ROgyUewCGCgWAp1sq,44081,2019-12-27
بلوه غيابك,Assala Al Magdi,5CybAyYO0JLjG9ktPu6Qyz,42812,2019-12-27
My Oh My (feat. DaBaby),Camila Cabello,3yOlyBJuViE2YSGn3nVE1K,40728,2019-12-27
Alahh Esahilak,Ali Saber,7n6tNIk7OO7Tl19lujUGh3,40292,2019-12-27
Lalala,"Y2K, bbno$",51Fjme0JiitpyXKuyQiCDo,39350,2019-12-27
lovely (with Khalid),Billie Eilish,0u2P5u6lvoDfwTYjAADbn4,38973,2019-12-27
Believer,Imagine Dragons,0pqnGHJpmpxLKifKRmU6WP,36411,2019-12-27
Old Town Road - Remix,"Lil Nas X, Billy Ray Cyrus",2YpeDb67231RjR0MgVLzsG,35826,2019-12-27
Ya Abyad Ya Eswed,Cairokee,7MJGLlPFKG1g2p4Sa5gZog,34472,2019-12-27
everything i wanted,Billie Eilish,3ZCTVFBt2Brf31RLEnCkWJ,34420,2019-12-27
Sah Alnomaa,Husam Al Rassam,4eKSAgYTaGmEPjTOVKCD3L,33473,2019-12-27
Meshtaq Moot,"Aseel Hameem, Hussain Al Ghazal",2pN2cJk1qjGe9H2ibAdT2f,33440,2019-12-27
No Idea,Don Toliver,3VyjsVV24RmBIbWJAeUJNu,31663,2019-12-27
La Ya Qalb,Raad And Methaq,3yKoAxpBEaQt4QGWrphfcW,31079,2019-12-27
Ltshofoni Taaban,Ali Saber,2ijscMgPZhzXLvk9gTpEH9,30298,2019-12-27
Ransom,Lil Tecca,1lOe9qE0vR9zwWQAOk6CoO,29501,2019-12-27
Without Me,Halsey,5p7ujcrUXASCNwRaWNHR1C,29088,2019-12-27
Circles,Post Malone,21jGcNKet2qwijlDFuPiPb,28875,2019-12-27
Dancin (feat. Luvli) - Krono Remix,Aaron Smith,6WkJ2OK163XXS2oARUC9JM,28408,2019-12-27
Let Me Down Slowly,Alec Benjamin,2qxmye6gAegTMjLKEBoR3d,28388,2019-12-27
Moonlight,XXXTENTACION,0JP9xo3adEtGSdUEISiszL,28302,2019-12-27
SAD!,XXXTENTACION,3ee8Jmje8o58CHK66QrVC2,27491,2019-12-27
Memories,Maroon 5,2b8fOow8UzyDFAE27YhOZM,27488,2019-12-27
It's You,Ali Gatie,5DqdesEfbRyOlSS3Tf6c29,27308,2019-12-27
