Title,Artist,Song ID,Streams,Data Date
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN, Taylor Swift",3NdDpSvN911VPGivFlV5d0,1188451,2016-12-23
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,5knuzwU65gJK7IF5yJsuaW,1131346,2016-12-23
Alone,Alan Walker,0JiVRyTJcJnmlwCZ854K4p,1114699,2016-12-23
Call On Me - Ryan Riback Extended Remix,Starley,78rIJddV4X0HkNAInEcYde,980554,2016-12-23
Last Christmas,Wham!,2FRnf9qhLbvw8fu4IBXx78,973929,2016-12-23
All I Want for Christmas Is You,Mariah Carey,0bYg9bo50gSsH3LtXe2SQn,883715,2016-12-23
Say You Won't Let Go,James Arthur,5uCax9HTNlzGybIStD3vDh,862219,2016-12-23
Starboy,"The Weeknd, Daft Punk",5aAx2yezTd8zXrkmtKl66Z,831735,2016-12-23
Hey Ho,Freddy Kalas,0eekaX32hUmJgcinPCL1iZ,763817,2016-12-23
White Christmas,"Bing Crosby, Ken DarSingers, John Scott Trotter & His Orchestra",4so0Wek9Ig1p6CRCHuINwW,732532,2016-12-23
Do They Know It's Christmas? - 1984 Version,Band Aid,1hvpDAxZPKjKztOc72sv06,730414,2016-12-23
Solo Dance,Martin Jensen,6HUnnBwYZqcED1eQztxMBN,721833,2016-12-23
I Feel It Coming,"The Weeknd, Daft Punk",5GXAXm5YOmYT0kL5jHvYBt,720300,2016-12-23
Mer jul,Adolphson & Falk,6UbwfQeAEzhnolDwXiPowY,701824,2016-12-23
Super 8,Danny Saucedo,7dWJBwpPuUWqUoTZ0FXQg5,645313,2016-12-23
Closer,"The Chainsmokers, Halsey",7BKLCZ1jbUBVqRi2FVlTVw,641263,2016-12-23
Tänd ett ljus,Triad,0WeT9UnF79pGH5ohYHsnD9,624761,2016-12-23
Black Beatles,"Rae Sremmurd, Gucci Mane",6fujklziTHa8uoM5OQSfIo,623573,2016-12-23
Playing With Fire,LIAMOO,2JjYLNDThj8rm8W5m1blwV,619023,2016-12-23
Let Me Love You,"DJ Snake, Justin Bieber",4pdPtRcBmOSQDlJ3Fk945m,605744,2016-12-23
I Would Like,Zara Larsson,4Q4jmPHwu0wrJvqrld0FQ6,597448,2016-12-23
Now and Later,Sage The Gemini,08WPvDEsHvTFuB9w8tC2OS,580699,2016-12-23
Fairytale of New York (feat. Kirsty MacColl),The Pogues,3VTNVsTTu05dmTsVFrmGpK,576870,2016-12-23
Julen är här,"Tommy Körberg, Sissel",4cGPWeCfoQTw7i0wqNRcjI,568504,2016-12-23
Hear Me Now,"Alok, Bruno Martini, Zeeba",1a5Yu5L18qNxVhXx38njON,538983,2016-12-23
Feliz Navidad,José Feliciano,7taXf5odg9xCAZERYfyOkS,536009,2016-12-23
Don't Wanna Know,"Maroon 5, Kendrick Lamar",5MFzQMkrl1FOOng9tq6R9r,522263,2016-12-23
Juligen,Just D,1MMeScdLmniNyO4WMuoIxb,518975,2016-12-23
It's Beginning to Look a Lot like Christmas,Michael Bublé,0lLdorYw7lVrJydTINhWdI,510714,2016-12-23
Mistletoe,Justin Bieber,32OWobmyAz8J2qA8iWekyS,499305,2016-12-23
Se på mig nu (feat. Linnea Henriksson) - Singelversion,Petter,7rklm17yoayxw45lpzv5uv,491025,2016-12-23
It's the Most Wonderful Time of the Year,Andy Williams,5hslUAKq9I9CG2bAulFkHN,485895,2016-12-23
