Title,Artist,Song ID,Streams,Chart Date
Psycho,Red Velvet,3CYH422oy1cZNoo0GTG1TK,686313,2019-12-27
ทิ้งแต่เก็บ - เพลงประกอบภาพยนตร์ ฮาวทูทิ้ง..ทิ้งอย่างไร ไม่ให้เหลือเธอ,The Toys,438m0u7h7miwjCdCdDCl9W,512913,2019-12-27
ฝนตกไหม,Three Man Down,1ccwCCS7YSclzYibpK0DS4,376234,2019-12-27
รักได้ป่าว,"Gavin D, PUI, VARINZ, Nonny9, Z TRIP, MITEENNN",5j9eyp0YnOKzAjQyXXXSeb,331898,2019-12-27
ภาวนา,MEYOU,7IcfEY0IyV4fdALbwJCw3v,311073,2019-12-27
แอบดี (How to live without you),Stamp,1wl5vs3SCMPpHTIR8IW8nJ,306854,2019-12-27
ลงใจ,BOWKYLION,3JvbGjNcSnAhNemVyvXqci,283125,2019-12-27
ถ้าฉันเป็นเขา,Indigo,7adzBs69Rjtj6194UZRWfm,279888,2019-12-27
หวง (You're Mine),Earth Patravee,5t2958ghc1UIUovv1pqMl3,249921,2019-12-27
Señorita,"Shawn Mendes, Camila Cabello",6v3KW9xbzN5yKLt9YKDYA2,237026,2019-12-27
A Rocket to the Moon,Gavin D,4Tp1SRCTJ6LO8XA3i9vuAT,234628,2019-12-27
เจ็บจนพอ,Wanyai,4prGMvYxnXPsG7xueL4Gc8,233612,2019-12-27
Memories,Maroon 5,2b8fOow8UzyDFAE27YhOZM,223179,2019-12-27
นี่ฉันเอง feat. KOB FLAT BOY,Lipta,1A9I1bdZX61vE5cTaNOz2x,212380,2019-12-27
Mean It,"Lauv, LANY",3GRSqlALWISqLeNncZMbpX,198428,2019-12-27
รางวัลปลอบใจ,"Zom Marie, Lazyloxy",1kX8eeTe8JSQPj1dQ9MTFa,196278,2019-12-27
พัง,Indigo,4roAXYtyMDQfv9Vz1CPWqg,190937,2019-12-27
ลืมไป (feat. ปู่จ๋าน ลองไมค์),Wanyai,4XqtyE2i3U1z2rMVcgnYX6,189903,2019-12-27
พอเถอะ,MEAN,78SisrpqN9rYxNwFbpQ7JX,189748,2019-12-27
Circles,Post Malone,21jGcNKet2qwijlDFuPiPb,181765,2019-12-27
Do You,"F.HERO, BamBam (GOT7)",1twPdRa1Hm8t0j0kECqZ1n,179936,2019-12-27
รักติดไซเรน,"PARIS, Pearwah",0vIvE2RgjnMpUQn875C4Vz,178555,2019-12-27
สายซับ - Ost. One Year 365 วัน บ้านฉัน บ้านเธอ,BNK48,5UpKMuECD77JdbbeXGa8K7,178390,2019-12-27
ดีใจด้วยนะ(Glad),Ink Waruntorn,0rvNW2zfoFqdz7jHw3VqSQ,178300,2019-12-27
หัวหิน,Wanyai,1kUwlk4SqvLEjOk8yFPtUe,178060,2019-12-27
คำตอบ,Safeplanet,1lD1Pjy7rNDOny7nFqmUHJ,175499,2019-12-27
แก้มน้องนางนั้นแดงกว่าใคร,เขียนไขและวานิช,15zvOBuL1QbkL7bvudg2p5,173141,2019-12-27
ไปได้ดี,Wanyai,2qlfZhBPWq5FH3FwlZKGws,169378,2019-12-27
แค่นี้...พอ,The Parkinson,41TfjScHItR0d1k1N9tSr6,165810,2019-12-27
ROXANNE,Arizona Zervas,696DnlkuDOXcMAnKlTgXXK,159562,2019-12-27
ฉันเป็นทะเล (ไม่ใช่เขา),p n v .,4zvpnvtc2IYE3EMQau3vIH,159230,2019-12-27
โลกอีกใบ (feat. โอ๊ต ปราโมทย์),"Zom Marie, Oat Pramote",48hZrIt6isIvgbWfvvGgjI,156610,2019-12-27
เมื่อคืน,"Season Five, The Parkinson",0OBPjif46Jbz7c4xIqiBEw,153468,2019-12-27
เมษา (MAYSA) feat. BLACKSHEEP,fellow fellow,3bxGTdVHjBjlSOjRDH9a4f,150557,2019-12-27
BADBOY,"Lazyloxy, Maiyarap",55d8bb7cvNPLjJ81ULlG1H,149776,2019-12-27
เรา,Cocktail,2fJrMT9Zw7qP6dwD8ou90W,144691,2019-12-27
comethru,Jeremy Zucker,18uwL0vNUanqZH0ro2QcOP,141354,2019-12-27
ดวงใจ,Palmy,6N6gsaHf5GYJAvEKfg6iEv,141223,2019-12-27
เพื่อน,Polycat,7xJowlJfrvuFbooVesjFm0,139558,2019-12-27
ไม่รู้ทำไม,Whal & Dolph,1lWjw2MgiWcvuy5rSuQ11b,136153,2019-12-27
ความสุขของเธอ,MEAN,2cqjhnMI6m22cqcD1GUSTZ,132859,2019-12-27
ทางผ่าน,Pure,3zrebnrolRrRWRx9yx7tZs,131784,2019-12-27
I'm Missing You,"Mild, Ink Waruntorn, YOUNGOHM",2vEkf14cozEBFLnBDfynY9,131451,2019-12-27
You Are My Everything - Ost.รักฉุดใจนายฉุกเฉิน,Billkin,0zEDOBB1fHaAR0YBBIusQQ,129868,2019-12-27
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",0RiRZpuVRbi7oqRdSMwhQY,129417,2019-12-27
แพ้ทุกที (LOOPER),fellow fellow,1OCWm66r2PwI8RsspEMfzD,129256,2019-12-27
พรุ่งนี้ค่อย (Cheat Day),Pop Pongkool,00QJNqqJoah8KE7UBDpCHy,127267,2019-12-27
พริบตา,Safeplanet,66t4DQjeDsDUmA1WxKgnLU,120350,2019-12-27
เจ็บไม่จำ,O-Pavee,4XGKYVsklvtRYtq4LfYUrr,118716,2019-12-27
ดึกแล้วอย่าเพิ่งกลับ,Jaonaay,7nVTeSpry1cMbgyCmSd1ae,116873,2019-12-27
ไม่มีเหตุผล (feat. นายนะ),MARINA,3JrekkAlDuRg0iRBwVUTBy,109485,2019-12-27
Dance Monkey,Tones And I,1rgnBhdG2JDFTbYkYRZAku,109027,2019-12-27
ถ้าเธอหายไป,MEAN,6ghLBC81clqdam6wdorkB7,106693,2019-12-27
Don't Start Now,Dua Lipa,6WrI0LAC5M1Rw2MnX2ZvEg,105656,2019-12-27
หมอกร้าย feat. Fongbeer and Kob the X factor,Lipta,0EYgFMIXhjcFgX6xe2NY9v,100349,2019-12-27
"มปร. - From ""One Year 365 วัน บ้านฉัน บ้านเธอ""",BNK48,62HjCiXevqwTJic56mGxkS,96641,2019-12-27
Boy With Luv (feat. Halsey),BTS,5KawlOMHjWeUjQtnuRs22c,94676,2019-12-27
ใจเดียว,Whal & Dolph,4OZjDh3pxthm3Ig9Fs7C7N,93544,2019-12-27
Feel Special,TWICE,14rWuS6yllHOdfZ8sZsZUj,90731,2019-12-27
ซ่อนกลิ่น,Palmy,7woh2lJvyILYxSQ1kXTI3d,85396,2019-12-27
Kill This Love,BLACKPINK,4pUCKHjJ4Ijewc37rRrvHn,84830,2019-12-27
อาวรณ์,Polycat,2USX969yFQ250hBULh6Ope,82312,2019-12-27
Can't Tell Me Nuttin',"FIIXD, 1MILL, Diamond, 19HUNNID, 1-Flow",2VbPJKxaAfly99Mh0OoUb5,80984,2019-12-27
LION,(G)I-DLE,4TArUx34wOehwpnbXlKBQY,80092,2019-12-27
Beautiful People (feat. Khalid),Ed Sheeran,70eFcWOvlMObDhURTqT4Fv,79173,2019-12-27
ร W8,Gene Kasidit,3zc9UfgETcTMGiazW58Klg,78658,2019-12-27
Falling,Trevor Daniel,4TnjEaWOeW0eKTKIEvJyCa,77854,2019-12-27
HIP,MAMAMOO,24nK8tW7Pt3Inh2utttuoG,77590,2019-12-27
เวลาเธอยิ้ม,Polycat,06DPpk0hUJEgpzl5cuWNI6,76716,2019-12-27
7 rings,Ariana Grande,6ocbgoVGwYJhOv1GgI9NsF,76712,2019-12-27
หมายความว่าอะไร,MEAN,63rLjQUFTxemPqACev1by7,74759,2019-12-27
Adore You,Harry Styles,3jjujdWJ72nww5eGnfs2E7,74153,2019-12-27
พอจะรู้,MEYOU,4p4SOBQ0fxHYluEcba6Xrq,73808,2019-12-27
Capture,"Twopee Southside, Stamp Apiwat",1zqT0PWLvLKv7aXbcej4i5,73735,2019-12-27
Obsession,EXO,7fK0csBoqbcgUuWGV0cpoD,73661,2019-12-27
Good Luck feat. Maiyarap,Lipta,3tMbwbZpYXGHeg0l45m7Tv,72400,2019-12-27
กอดความเจ็บช้ำ,Safeplanet,13y3BLdlSdVH7wJwavs06O,72126,2019-12-27
Blinding Lights,The Weeknd,0sf12qNH5qcw8qpgymFOqD,71123,2019-12-27
พบกันใหม่,Polycat,4IKn1t0eZZzF5mji1vraVI,70412,2019-12-27
ดูดี,Polycat,4afuOwuWWRoS8HEw1cyVUZ,68883,2019-12-27
"10,000 Hours (with Justin Bieber)",Dan + Shay,2wrJq5XKLnmhRXHIAf9xBa,68820,2019-12-27
I Like Me Better,Lauv,2P91MQbaiQOfbiz9VqhqKQ,68317,2019-12-27
ต่อให้,Season Five,7EiesOznEUAta5QIb89I7e,67581,2019-12-27
Talk (feat. Disclosure),Khalid,6TqXcAFInzjp0bODyvrWEq,67541,2019-12-27
i'm so tired...,"Lauv, Troye Sivan",2iwS33Jfev1QBiuhWVWZHY,67279,2019-12-27
Best Part (feat. Daniel Caesar),H.E.R.,4OBZT9EnhYIV17t4pGw7ig,66150,2019-12-27
หลอก,NICECNX,6XQ71HC6xxRbVZZD6Bodju,65920,2019-12-27
hot girl bummer,blackbear,7aiClxsDWFRQ0Kzk5KI5ku,65843,2019-12-27
everything i wanted,Billie Eilish,3ZCTVFBt2Brf31RLEnCkWJ,65310,2019-12-27
If I Can't Have You,Shawn Mendes,2bT1PH7Cw3J9p3t7nlXCdh,64818,2019-12-27
ฝากไว้กับดาว,Whal & Dolph,5PMJyQr4nI8L78r6TXumeU,64496,2019-12-27
bad guy,Billie Eilish,2Fxmhks0bxGSBdJ92vM42m,64281,2019-12-27
"ทั้งจำทั้งปรับ (Jailhouse rap) feat. YOUNGOHM, KARN The Parkinson",Stamp,1Wuq5oThaFJmFl2vJNYMKD,64274,2019-12-27
Watermelon Sugar,Harry Styles,6UelLqGlWMcVH1E5c4H7lY,64145,2019-12-27
ถามหน่อย,"VARINZ, Z TRIP, Ponchet, Nonny9, Kanom",3i1rSzXFJpSiEu0zZiEmpD,64071,2019-12-27
I Don't Care (with Justin Bieber),Ed Sheeran,0hVXuCcriWRGvwMV1r5Yn9,63984,2019-12-27
ผ่านตา (Everyday),Three Man Down,7HA6Jhuis4khuPJffFGM7Y,63397,2019-12-27
Blueming,IU,4Dr2hJ3EnVh2Aaot6fRwDO,63229,2019-12-27
Someone You Loved,Lewis Capaldi,7qEHsqek33rTcFNT9PFqLf,62843,2019-12-27
เดคิสุงิ,Wan Thanakrit,7JhYmekBJcLg4RtTItTf2g,62602,2019-12-27
Goodbyes (Feat. Young Thug),Post Malone,6vBdBCoOhKHiYDDOcorfNo,62383,2019-12-27
2002,Anne-Marie,2BgEsaKNfHUdlh97KmvFyo,61859,2019-12-27
My Oh My (feat. DaBaby),Camila Cabello,3yOlyBJuViE2YSGn3nVE1K,61792,2019-12-27
Lose You To Love Me,Selena Gomez,1HfMVBKM75vxSfsQ5VefZ5,60696,2019-12-27
BOOM,NCT DREAM,6rcn967QN5JtkPOBDwYIuT,60654,2019-12-27
ใกล้,SCRUBB,4r3UvwePMdXPJrqFautgTq,59628,2019-12-27
"thank u, next",Ariana Grande,3e9HZxeyfWwjeyPAMmWSSQ,59604,2019-12-27
How Do You Sleep?,Sam Smith,6b2RcmUt1g9N9mQ3CbjX2Y,59240,2019-12-27
FANCY,TWICE,2FXd6kKCtBIc6UfN1gH1pA,58864,2019-12-27
รอให้เธอบอก,Whal & Dolph,0r7l0cA27fy29MmGU8k1bO,58840,2019-12-27
ไม่รับสาย,The Toys,5ndp5yVxoWbTSDRY1nAipf,58496,2019-12-27
เสือสิ้นลาย,"F.HERO, P-Hot, YOUNGOHM & FYMME",0ysHFElwsF17eS2Gnq5IiS,58479,2019-12-27
ไม่เฟี้ยว,YOUNGOHM,0MNemc24NyVm0zdeVWUPhq,57643,2019-12-27
ธารารัตน์,YOUNGOHM,3BK6m6yU8BAW5z71FnU3nu,57066,2019-12-27
Happy Ending,Pop Pongkool,3ix6NDf1HbLpP8zdWhu7Q6,56755,2019-12-27
ขี้หึง,Silly Fools,3S7oRCNWJkMNkqLMr88hpo,56649,2019-12-27
ขอ,Lomosonic,4s4xtVecBeGjuAMqXW8kWv,56126,2019-12-27
เป็นทุกอย่าง,Room 39,0lQWN4uo1PCdzrxEZJM95P,55793,2019-12-27
ยังไม่รู้,Better Weather,2OQQPlUlrSKu2nOPMwTS2c,55288,2019-12-27
เพื่อนไม่จริง,Polycat,05WHgjtWx32x40VmFkLnOd,55281,2019-12-27
Strawberries & Cigarettes,Troye Sivan,3afkJSKX0EAMsJXTZnDXXJ,54632,2019-12-27
"fuck, i'm lonely (with Anne-Marie) - from “13 Reasons Why: Season 3”",Lauv,4wopYJ5wpYOM6ogm2Jugnw,54235,2019-12-27
Bad Boy,Red Velvet,5GKwq4sO5ZHKuWaDmdwMQc,54100,2019-12-27
ไม่อยากเหงาแล้ว(Call me) feat. Meyou,Ink Waruntorn,6GVBXMArxujxWfZx3vGvgC,54068,2019-12-27
ICY,ITZY,7zFBtYAVURF3bUVqEQ6UUu,54003,2019-12-27
ยังรอ…,Marc Tatchapon,4vI3jw8Fi8fDH0gGWzttGt,53925,2019-12-27
นอกจากชื่อฉัน,ACTART,3nQlPsRsO4mEqVaiqErCLO,53789,2019-12-27
ไม่อยู่ในชีวิตแต่อยู่ในหัวใจ,Lula,1psb8glAxDb4DYAwnOWzm3,53776,2019-12-27
Heartless,The Weeknd,57vxBYXtHMk6H1aD29V7PU,53228,2019-12-27
เจ็บจนไม่เข้าใจ,PORTRAIT,4URCEQmgwuwaHiySIqGmIa,53074,2019-12-27
Jopping,SuperM,5WrEilrRI5cIW0DxMvQYPZ,53062,2019-12-27
