Title,Artist,Song ID,Streams,Data Date
Gece Gölgenin Rahatına Bak,Çağatay Akman,3P31rcl0ym5paqRdwSiZps,875208,2016-12-23
Starboy,"The Weeknd, Daft Punk",5aAx2yezTd8zXrkmtKl66Z,400438,2016-12-23
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,5knuzwU65gJK7IF5yJsuaW,262892,2016-12-23
The Greatest,Sia,6bLopGnirdrilrpdVB6Um1,218713,2016-12-23
Let Me Love You,"DJ Snake, Justin Bieber",4pdPtRcBmOSQDlJ3Fk945m,209771,2016-12-23
Haydi Söyle,Kalben,3N5AZtKJALZZDHT4On8Ebx,198438,2016-12-23
Lost on You,LP,3SqvR3HYLlCTYzbDXJ52OC,189928,2016-12-23
Closer,"The Chainsmokers, Halsey",7BKLCZ1jbUBVqRi2FVlTVw,188203,2016-12-23
Heathens,Twenty One Pilots,6i0V12jOa3mr6uu4WYhUBr,186479,2016-12-23
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN, Taylor Swift",3NdDpSvN911VPGivFlV5d0,180638,2016-12-23
Affet,Müslüm Gürses,0ikRchpmFlaqlzLRgu9qWk,167641,2016-12-23
One Dance,"Drake, WizKid, Kyla",1xznGGDReH1oQq0xzbwXa3,157647,2016-12-23
Side To Side,"Ariana Grande, Nicki Minaj",4pLwZjInHj3SimIyN9SnOz,154750,2016-12-23
Yan Benimle,Sıla,2LX6XfSqCKBrt2qJngS87z,143657,2016-12-23
I Feel It Coming,"The Weeknd, Daft Punk",5GXAXm5YOmYT0kL5jHvYBt,142824,2016-12-23
Don't Wanna Know,"Maroon 5, Kendrick Lamar",5MFzQMkrl1FOOng9tq6R9r,138551,2016-12-23
Cheap Thrills,Sia,27SdWb2rFzO6GWiYDBTD9j,137805,2016-12-23
Aşk Mı Lazım,Buray,2zge98dcDEddQznjn7C5Xu,132976,2016-12-23
Tuesday,"Burak Yeter, Danelle Sandoval",7abpmGpF7PGep2rDU68GBR,131055,2016-12-23
In the Name of Love,"Martin Garrix, Bebe Rexha",04DwTuZ2VBdJCCC5TROn7L,128298,2016-12-23
Bulutlara Esir Olduk,Oğuzhan Koç,2E5uSVmOgKniCW8e6KtGiH,121134,2016-12-23
Don't Let Me Down (feat. Daya),The Chainsmokers,0QsvXIfqM0zZoerQfsI9lm,121089,2016-12-23
Yanımda Kal,"Harun Kolçak, Gökhan Türkmen",4ZNSWkJBsaexlHG0tYvCkT,120984,2016-12-23
