Title,Artist,Song ID,Streams,Data Date
Closer,"The Chainsmokers, Halsey",7BKLCZ1jbUBVqRi2FVlTVw,146253,2016-12-23
Starboy,"The Weeknd, Daft Punk",5aAx2yezTd8zXrkmtKl66Z,114723,2016-12-23
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN, Taylor Swift",3NdDpSvN911VPGivFlV5d0,113419,2016-12-23
Let Me Love You,"DJ Snake, Justin Bieber",4pdPtRcBmOSQDlJ3Fk945m,102633,2016-12-23
帥到分手,NICKTHEREAL,2tG6FZtaX5NPWFA64d8DWz,101673,2016-12-23
Alone,Alan Walker,0JiVRyTJcJnmlwCZ854K4p,98401,2016-12-23
Say You Won't Let Go,James Arthur,5uCax9HTNlzGybIStD3vDh,98021,2016-12-23
Don't Wanna Know,"Maroon 5, Kendrick Lamar",5MFzQMkrl1FOOng9tq6R9r,96893,2016-12-23
All We Know,"The Chainsmokers, Phoebe Ryan",2rizacJSyD9S1IQUxUxnsK,91818,2016-12-23
Faded,Alan Walker,7gHs73wELdeycvS48JfIos,89317,2016-12-23
Bad Things (with Camila Cabello),Machine Gun Kelly,1PSBzsahR2AKwLJgx8ehBj,86501,2016-12-23
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,5knuzwU65gJK7IF5yJsuaW,84710,2016-12-23
We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,68EMU2RD1ECNeOeJ5qAXCV,81036,2016-12-23
The Greatest,Sia,6bLopGnirdrilrpdVB6Um1,77224,2016-12-23
Stay With Me,"CHANYEOL, Punch",1HYzRuWjmS9LXCkdVHi25K,76861,2016-12-23
演員,Joker Xue,6LunoYd3xpZ19sICOXS8Xd,76176,2016-12-23
不為誰而作的歌,JJ Lin,0VqSdtXseb9khdZrnYVyM1,75957,2016-12-23
Call On Me - Ryan Riback Extended Remix,Starley,78rIJddV4X0HkNAInEcYde,75752,2016-12-23
"你,好不好? - TVBS連續劇【遺憾拼圖】片尾曲",Eric Chou,2gug6MRv4xQFYi9LA3PJCS,75370,2016-12-23
Cold Water (feat. Justin Bieber & MØ),Major Lazer,6DNtNfH8hXkqOX1sjqmI7p,74025,2016-12-23
In the Name of Love,"Martin Garrix, Bebe Rexha",04DwTuZ2VBdJCCC5TROn7L,72159,2016-12-23
I Feel It Coming,"The Weeknd, Daft Punk",5GXAXm5YOmYT0kL5jHvYBt,70904,2016-12-23
謝謝妳愛我,R-chord,2mjJn3jZaam3Z7qgtKMNrq,70819,2016-12-23
後來的我們,Mayday,0qepAQsUGIzofBj82iP17C,70645,2016-12-23
24K Magic,Bruno Mars,6b8Be6ljOzmkOmFslEb23P,69211,2016-12-23
Starving,"Hailee Steinfeld, Grey, Zedd",1qOLh0tI7trd1zdDKxYZTe,67153,2016-12-23
你啊你啊 - 電視劇「用九柑仔店」插曲,Waa Wei,4nyO1azSuhT5JrETvzEahs,66881,2016-12-23
Just Hold On,"Steve Aoki, Louis Tomlinson",3EmmCZoqpWOTY1g2GBwJoR,66400,2016-12-23
Don't Let Me Down (feat. Daya),The Chainsmokers,0QsvXIfqM0zZoerQfsI9lm,63523,2016-12-23
Treat You Better,Shawn Mendes,4Hf7WnR761jpxPr5D46Bcd,60090,2016-12-23
姊妹2016 - 平行宇宙版,A-Mei Chang,4rksgQSbONtzovKPwj3cTa,58447,2016-12-23
FXXK IT,BIGBANG,0YVsrgp4OOUhFuYMAVQazV,57541,2016-12-23
The Ocean (feat. Shy Martin),Mike Perry,2CPqh63wRVscbceKcPxwvv,55643,2016-12-23
Cheap Thrills,Sia,27SdWb2rFzO6GWiYDBTD9j,53976,2016-12-23
Photograph,Ed Sheeran,6fxVffaTuwjgEk5h9QyRjy,53677,2016-12-23
好愛好散,Andrew Tan,47Qq2E5MqL30jOkaruCOnL,53402,2016-12-23
Mercy,Shawn Mendes,4TZy1wLyHec06pwgFYDh1a,52680,2016-12-23
Side To Side,"Ariana Grande, Nicki Minaj",4pLwZjInHj3SimIyN9SnOz,52110,2016-12-23
I Took A Pill In Ibiza - Seeb Remix,Mike Posner,17Fd6Yb7mSbinKG8LoWfFl,51868,2016-12-23
"City Of Stars - From ""La La Land"" Soundtrack","Ryan Gosling, Emma Stone",0LtVx5vsq9nfpGsWgjUin6,51141,2016-12-23
All Night,"The Vamps, Matoma",4b4KcovePX8Ke2cLIQTLM0,50800,2016-12-23
陪妳過假日,"Leo王, 9m88",4w99eXGKJ64oxJSNF9tPNs,50557,2016-12-23
All I Want for Christmas Is You,Mariah Carey,0bYg9bo50gSsH3LtXe2SQn,50394,2016-12-23
By Your Side,"Jonas Blue, RAYE",1D3ODoXHBLpdxolZRHWV1j,48533,2016-12-23
好好 (想把你寫成一首歌),Mayday,2G1kCLtTmaRPnTukpriHO8,48458,2016-12-23
年輪說,Rainie Yang,51PYzHOuwTngW2whaPoYFW,48231,2016-12-23
Setting Fires,"The Chainsmokers, XYLØ",0B8B8cVRFIG1yznoQe7c9s,47608,2016-12-23
Heathens,Twenty One Pilots,6i0V12jOa3mr6uu4WYhUBr,47348,2016-12-23
Black Beatles,"Rae Sremmurd, Gucci Mane",6fujklziTHa8uoM5OQSfIo,47220,2016-12-23
Scars To Your Beautiful,Alessia Cara,0prNGof3XqfTvNDxHonvdK,46996,2016-12-23
皇后區的皇后,Miss Ko,0g3xY2ZkGUsVv9izhZk8y2,45902,2016-12-23
My Way,Calvin Harris,1vvNmPOiUuyCbgWmtc6yfm,44836,2016-12-23
幸福太短 - 電視劇「奇妙的時光之旅」片尾曲,A-Lin,4bUXlEJRyV5YGERzh7AHuy,44757,2016-12-23
Last Christmas,Wham!,2FRnf9qhLbvw8fu4IBXx78,43989,2016-12-23
Beautiful,Crush,6mzF8HvHdVrzJNd8M1uFCS,43207,2016-12-23
默 - Sound Of My Dream / Live,A-Mei Chang,2EZQWlqxhPE2mfkGGt0M8i,41515,2016-12-23
LAST DANCE,BIGBANG,7dhr1r6OWHxrpvrdHxfe1n,40726,2016-12-23
可惜沒如果,JJ Lin,6WoQzK5Exbfcmow1AoNRkl,40217,2016-12-23
"City Of Stars - From ""La La Land"" Soundtrack/Pier",Ryan Gosling,7jltqRIyxLXBDNZ1QlmnBp,39807,2016-12-23
告白气球,陳以桐,0lk8GaCBo5UmCtyzzFQgFf,37790,2016-12-23
是我不夠好,Tia Lee,1rAywAtbOxHszio4OTwYPf,37687,2016-12-23
TT,TWICE,1nMbZ9OsVNSLEyijI80EST,37276,2016-12-23
"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,6JV2JOEocMgcZxYSZelKcc,37265,2016-12-23
Fake Love,Drake,343YBumqHu19cGoGARUTsd,36571,2016-12-23
"Mia & Sebastian’s Theme - From ""La La Land"" Soundtrack",Justin Hurwitz,1R17cgUv6HeQFa78dzqb7s,36211,2016-12-23
派對動物,Mayday,3HwyNPs2e1iaD9slrimZ2Q,36086,2016-12-23
One Dance,"Drake, WizKid, Kyla",1xznGGDReH1oQq0xzbwXa3,35921,2016-12-23
"Another Day Of Sun - From ""La La Land"" Soundtrack",La La Land Cast,0zCfmceT1YvtZXGbR6Roht,35585,2016-12-23
大齡女子,Julia Peng,4pkUru7mlNlEP5B5urUbGL,35518,2016-12-23
This Is What You Came For (feat. Rihanna),Calvin Harris,0azC730Exh71aQlOt9Zj3y,35392,2016-12-23
Love Yourself,Justin Bieber,3hB5DgAiMAQ4DzYbsMq1IT,35370,2016-12-23
"不將就 (電影""何以笙簫默""片尾曲)",Ronghao Li,5DH8nF7aWoXXg5Sm3gjCWD,33771,2016-12-23
寂寞無害 - 八大韓劇”拜託了媽媽”片頭曲,Eve Ai,5hVaRXaXgpN9lNK61oyz2I,33633,2016-12-23
Love Me Now,John Legend,6nxQdXa1uAL0rY72wPZu89,33392,2016-12-23
愛.這件事情,Maggie Fu,7LLj7DoK2rqJaDbjshn7zN,33224,2016-12-23
I Would Like,Zara Larsson,4Q4jmPHwu0wrJvqrld0FQ6,33008,2016-12-23
以後別做朋友,Eric Chou,7zyYmIdjqqiX6kLryb7QBx,32608,2016-12-23
Shed a Light,"Robin Schulz, David Guetta, Cheat Codes",1cG0umU5TKStygKsPFZ9pY,32073,2016-12-23
"Audition (The Fools Who Dream) - From ""La La Land"" Soundtrack",Emma Stone,2lDWYLNnfYyXngjz4plpy2,32008,2016-12-23
