Title,Artist,Song ID,Streams,Data Date
Fake Love,Drake,343YBumqHu19cGoGARUTsd,8618267,2016-12-23
Bad and Boujee (feat. Lil Uzi Vert),Migos,4Km5HrUvYTaSUfiSGPJeQR,7946032,2016-12-23
Starboy,"The Weeknd, Daft Punk",5aAx2yezTd8zXrkmtKl66Z,7738517,2016-12-23
Black Beatles,"Rae Sremmurd, Gucci Mane",6fujklziTHa8uoM5OQSfIo,6209336,2016-12-23
Closer,"The Chainsmokers, Halsey",7BKLCZ1jbUBVqRi2FVlTVw,5813157,2016-12-23
Caroline,Aminé,5hTpBe8h35rJ67eAWHQsJx,4865290,2016-12-23
Bad Things (with Camila Cabello),Machine Gun Kelly,1PSBzsahR2AKwLJgx8ehBj,4701860,2016-12-23
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN, Taylor Swift",3NdDpSvN911VPGivFlV5d0,4512436,2016-12-23
Deja Vu,J. Cole,6I6NX6tjGsxFAsIfGzY9lJ,4357980,2016-12-23
Broccoli (feat. Lil Yachty),Shelley FKA DRAM,7yyRTcZmCiyzzJlNzGC9Ol,4320878,2016-12-23
Bounce Back,Big Sean,0SGkqnVQo9KPytSri1H6cF,4235799,2016-12-23
I Feel It Coming,"The Weeknd, Daft Punk",5GXAXm5YOmYT0kL5jHvYBt,4084928,2016-12-23
24K Magic,Bruno Mars,6b8Be6ljOzmkOmFslEb23P,3737222,2016-12-23
Don't Wanna Know,"Maroon 5, Kendrick Lamar",5MFzQMkrl1FOOng9tq6R9r,3610039,2016-12-23
Chill Bill (feat. J. Davi$ & Spooks),Rob $tone,5uDASfU19gDxSjW8cnCaBp,3536430,2016-12-23
Party Monster,The Weeknd,4F7A0DXBrmUAkp32uenhZt,3533862,2016-12-23
Let Me Love You,"DJ Snake, Justin Bieber",4pdPtRcBmOSQDlJ3Fk945m,3524767,2016-12-23
X (feat. Future),"21 Savage, Metro Boomin",6fwdbPMwP1zVStm8FybmkO,3522942,2016-12-23
No Heart,"21 Savage, Metro Boomin",4gmmRb6bZJffOOiww1JGTO,3388778,2016-12-23
One Dance,"Drake, WizKid, Kyla",1xznGGDReH1oQq0xzbwXa3,3327127,2016-12-23
Starving,"Hailee Steinfeld, Grey, Zedd",1qOLh0tI7trd1zdDKxYZTe,3237316,2016-12-23
In the Name of Love,"Martin Garrix, Bebe Rexha",04DwTuZ2VBdJCCC5TROn7L,3190431,2016-12-23
Side To Side,"Ariana Grande, Nicki Minaj",4pLwZjInHj3SimIyN9SnOz,3045002,2016-12-23
Say You Won't Let Go,James Arthur,5uCax9HTNlzGybIStD3vDh,2955129,2016-12-23
Sneakin’,"Drake, 21 Savage",4ckuS4Nj4FZ7i3Def3Br8W,2947259,2016-12-23
Heathens,Twenty One Pilots,6i0V12jOa3mr6uu4WYhUBr,2923813,2016-12-23
Neighbors,J. Cole,0utlOiJy2weVl9WTkcEWHy,2918783,2016-12-23
Jingle Bell Rock,BobHelms,1cImYkHOQMFE7AZC9aOk4y,2904013,2016-12-23
OOOUUU,Young M.A,7JYsArznYOjX2jsrT3UEnL,2892468,2016-12-23
All I Want for Christmas Is You,Mariah Carey,0bYg9bo50gSsH3LtXe2SQn,2860142,2016-12-23
Immortal,J. Cole,6AGON2BGdPmPMJGiiNuuwl,2654474,2016-12-23
All We Know,"The Chainsmokers, Phoebe Ryan",2rizacJSyD9S1IQUxUxnsK,2588867,2016-12-23
Scars To Your Beautiful,Alessia Cara,0prNGof3XqfTvNDxHonvdK,2532172,2016-12-23
Six Feet Under,The Weeknd,4mU5iXHeLgbR94siF7p1sY,2507806,2016-12-23
You Was Right,Lil Uzi Vert,2ANLarE8yHVsLWW21nj79M,2506950,2016-12-23
Just Hold On,"Steve Aoki, Louis Tomlinson",3EmmCZoqpWOTY1g2GBwJoR,2477883,2016-12-23
The Greatest,Sia,6bLopGnirdrilrpdVB6Um1,2465480,2016-12-23
Call On Me - Ryan Riback Extended Remix,Starley,78rIJddV4X0HkNAInEcYde,2456559,2016-12-23
Rockin' Around The Christmas Tree - Single Version,Brenda Lee,3T7dNA7O8c3Axj5WyDNcH3,2452598,2016-12-23
Love Me Now,John Legend,6nxQdXa1uAL0rY72wPZu89,2444898,2016-12-23
"How Far I'll Go - From ""Moana""",Alessia Cara,5hYTyyh2odQKphUbMqc5gN,2439802,2016-12-23
No Problem (feat. Lil Wayne & 2 Chainz),Chance the Rapper,0v9Wz8o0BT8DU38R4ddjeH,2423080,2016-12-23
Sidewalks,"The Weeknd, Kendrick Lamar",4h90qkbnW1Qq6pBhoPvwko,2418348,2016-12-23
iSpy (feat. Lil Yachty),KYLE,2EEeOnHehOozLq4aS0n6SL,2416959,2016-12-23
