Title,Artist,Song ID,Streams,Data Date
Cuando Se Pone a Bailar,Rombai,1MpKZi1zTXpERKwxmOu1PH,102978,2016-12-23
Reggaetón Lento (Bailemos),CNCO,3AEZUABDXNtecAOSC1qTfo,95221,2016-12-23
Chantaje (feat. Maluma),Shakira,6mICuAdrwEjh6Y6lroV2Kg,92235,2016-12-23
Vente Pa' Ca (feat. Maluma),Ricky Martin,7DM4BPaS7uofFul3ywMe46,72993,2016-12-23
Safari,"J Balvin, Pharrell Williams, BIA, Sky",6rQSrBHf7HlZjtcMZ4S4bO,63241,2016-12-23
Otra vez (feat. J Balvin),Zion & Lennox,3QwBODjSEzelZyVjxPOHdq,59313,2016-12-23
Shaky Shaky,Daddy Yankee,58IL315gMSTD37DOZPJ2hf,59262,2016-12-23
Traicionera,Sebastian Yatra,5J1c3M4EldCfNxXwrwt8mT,49984,2016-12-23
Carnavalintro,CHANO,0tGAPnTFwRJA6FZgYZ0BAe,48255,2016-12-23
Pasarla Bien,Marama,0ZzVPCGdkpKcxAzMNDD5UZ,48017,2016-12-23
La Bicicleta,"Carlos Vives, Shakira",0sXvAOmXgjR2QUqLK1MltU,46839,2016-12-23
Dile Que Tu Me Quieres,Ozuna,20ZAJdsKB5IGbGj4ilRt2o,46193,2016-12-23
Gyal You A Party Animal - Remix,"Charly Black, Daddy Yankee",1AkTW13ysu0AJrwuM6UY0I,41543,2016-12-23
Let Me Love You,"DJ Snake, Justin Bieber",4pdPtRcBmOSQDlJ3Fk945m,41475,2016-12-23
Me llamas (feat. Maluma) - Remix,Piso 21,5hEM0JchdVzQ5PwvSfITeX,39340,2016-12-23
Amor para un Rato,Olvidate!,47EEKhimMiDtUfYNR5Ii58,39132,2016-12-23
Piel a Piel,Dame 5,2q3B7GLCEA4uYvuo2g5P82,39099,2016-12-23
Andas En Mi Cabeza,"Chino & Nacho, Daddy Yankee",5mey7CLLuFToM2P68Qu1gF,38957,2016-12-23
Borro Cassette,Maluma,6DUdDIRgLqCGq1DwkNWQTN,37899,2016-12-23
"Ay Mi Dios (feat. Pitbull, Yandel & Chacal)","IAmChino, El Chacal",6stYbAJgTszHAHZMPxWWCY,35683,2016-12-23
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,5knuzwU65gJK7IF5yJsuaW,35645,2016-12-23
