Title,Artist,Song ID,Streams,Chart Date
Psycho,Red Velvet,3CYH422oy1cZNoo0GTG1TK,205528,2019-12-27
Có Chàng Trai Viết Lên Cây,Phan Mạnh Quỳnh,1U8bwOTAtnqlWMCn1mwYyj,170410,2019-12-27
Dance Monkey,Tones And I,1rgnBhdG2JDFTbYkYRZAku,143157,2019-12-27
Lối Nhỏ,"Đen, Phương Anh Đào",22F7P7QnaVspdf5rKveBaS,135681,2019-12-27
Señorita,"Shawn Mendes, Camila Cabello",6v3KW9xbzN5yKLt9YKDYA2,127226,2019-12-27
Duyen Am,Hoang Thuy Linh,5dZHey2U2xrNpvgyop8URS,122267,2019-12-27
Memories,Maroon 5,2b8fOow8UzyDFAE27YhOZM,117840,2019-12-27
Bài Này Chill Phết,"Đen, MIN",2AiZm17zqkV7llT3SHz4Nu,93842,2019-12-27
Em Day Chang Phai Thuy Kieu,Hoang Thuy Linh,031jyNUkkD02vrkgZDGJxu,93502,2019-12-27
Mascara,Chillies,2Jaaw8PrdUfPlU6o6tL5dl,87240,2019-12-27
Hãy Trao Cho Anh,"Sơn Tùng M-TP, Snoop Dogg",0f5yQttJS5nNxRAleF4kZO,84229,2019-12-27
Đi Đu Đưa Đi,Bich Phuong,2OZTkXYCNbZS9TwPRy52Js,77973,2019-12-27
De Mi Noi Cho Ma Nghe,Hoang Thuy Linh,5mBWIm9EGnhZRYBYgAS72m,74385,2019-12-27
bad guy,Billie Eilish,2Fxmhks0bxGSBdJ92vM42m,70625,2019-12-27
everything i wanted,Billie Eilish,3ZCTVFBt2Brf31RLEnCkWJ,69544,2019-12-27
7 rings,Ariana Grande,6ocbgoVGwYJhOv1GgI9NsF,69086,2019-12-27
Can We Kiss Forever?,"Kina, Adriana Proenza",58wyJLv6yH1La9NIZPl3ne,67802,2019-12-27
Thanh Xuan,Da LAB,3b34161QoxLwsqhWSPy9i5,66956,2019-12-27
LẦN CUỐI (đi bên em xót xa người ơi),Ngọt,7AzGrpsT9kTI6OUdMXlHWe,66377,2019-12-27
Let Me Down Slowly,Alec Benjamin,2qxmye6gAegTMjLKEBoR3d,65692,2019-12-27
