Title,Artist,Song ID,Streams,Chart Date
Dance Monkey,Tones And I,1rgnBhdG2JDFTbYkYRZAku,98499,2019-12-27
Circles,Post Malone,21jGcNKet2qwijlDFuPiPb,61454,2019-12-27
Memories,Maroon 5,2b8fOow8UzyDFAE27YhOZM,61399,2019-12-27
Lorch,"Kabza De Small, DJ Maphorisa, Semi Tee, Miano, Kammu Dee",1E8jmVFDwAWbDzsjjniKGO,56658,2019-12-27
Señorita,"Shawn Mendes, Camila Cabello",6v3KW9xbzN5yKLt9YKDYA2,52282,2019-12-27
Falling,Trevor Daniel,4TnjEaWOeW0eKTKIEvJyCa,50218,2019-12-27
ROXANNE,Arizona Zervas,696DnlkuDOXcMAnKlTgXXK,49773,2019-12-27
Beautiful People (feat. Khalid),Ed Sheeran,70eFcWOvlMObDhURTqT4Fv,48835,2019-12-27
Don't Start Now,Dua Lipa,6WrI0LAC5M1Rw2MnX2ZvEg,47959,2019-12-27
Akulaleki,"Samthing Soweto, Sha Sha, DJ Maphorisa, Kabza De Small",73wcFiFeCQurmHDQIcirbm,43424,2019-12-27
Jerusalema,"Master KG, Nomcebo Zikode",5F6tLUQGd7GtiWID9ZEzev,43393,2019-12-27
Someone You Loved,Lewis Capaldi,7qEHsqek33rTcFNT9PFqLf,41977,2019-12-27
Tender Love (feat. DJ Maphorisa & Kabza De Small),Sha Sha,7ckWQdFniRR7CNsIA1VIML,41157,2019-12-27
Labantwana Ama Uber,"Semi Tee, Miano, Kammu Dee",6KlOMbkMRBQUFWpYe1z8Nq,39786,2019-12-27
everything i wanted,Billie Eilish,3ZCTVFBt2Brf31RLEnCkWJ,39746,2019-12-27
Nana Thula,"Kabza De Small, DJ Maphorisa, Njelic",4tDBIoqZEnq6715SnqaJS7,38559,2019-12-27
bad guy,Billie Eilish,2Fxmhks0bxGSBdJ92vM42m,37512,2019-12-27
Lose You To Love Me,Selena Gomez,1HfMVBKM75vxSfsQ5VefZ5,37262,2019-12-27
I Don't Care (with Justin Bieber),Ed Sheeran,0hVXuCcriWRGvwMV1r5Yn9,35999,2019-12-27
How Do You Sleep?,Sam Smith,6b2RcmUt1g9N9mQ3CbjX2Y,35996,2019-12-27
Blinding Lights,The Weeknd,0sf12qNH5qcw8qpgymFOqD,35221,2019-12-27
Umlilo,"DJ Zinhle, Mvzzle, Rethabile",6EEmWiEPZSDGXBTknG8wR1,35103,2019-12-27
My Oh My (feat. DaBaby),Camila Cabello,3yOlyBJuViE2YSGn3nVE1K,34619,2019-12-27
Sandton,"Kabza De Small, DJ Maphorisa, Focalistic, Kamo Mphela, Bontle Smith",0ddnry07vtuLzEVK63bw3R,34316,2019-12-27
"Love You Tonight (feat. DJ Maphorisa, Sha Sha & Kabza De Small)",Mfr Souls,2NbUnaGrjwRuRjZ5EPyOR5,34010,2019-12-27
Vula Vala,"DJ Maphorisa, Kabza De Small, Nokwazi, Vigro Deep",66qYWzjiH7jlPfpoU3IxvV,33679,2019-12-27
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",0RiRZpuVRbi7oqRdSMwhQY,32098,2019-12-27
Eastside (with Halsey & Khalid),benny blanco,7FGq80cy8juXBCD2nrqdWU,31325,2019-12-27
Fire,"DJ Big Sky, LuuDeDeejay, Sbhanga",2nVAnGGOKDTzCw5nv73swz,31310,2019-12-27
Sukendleleni,"Jobe London, Mphow69, Kamo Manje",1lKqP0GH6cZ6zMtmUTJWs5,30680,2019-12-27
hot girl bummer,blackbear,7aiClxsDWFRQ0Kzk5KI5ku,29949,2019-12-27
Watermelon Sugar,Harry Styles,6UelLqGlWMcVH1E5c4H7lY,28830,2019-12-27
South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,4vUmTMuQqjdnvlZmAH61Qk,28565,2019-12-27
HIGHEST IN THE ROOM,Travis Scott,3eekarcy7kvN4yt5ZFzltW,28512,2019-12-27
The Box,Roddy Ricch,0nbXyq5TXYPCO7pr3N8S4I,28491,2019-12-27
Lose Control,"MEDUZA, Becky Hill, Goodboys",7CHi4DtfK4heMlQaudCuHK,28069,2019-12-27
Ride It,Regard,2tnVG71enUj33Ic2nFN6kZ,27811,2019-12-27
